fact_id	person_id	xml_id	source	window_id	hit_ids	play_title_surface	play_id_hint	fact_type	person_surface	person_role	character	org_surface	venue_surface	settlement_surface	country	date_start	date_end	date_precision	evidence_quote	evidence_ok	confidence	model	drafted_at	notes
GOLD#001	P-1-facs_174_region_1715799875093_402	facs_174_region_1715799875093_402	gold_claude			די קאַטאַסטראָפע פון בראַאילא		translation_adaptation	[HOST]	adapter				בראַאילא	Romania	1895		year	"צו לאַטיינערס אַ פּיעסע צוגעקנופּט אַ האַנדלונג, וואָס האָט אַ שיכות מיט דער קאַטאַסטראָפע און עס אויפגעפירט א""נ „די קאַטאַסטראָפע פון בראַאילא“"	yes	high	claude-agent-gold		Per Sh. Y. Dorfzon: Goldfaden (entry subject) grafted onto an UNNAMED play of Lateiner's a plot connected with the Braila port catastrophe and staged it as 'Di katastrofe fun Braila' (1895, Braila). The underlying Lateiner play is not identified, hence no play_id_hint. The piece flopped and was never staged again; manuscript and songs unknown.
GOLD#002	P-1-facs_174_region_1715799875093_402	facs_174_region_1715799875093_402	gold_claude			די קאַטאַסטראָפע פון בראַאילא		production	[HOST]	producer				בראַאילא	Romania	1895		year	"און עס אויפגעפירט א""נ „די קאַטאַסטראָפע פון בראַאילא“. דאָס שטיק איז דורכגעפאַלן און איז מער ניט אויפגעפירט געוואָרן."	yes	high	claude-agent-gold		Goldfaden staged the Lateiner-based adaptation in Braila, 1895; it failed and was never restaged.
GOLD#003	P-1-facs_174_region_1715799875093_402	facs_174_region_1715799875093_402	gold_claude			די קאַטאַסטראָפע פון בראַאילא		music	איזמאַאילאָנאַ	composer				בראַאילא	Romania	1895		year	צו דערדאָזיקער פּיעסע האָט אַ מיטגליד פון ג.'ס טרופּע, איזמאַאילאָנאַ, פאַרפאַסט די לידער און די מוזיק.	yes	high	claude-agent-gold		Izmailona, a member of Goldfaden's troupe, composed the songs and the music for this Lateiner-based piece.
GOLD#004	P-1-facs_174_region_1715799875093_402	facs_174_region_1715799875093_402	gold_claude			יהודה המכבי	PL-0192	production	[HOST]	producer					France	1889	1890	circa	"אויפגעפירט זיינען געוואָרן ""שולמית“, „בר כוכבא“ „יהודה המכבי“ ""שלמה המלך“ א. א."	yes	low	claude-agent-gold		Paris, per the painter Krieger's recollection of Goldfaden's Paris troupe (rue Rochechouart, ca. Dec 1889-1890). No author named. 'Yehude Hamakabi' matches Hurwitz registry PL-0192 and is not a known Goldfaden title; but the memoirist lists it amid Goldfaden's own operettas (Shulamis, Bar Kokhba), so authorship is uncertain — possibly the troupe played Hurwitz's play, possibly a misremembered title. LOW confidence, flagged as a judgment call.
GOLD#005	P-1-facs_174_region_1715799875093_402	facs_174_region_1715799875093_402	gold_claude			שלמה המלך	PL-0270	production	[HOST]	producer					France	1889	1890	circa	"אויפגעפירט זיינען געוואָרן ""שולמית“, „בר כוכבא“ „יהודה המכבי“ ""שלמה המלך“ א. א."	yes	low	claude-agent-gold		Same Paris repertoire list as the Yehude Hamakabi row. 'Shlomo Hamelekh' matches registry PL-0270 (Hurwitz list) and is not a known Goldfaden title; authorship uncertain in context. LOW confidence, flagged as a judgment call.
GOLD#006	P-1-facs_174_region_1715799875093_402	facs_174_region_1715799875093_402	gold_claude			יהודית און הולפרנוס	PL-0193	excluded_homonym										none	צו יענער עפּאָכע געהערן ג.'ס: יהודית און הולפרנוס“ - מוזיק פון גבריאל פינקעלשטיין	yes	high	claude-agent-gold		Excluded: explicitly Goldfaden's OWN 'Yudis un Holofernes' (music by Gabriel Finkelshteyn), a homonym of the registry play PL-0193 'Yehudis un Holofernes'.
GOLD#007	P-1-facs_174_region_1715799875093_402	facs_174_region_1715799875093_402	gold_claude			ראָטשילד	PL-0029	excluded_homonym										none	אין לעמבערג האָט ג. אויך אויפגעפירט זיין אָפּערעטע — „ראָטשילד“, מוזיק פון מאָריס פאל	yes	high	claude-agent-gold		Excluded: Goldfaden's OWN operetta 'Rotshild' (music by Moritz Fall), staged in Lemberg — near-homonym of Hurwitz's 'Der Baron Rotshild' (PL-0029); logged to prevent a false match.
GOLD#008	P-1-facs_261_tr_1741260190	facs_261_tr_1741260190	gold_claude			דאָס פּוילישע יונגל	PL-0063	production	[HOST]	actor		יאָנג היברוס דראָמאָטיק קלאָב				1893		circa	"טרעט דאָ אויף אין דער טיטל ראָל פֿון הורוויץס „דאָס פּוילישע יונגל"" א""ר פֿון משה זילבערמאַן און קוראַזש"	yes	high	claude-agent-gold		Gebil played the title role in Hurwitz's 'Dos poylishe yingl' at the Young Hebrews Dramatic Club he organized (New York, East Side, contextual). Date circa 1892/93 (he joined the East Side Dramatic Club at 14, organized this club a year later; born Dec 1877).
GOLD#009	P-1-facs_261_tr_1741260190	facs_261_tr_1741260190	gold_claude			דאָס פּוילישע יונגל	PL-0063	production	משה זילבערמאַן	director		יאָנג היברוס דראָמאָטיק קלאָב				1893		circa	"אין דער טיטל ראָל פֿון הורוויץס „דאָס פּוילישע יונגל"" א""ר פֿון משה זילבערמאַן און קוראַזש"	yes	high	claude-agent-gold		"a""r fun = under the direction of Moshe Zilberman (with Kurazh)."
GOLD#010	P-1-facs_261_tr_1741260190	facs_261_tr_1741260190	gold_claude			דאָס פּוילישע יונגל	PL-0063	production	קוראַזש	director		יאָנג היברוס דראָמאָטיק קלאָב				1893		circa	"אין דער טיטל ראָל פֿון הורוויץס „דאָס פּוילישע יונגל"" א""ר פֿון משה זילבערמאַן און קוראַזש"	yes	high	claude-agent-gold		Co-director (with Moshe Zilberman) of the club production of Hurwitz's play.
