cluster_a	cluster_b	name_a	name_b	type_a	type_b	settlements_a	settlements_b	db_a	db_b	db_name_a	db_name_b	decision_a	decision_b	shared_hosts	jaccard	idf_score	shared_host_headings	pair_review_decision	flag
ORG-C00740	ORG-C00741_Q01	פּאָבליק-סקול	האָי-סקול	Education	Education	אָמעריקע | אמעריקע | לאָנדאָן | ניו יאָרק | ניו-יאָרק | סינסינעטי | פילאַדעלפיע | פילאדעלפיע | קליוולאַנד | שיקאָגאָ | פֿילאָדעלפיע	שיקאָגאָ					DESCRIPTIVE	DESCRIPTIVE	17	0.224	6.003	אייזמאַן, גאָלדע | באַראַט, מאַרטי [משה-מאָרטין באַראַץ] | בודאַנאָוו, בעסי [בודניק] | גאָלדבערג, דינה | גאָלדבערג, ראָזאַ [פינקענטאל] | גאָלדקנאָפּ, אַברהם דר. | דאָרף, עטל [עפּעלבלאַט] | וואָלערשטיין, ראָזאַ		
ORG-C00184_Q01	ORG-C03400	מאָסקווער יידישן מלוכה-טעאַטער	מאָסקווער יידישע טעאַטראַלע שול	Theatre	Education	באַקו | באַקוו | טאַשקענט | לענינגראָד | מאָסקווע | מאָסקווער | קיעוו	מאָסקווע | מאָסקווער	412	1505	The Russian State Theatre	מאָסקווער יידישע טעאַטראַלע שול	ALIGN	NEW	6	0.109	3.786	מאַרמאָ, גרישאַ | מוראַק יאָסל | מיידעלמאַן, באָריס, | קיגעל, יוסף | ראַטנער, מאַניע | ראָזענבערג, אַברהם		
ORG-C00179	ORG-C00180_Q01	קונסט-רינג	יידישן קונסט-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	306	1459	קונסט-רינג	יידישן קונסט-טעאַטער (ניו יאָרק)	ALIGN	ALIGN	9	0.087	2.618	"בודאַנאָוו, בעסי [בודניק] | בראַנדט, לואי [„מאָטעלע""] | גיבסאָן, מיכל [גזשיבאָוויטש] | טיקמאַן, יעקב | טרייבוש, שמעון | נאַדיר, משה [יצחק רייז] | סקולער צבי | עליאַס, מרים"		
ORG-C00635_Q01	ORG-C00740	פּאָבליק-טעאַטער	פּאָבליק-סקול	Theatre	Education	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	אָמעריקע | אמעריקע | לאָנדאָן | ניו יאָרק | ניו-יאָרק | סינסינעטי | פילאַדעלפיע | פילאדעלפיע | קליוולאַנד | שיקאָגאָ | פֿילאָדעלפיע	365		Public Theatre (Folks Theatre)		ALIGN	DESCRIPTIVE	5	0.047	1.806	באַראַט, מאַרטי [משה-מאָרטין באַראַץ] | בלאַנק לעאָן | לובריצקי, דעיוו (דוד) | פינקעל, בעלאַ | פרענק בעלאַ		
ORG-C00019	ORG-C00184_Q01	קיעווער יידישן מלוכה-טעאַטער	מאָסקווער יידישן מלוכה-טעאַטער		Theatre	קאָקאַנד | קאָקאנד | קיעוו	באַקו | באַקוו | טאַשקענט | לענינגראָד | מאָסקווע | מאָסקווער | קיעוו	515	412	קיעווער יידישן מלוכה-טעאַטער	The Russian State Theatre	ALIGN	ALIGN	4	0.058	1.513	גערשענזאָן, משה | ווייסמאַן, הערש | מינעוויין, איזי, | קרעמער איסאַק		
ORG-C00180_Q01	ORG-C00702	יידישן קונסט-טעאַטער	לעקסיקאָן פון יידישן טעאַטער	Theatre	Publisher	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק		1459	310	יידישן קונסט-טעאַטער (ניו יאָרק)	לעקסיקאָן פון יידישן טעאַטער	ALIGN	ALIGN	5	0.038	1.469	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין] | פּערקאָף, יצחק | קאָהען, טשאַרלי [שבתי) | קעשיר איזידאָר [זישע קאַסירער] | רומשינסקי, יוסף [רומשיסקי]		
ORG-C00291_Q01	ORG-C00740	היי-סקול	פּאָבליק-סקול	Education	Education		אָמעריקע | אמעריקע | לאָנדאָן | ניו יאָרק | ניו-יאָרק | סינסינעטי | פילאַדעלפיע | פילאדעלפיע | קליוולאַנד | שיקאָגאָ | פֿילאָדעלפיע						DESCRIPTIVE	4	0.056	1.24	פורמאַן, נאָרמאַן | קאַרפּ, ראָזע | קאָפּלאַן, זעלדע | שעהנגאָלד, יוסף		
ORG-C01304	ORG-C01305	לאָדזער נאַכריכטען	לאָדזער טאַגעבלאַט	Journals/ Newspapers	Journals/ Newspapers	לאָדזש	לאָדז | לאָדזער | לאָדזש		1523		לאָדזער טאַגעבלאַט		NEW	4	0.308	1.074	אוגער ישעיה | אוגער, ישעיה | כַהַן, צבי | קאַהאַן, לאַזאַר		
ORG-C00130	ORG-C00752_Q02	קונסט-ווינקל	אונזער ווינקל (קיעוו)	Traveling Company		אָדעס | דניעפּראָפּיעטראָווסק | דניעפּראָפּעטראָווסק | כאָרקאָוו | פּאָלטאָווע | קייעוו | קיעוו | פֿילאַדעלפיע	קיעוו	307	1786	קונסט-ווינקל	אונזער ווינקל (קיעוו)	ALIGN	ALIGN	3	0.115	1.063	הילסבערג, מרדכי | עדעלמאַן, סאָניע | עדעלמאַן-קלעבאַנאָוואַ, ניוניע (חנה)		
ORG-C00740	ORG-C01956	פּאָבליק-סקול	געבילס פּאָבליק-טעאַטער	Education	Theatre	אָמעריקע | אמעריקע | לאָנדאָן | ניו יאָרק | ניו-יאָרק | סינסינעטי | פילאַדעלפיע | פילאדעלפיע | קליוולאַנד | שיקאָגאָ | פֿילאָדעלפיע	ניו יאָרק | ניויאָרק					DESCRIPTIVE		3	0.042	1.028	אייזמאַן, גאָלדע | גערטלער סעם [ישראל] | טאָמאַשעווסקי, הער (הערש-יונה)		
