cluster_id	canonical_yiddish	org_type	extracted_settlements	candidate_db_id	candidate_db_name	shared_hosts	idf_score	shared_host_headings
ORG-C01011	לאָדזשער גרויסן טעאַטער	Theatre	לאָדזש | לאָדזשער | לאדזש | לאָדזש	604	לאָדזשער סקאַלאַ-טעאַטער	3	0.964	ביאַלקאָוויטש,ישראל | האַמבורגער, דוד-גדליה | זילבּערצווייג, זלמן
ORG-C01053_Q01	ליריק	Theatre	ניו יאָרק | ניו-יאָרק	176	ליריק-טעאַטער	3	0.827	גאָלדקנאָפּ, אַברהם דר. | וואָלערשטיין, עלאַ [געשפּאָס] | טוכמאַן, ליזאַ [קיידאַן]
ORG-C00774	טעאַטער אַמבאַ	Theatre	בוענאָס איירעס | בוענאָס-איירעס	747	טעאַטער עקסעלסיאָר	2	0.71	פּעלץ, מרדכי | שעפנער, שמואל
ORG-C01188_Q01	יידישן לערער-סעמינאר	Education	ניו יאָרק | ניו-יאָרק	442	Yiddish artists union	2	0.672	פורמאַן, נאָרמאַן | ראַטבלום [רויטבלום], יצחק
ORG-C02718	גראָדנער רוסישן שטאָטטעאַטער	Theatre	גראָדנע	604	לאָדזשער סקאַלאַ-טעאַטער	2	0.672	חאַש, יוסף | כאַש, יוסף
ORG-C01679	דריטן סטריט טעאַטער	Theatre	ניו יאָרק | ניו-יאָרק	134	Windsor Theatre	2	0.666	זאָלאַטאַרעפסקי, איזידאָר [יצחק] | שאַרגעל, יעקב
ORG-C00266_Q02	מעקינלי סקווער טעאַטער	Theatre	ניו יאָרק | ניו-יאָרק	134	Windsor Theatre	2	0.658	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | קעסלער יאָזעף
ORG-C00722_Q03	אונזער טעאַטער	Theatre		110	Artef Theatre	2	0.649	בלייפֿער, יעקב | לעלטשוק, בערטאַ
ORG-C01289_Q01	יידישער ראַדיאָ (ניו יאָרק)	Media (Radio/ Film/TV)	ניו יאָרק	442	Yiddish artists union	2	0.631	גרובער מירעלע | פיעלד אסתר [קאָרנבליט]
ORG-C01387_Q11	יידישן טעאַטער	Theatre		134	Windsor Theatre	1	0.631	צווייבעל, לואיס
ORG-C01956	געבילס פּאָבליק-טעאַטער	Theatre	ניו יאָרק | ניויאָרק	176	ליריק-טעאַטער	2	0.631	האָניגמאַן, יצחק | טאָמאַשעווסקי, הער (הערש-יונה)
ORG-C03587	ווייסרוסישן אָפּערע-טעאַטער	Theatre		593	ווייסרוסישן יידישן מלוכה-טעאַטער	1	0.631	זעווין, לעוו
ORG-C04227_Q01	ליטעראָריש-דראָמאָטישן קלאָב	Theatre	ניו יאָרק | ניו-יאָרק | ניויאָרק	363	Progresiv dramatik klub (Progressive Drama Club)	2	0.626	גאָלדשמידט, יחיאָל | לאַנגסנער, קלאַראַ
