File	"""action"""	context	Column 1	place	toKima	place clustered	dodgy reconciliation for place	initial reconciliation for place	province	province clustered	province Qid	country	country cluster	Country Qid
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_34_r_1	האָליוואוד בית עולם	האָליוואוד בית עולם	האָליוואוד בית עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_39_tr_1752612112	בית עולם פֿון די יידישע טעאַטריקל עלייענס	בית עולם פֿון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172	Q2341172	ניו יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_41_r_2	הר חברון	הר חברון	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_43_r	סילווערלעיק בית עולם	סילווערלעיק בית עולם	סילווערלעיק בית עולם			סטעטן איילאַנד	סטעטען איילאַנד				
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_47_r_2	בית עולם פֿון די יידישע טעאַטריקל עלייענס אויפֿן הר חברון	בית עולם פֿון די יידישע טעאַטריקל עלייענס אויפֿן הר חברון	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_55_tr_1753681940	וואַשינגטאָן סעמעטערי	וואַשינגטאָן סעמעטערי	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_59_tr_1753681938	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_60_r_1	הר חברון	הר חברון	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_69_tr_1753681922	הר לבנון	הר לבנון	הר לבנון						פילאַדעלפיע	Philadelphia	Q1345
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_70_r	לאָדזשער יידישן בית עולם	לאָדזשער יידישן בית עולם	לאָדזשער יידישן בית עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_79_tr_1753938272	וואַשינגטאָנער בית עולם	וואַשינגטאָנער בית עולם	Washington Cemetery	Q7971720	Q7971720	דער אָפּטיילונג פֿון דער סטריער סאָסייעט	דער אָפּטיילונג פֿון דער סטריער סאָסייעט				
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_79_tr_1753938275	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_82_tr_1753938284	ברוקלין	ברוקלין	Brooklyn	Q18419	Q18419	ניו יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_85_tr_1753938252	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_86_tr_1753938260	וואַשינגטאָן בית עולם	וואַשינגטאָן בית עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_86_tr_1753938264	מאָנטעפיאָראַ בית עולם	מאָנטעפיאָראַ בית עולם	מאָנטעפיאָראַ בית עולם			פֿילאַדעלפיע	Philadelphia	Q1345			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_89_tr_1753938268	צענטראַלן פֿרידהאָף	צענטראַלן פֿרידהאָף	צענטראַלן פֿרידהאָף								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_89_tr_1753938266	בעלץ	בעלץ	Bălți	Q37801	Q37801						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_95_tr_1753602022	הר חברון	הר חברון	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_95_tr_1753602024	טאַראַנטאָ	טאַראַנטאָ	Toronto	Q172	Q172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_96_tr_1753602020	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_100_r	לבנון בית עולם פונם אַרבעטעררינג	לבנון בית עולם פונם אַרבעטעררינג	לבנון בית עולם פונם אַרבעטעררינג								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_103_tr_1753681918	באַראָן הירש סעמעטערי	באַראָן הירש סעמעטערי	Baron Hirsch Cemetery	Q4862481	Q4862481	סטעטען איילאַנד	סטעטען איילאַנד		ניו דזשוירזי	New Jersey	Q1408
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_115_tr_1753936446	בית עולם פון די „אַדלערס יאָנג מענס“	בית עולם פון די „אַדלערס יאָנג מענס“	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_138_tr_1754224987	וואַשינגטאָנער בית עולם	וואַשינגטאָנער בית עולם	Washington Cemetery	Q7971720	Q7971720				ניו יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_141_tr_1754377601	פּאַריז	פּאַריז	Paris	Q90	Q90						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_143_tr_1754377592	בית-עולם	בית-עולם	בית-עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_201_tr_1754998574	מאונט זייאָן	מאונט זייאָן	מאונט זייאָן			קווינס, לאַנג איילאַנד	קווינס, לאַנג איילאַנד		נ. י.	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_207_tr_1754998369	האָליוואוד סעמעטערי	האָליוואוד סעמעטערי	האָליוואוד סעמעטערי			לאָס אַנדזשעלעס	Los Angeles	Q65	קאַליפֿאָרניע	California	Q99
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_249_tr_1754998575	בית עולם פֿון יידישן סאָציאַליסטישן פֿאַרבאַנד	בית עולם פֿון יידישן סאָציאַליסטישן פֿאַרבאַנד	Mount Hebron Cemetery	Q2341172	Q2341172	ניו-דזשוירזי	New Jersey	Q1408			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_260_tr_1754998378	בית דוד בית עולם	בית דוד בית עולם	"""בית דוד"" בית-עולם"								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_264_tr_1754998383	פֿילאַדעלפיע	פֿילאַדעלפיע	Philadelphia	Q1345	Q1345						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_270_tr_1754998435	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_274_tr_1754998428	בית עולם פֿון די יידישע טעאַטריקל עלייענס	בית עולם פֿון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_274_tr_1754998431	וואַשינגטאָן בית-עולם	וואַשינגטאָן בית-עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_276_tr_1754998430	וואַלדהיים בית עולם	וואַלדהיים בית עולם	וואַלדהיים בית עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_278_tr_1754998432	בית עולם פון די יידישע טעאַטריקל עלייענס	בית עולם פון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_279_tr_1754998502	הר-חברון בית עולם	הר-חברון בית עולם	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_279_tr_1754998499	בית עולם	בית עולם	בית-עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_322_tr_1754998441	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_323_tr_1754998450	בית עולם פֿון דער מאָגעלניצער סאָסייעט אין ריטשמאַנד	בית עולם פֿון דער מאָגעלניצער סאָסייעט אין ריטשמאַנד	Mount Hebron Cemetery	Q2341172	Q2341172	סטעטען איילאַנד	סטעטען איילאַנד				
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_325_tr_1754998561	קרעמאַטאָריום	קרעמאַטאָריום	קרעמאַטאָריום								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_342_tr_1754998516	בית עולם פון „אַרבייטער רינג‟	בית עולם פון „אַרבייטער רינג‟	Mount Carmel Cemetery	Q4285547	Q4285547						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_351_tr_1754998561	מאָנטעפיאָרע בית עולם	מאָנטעפיאָרע בית עולם	מאָנטעפיאָראַ בית עולם			סט. אָלבענס, לאָנג איילאַנד	סט. אָלבענס, לאָנג איילאַנד		ניו יאָָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_355_tr_1754998462	בית עולם פֿון די יידישע טעאַטריקל עלייענס	בית עולם פֿון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_381_r	הר סיני בית עולם	הר סיני בית עולם	הר סיני בית עולם						ניו יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_447_tr_1755029922	תל-אביב	תל-אביב	Tel Aviv	Q33935	Q33935						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_641_tr_1755030027	בית עולם פון די יידישע טעאַטריקל עלייענס	בית עולם פון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_651_tr_1755030219	"""בית דוד"" בית-עולם"	"""בית דוד"" בית-עולם"	"""בית דוד"" בית-עולם"			לאַנג איילאַנד	לאַנג איילאַנד		נ. י.	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_661_tr_1755030261	פֿיינהוירסט (נאַציאָנאלן) בית עולם	פֿיינהוירסט (נאַציאָנאלן) בית עולם	פֿיינהוירסט (נאַציאָנאלן) בית עולם						אַמעריקע	United States	Q30
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_668_tr_1755029974	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Los Angeles	Q65	Q65						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	4-facs_672_r_1	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_206_tr_1741260252	הר-הכרמל	הר-הכרמל	Mount Carmel Cemetery	Q4285547	Q4285547						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_208_tr_1741260252	בית עולם פון די יידישע טעאַטריקל-עליינס	בית עולם פון די יידישע טעאַטריקל-עליינס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_209_tr_1741260252	הר-ציון-בית עולם	הר-ציון-בית עולם	הר-ציון-בית עולם			לאָנג איילאַנד	לאַנג איילאַנד		ניו יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_210_tr_1741260180	וואַשינגטאָן בית-עולם	וואַשינגטאָן בית-עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_212_tr_1741260189	וואַשינגטאָן סעמעטער	וואַשינגטאָן סעמעטער	Washington Cemetery	Q7971720	Q7971720	ניו יאָרק	New York City	Q60	אַמעריקע	United States	Q30
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_248_tr_1741260287	"הר הכרמל פון ""אַרבעטער רינג"""	"הר הכרמל פון ""אַרבעטער רינג"""	Mount Carmel Cemetery	Q4285547	Q4285547				ניו יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_255_tr_1741260322	בית עולם פֿון די יידישע טעאַטריקל עליינס	בית עולם פֿון די יידישע טעאַטריקל עליינס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_270_r	סטראָטפֿאָרט בית-עולם	סטראָטפֿאָרט בית-עולם	סטראָטפֿאָרט בית-עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_270_r_2	סטרעטפאָרד בית-עולם	סטרעטפאָרד בית-עולם	סטרעטפאָרד בית-עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_274_tr_1741260198	ניו יאָרקער הר-לבנון-בית עולם	ניו יאָרקער הר-לבנון-בית עולם	ניו יאָרקער הר-לבנון-בית עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_280_r_2	מאונט היברו	מאונט היברו	מאונט היברו			לאַנג איילאַנד	לאַנג איילאַנד		נ. י.	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_283_tr_1741260226	בית עולם פֿון דער יידישער טעאָטריקעל-עלייענס	בית עולם פֿון דער יידישער טעאָטריקעל-עלייענס	Mount Hebron Cemetery	Q2341172	Q2341172						
