entry_key	person_id	volume	xml_id	heading	entry_type	hub_id	db_id	node_id	align_evidence
1-facs_17_tr_1713546856	P-1-facs_17_tr_1713546856	1	facs_17_tr_1713546856	אַבּדול	performer	HUB-D1096	1096	person:1096	ra_align
1-facs_17_tr_1713546845	P-1-facs_17_tr_1713546845	1	facs_17_tr_1713546845	אָבּערבּערג, אַדאָלף	performer	HUB-D2585	2585	person:2585	ra_align
1-facs_17_r_9	P-1-facs_17_r_9	1	facs_17_r_9	אבערלענדער אַלעקסאנדער	administrator	HUB-D2588	2588	person:2588	ra_align
1-facs_17_r_3	P-1-facs_17_r_3	1	facs_17_r_3	אָבערלענדער, סאָׁפיע	performer	HUB-D2587	2587	person:2587	ra_align
1-facs_17_tr_1713546853	P-1-facs_17_tr_1713546853	1	facs_17_tr_1713546853	אַבּערמאן, יצחק [האַבער]	performer	HUB-D1100	1100	person:1100	ra_align
1-facs_18_r_8_1	P-1-facs_18_r_8_1	1	facs_18_r_8_1	אָבראַגאַם ידאָ [פעלטענשטיין]	performer	HUB-D1101	1101	person:1101	ra_align
1-facs_18_TextRegion_1711991809768_2571	P-1-facs_18_TextRegion_1711991809768_2571	1	facs_18_TextRegion_1711991809768_2571	אַבראַמאָוו	performer	HUB-D1106	1106	person:1106	ra_align
1-facs_18_r	P-1-facs_18_r	1	facs_18_r	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	performer	HUB-D1103	1103	person:1103	human_align
1-facs_18_TextRegion_1711991763648_2536	P-1-facs_18_TextRegion_1711991763648_2536	1	facs_18_TextRegion_1711991763648_2536	אַבראַמאָוויטש, איזאַק	writer	HUB-D1109	1109	person:1109	ra_align
1-facs_18_TextRegion_1711991747546_2519	P-1-facs_18_TextRegion_1711991747546_2519	1	facs_18_TextRegion_1711991747546_2519	אַבראַמאָוויטש, בינע [פוקס]	performer	HUB-D742	742	person:742	ra_align
1-facs_19_r	P-1-facs_19_r	1	facs_19_r	אַבראַמאָוויטש, חיים	performer	HUB-D1108	1108	person:1108	ra_align
1-facs_19_r_6	P-1-facs_19_r_6	1	facs_19_r_6	אַבראַמאָוויטש, מאַקס (מענדל)	performer	HUB-D694	694	person:694	ra_align
1-facs_20_tr_1740515222	P-1-facs_20_tr_1740515222	1	facs_20_tr_1740515222	אַבראַמס, אַדאָלף [אָבּראָמאָוויטש]	performer	HUB-D1110	1110	person:1110	ra_align
1-facs_20_tr_1740515229	P-1-facs_20_tr_1740515229	1	facs_20_tr_1740515229	אַבראַמסאָן, אייוואָן	director_regisseur	HUB-D735	735	person:735	ra_align
1-facs_20_tr_1740515223	P-1-facs_20_tr_1740515223	1	facs_20_tr_1740515223	אַבראַמסקי, ג.	writer	HUB-D1112	1112	person:1112	ra_align
1-facs_21_tr_1740515222	P-1-facs_21_tr_1740515222	1	facs_21_tr_1740515222	אַנעד, סעם [שלמה]	administrator	HUB-D1132	1132	person:1132	ra_align
1-facs_21_tr_1740515225	P-1-facs_21_tr_1740515225	1	facs_21_tr_1740515225	אַדאָלפי	writer	HUB-D1130	1130	person:1130	ra_align
