row_id	name	original_type	canonical_type	changed	needs_review	decided_via	review_reason	llm_canonical	llm_agree	llm_concern_theme	llm_reason	llm_suggested_new_canonical
0	עם עובד	Publisher	Publisher			tag						
1	כתר	Publisher	Publisher			tag						
2	הקיבוץ המאוחד	Publisher	Publisher			tag						
3	זמורה ביתן	Publisher	Publisher			tag						
4	כנרת זמורה ביתן	Publisher	Publisher			tag						
5	בבל	Publisher	Publisher			tag						
6	נ. טברסקי	Publisher	Publisher			tag						
7	ספרית מעריב	Publisher	Publisher			tag						
8	בימת קדם לספרות	Publisher	Publisher			tag						
9	דפוס השומר הצעיר					tag						
10	הקיבוץ הארצי השומר הצעיר	Publisher	Jewish political bodies	yes		named_entity		Jewish political bodies	yes	agree	Hashomer Hatzair is explicitly listed in the policy under Jewish political bodies as a Zionist movement.	
11	ספרי סימן קריאה	Publisher	Publisher			tag						
12	ידיעות אחרונות ספרי חמד	Publisher	Publisher			tag						
13	כנרת זמורה ביתן דביר	Publisher	Publisher			tag						
14	כתר זמורה ביתן	Publisher	Publisher			tag						
15	מודן	Publisher	Publisher			tag						
16	ספרי עליית הגג	Publisher	Publisher			tag						
17	ידיעות אחרונות	Publisher	Publisher			tag						
18	ספרי חמד	Publisher	Publisher			tag						
19	ספרית פועלים	Publisher	Publisher			tag						
20	ספריה לעם	Publisher	Publisher			tag						
21	חרגול	Publisher	Publisher			tag						
22	שוקן	Publisher	Publisher			tag						
23	הספריה החדשה	Publisher	Publisher			tag						
24	יואל לעבענזאהן	Printer	Printer			tag						
25	יוסף פישער					tag						
26	New York Public Library	Library	Library			tag						
27	YIVO Institute for Jewish Research	Heritage Institution	Heritage Institution			named_entity		Heritage Institution	yes	agree	Policy explicitly maps YIVO to Heritage Institution.	
28	National Yiddish Book Center	Heritage Institution	Heritage Institution			tag						
29	Library of Congress	Library	Library			tag						
30	United Jewish Actors Company					tag						
31	The Russian-Jewish Opera Company	Theatre	Theatre			tag						
32	The Hebrew Opera and Dramatic Company	Theatre	Theatre			tag						
33	The Roumanian Opera Company	Theatre	Theatre			tag						
34	Dramatic Folk Theatre	Theatre	Theatre			tag						
35	Independent Jewish Actors Company	Traveling Company	Traveling Company			tag						
38	The Order of David's Harp					tag						
39	Union Theatre Actors Company					tag						
40	דער אָריענטאַל קאָמפּאַניע	Traveling Company	Traveling Company			tag						
41	יאַסער טרופּע					tag						
42	גאָלדפאדעןס טרופּע -Avraham Goldfaden Troupe					tag						
43	גראַדנערס קאָמפּאַניע					tag						
44	איזראעליטישע-דראַמאַטישע-געזעלשאַפט					tag						
47	קולטור| Kultur	Publisher	Publisher			tag						
48	נ. ראָזנבּלוּם	Publisher	Publisher			tag						
49	ע. גיטלין	Publisher	Publisher			tag						
50	שלמה גאָלדפאַרבּ	Publisher	Publisher			tag						
52	היברו פּאַבלישינג קאָמפאני	Publisher	Publisher			tag						
53	Yuropian Hibru poblishing ḳompani	Publisher	Publisher			tag						
54	Di inṭernatsyonale biblioṭheḳ	Publisher	Publisher			tag						
55	Elizeum	Publisher	Publisher			tag						
56	L. Ḥarik	Publisher	Publisher			tag						
57	Progres	Publisher	Publisher			tag						
58	N. Sṭarovolsḳi| נ. סטאראוואלסקי	Printer	Printer			tag						
60	י. לידסקי	Publisher	Publisher			tag						
61	קונסט|Kunst	Publisher	Publisher			tag						
62	אהרן פויסט| A. Faust	Publisher	Publisher			tag						
63	אַמקרויט עט פריינד| Amkroyt un Fraynd	Publisher	Publisher			tag						
64	בּנימין מונק|Benjamin Munk	Publisher	Publisher			tag						
65	דוד ראָטה|D. Roth	Publisher	Publisher			tag						
66	ש. ל. דייטשער| Sh. L. Deytsher	Printer	Printer			tag						
67	לעווין אפשטיין					tag						
68	הצפירה					tag						
69	ווארשעווער אידישער טעאטר -א.ג. קאמפאניעעץ	Printer/Publisher	Printer/Publisher			tag						
70	D. Salat| א. סאלאט	Printer	Printer			tag						
71	Yosef Fischer					tag						
72	Munish Necheles	Printer/Publisher	Printer/Publisher			tag						
73	מ. צדרבוים	Printer	Printer			tag						
74	פערלאגס-בוכהאנדלונג ״יבנה״	Publisher	Publisher			tag						
75	Pimelt and Y.Shvabe	Printer	Printer			tag						
76	B. Tursh	Printer	Printer			tag						
77	A. Hellmann	Printer/Publisher	Printer/Publisher			tag						
78	Katzenelenbogen & Rabinowitz	Publisher	Publisher			tag						
79	Meyer Levin	Printer/Publisher	Printer/Publisher			tag						
80	Theodore Lohr	Printer/Publisher	Printer/Publisher			tag						
81	Arbeiter Zeitung					tag						
82	Joseph Jaffe	Printer/Publisher	Printer/Publisher			tag						
83	A.B.C. Grand Record (Austria)	Publisher	Publisher			tag						
84	Garland Pub.	Printer/Publisher	Printer/Publisher			tag						
85	Julius Litwak	Printer/Publisher	Printer/Publisher			tag						
86	אליקום צונזער'ס | Elyoḳum Tsunzers	Printer/Publisher	Printer/Publisher			tag						
87	ל. ראבינאוויטץ	Printer/Publisher	Printer/Publisher			tag						
88	Rapaporṭ's Prinṭing | ראפאפארט'ס פרינטינג	Printer/Publisher	Printer/Publisher			tag						
89	Kruger und Lifshits	Printer/Publisher	Printer/Publisher			tag						
90	יאזעף קרוגער	Printer/Publisher	Printer/Publisher			tag						
91	י. ליפשיטץ [ליפשיץ]| Lipshitz Press	Printer/Publisher	Printer/Publisher			tag						
92	Baron	Printer	Printer			tag						
93	Chathan Printing	Printer	Printer			tag						
94	Julius Litwak|Litwack	Printer/Publisher	Printer/Publisher			tag						
95	Dzsheyḳob Gordon| דזשייקאב גארדאן	Printer	Printer			tag						
96	Grayzel & Co. Union Printers	Printer	Printer			tag						
97	Ḳ. Leṿenshṭeyn ,  ק. לעווענשטיין	Printer/Publisher	Printer/Publisher			tag						
98	Jüdischen Künstlerspiele	Printer/Publisher	Printer/Publisher			tag						
99	Albert Teres	Printer/Publisher	Printer/Publisher			tag						
100	Empire Music	Printer/Publisher	Printer/Publisher			tag						
101	Hebrew Publishing Company	Publisher	Publisher			tag						
102	J. Katzenelenbogen	Publisher	Publisher			tag						
103	Kruger Printing	Printer	Printer			tag						
108	Folḳsbildung	Printer/Publisher	Printer/Publisher			tag						
109	Adler Theatre	Theatre	Theatre			tag						
110	Artef Theatre	Theatre	Theatre			tag						
111	Bowery Garden Theatre	Theatre	Theatre			tag						
112	Deutsch Jüdisches Theater	Theatre	Theatre			tag						
113	Gradina Lieblich Jigniza	Theatre	Theatre			tag						
115	Grand Theatre	Theatre	Theatre			tag						
116	Irwing Place (Deutsches) Theatre	Theatre	Theatre			tag						
117	Mariinski	Theatre	Theatre			tag						
118	National Theatre	Theatre	Theatre			tag						
119	Oriental Theatre	Theatre	Theatre			tag						
120	People's Theatre NY	Theatre	Theatre			tag						
121	People's Theater Ohio	Theatre	Theatre			tag						
122	Perry Theatre	Theatre	Theatre			tag						
123	Poole's Theatre	Theatre	Theatre			tag						
124	Ringtheater	Theatre	Theatre			tag						
125	Roumanian Opera House|Central Theatre	Theatre	Theatre			tag						
126	Salon Garibaldi	Theatre	Theatre			tag						
127	Schildkraut Theatre	Theatre	Theatre			tag						
128	Second Avenue Theatre	Theatre	Theatre			tag						
129	Terrace Garden Theatre	Theatre	Theatre			tag						
130	Thalia Theatre|Bowery Theatre	Theatre	Theatre			tag						
131	Turn Hall	Theatre	Theatre			tag						
132	Union Theatre	Theatre	Theatre			tag						
133	V. Pillings's National Theatre	Theatre	Theatre			tag						
134	Windsor Theatre	Theatre	Theatre			tag						
136	פאָלקס גאַרדען⸗האָל Folks Garden Hall	Theatre	Theatre			tag						
137	פּאמול ווערדי - Gradina Pomul verde	Theatre	Theatre			tag						
138	רוף גאַרדן - Roof Garden	Theatre	Theatre			tag						
139	City Theater	Theatre	Theatre			tag						
140	Lenox Theater	Theatre	Theatre			tag						
141	New Orpheum Theater	Theatre	Theatre			tag						
143	Empire Theatre	Theatre	Theatre			tag						
144	Kessler's Lyric Theatre	Theatre	Theatre			tag						
145	Grand Opera House	Theatre	Theatre			tag						
146	Metropolitan Theatre	Theatre	Theatre			tag						
147	Kaminski's Theatre	Theatre	Theatre			tag						
148	Salon Erfoon Espanol	Theatre	Theatre			tag						
149	Turner Hall	Theatre	Theatre			tag						
150	Hub Theatre	Theatre	Theatre			tag						
151	Tsentral Theater	Theatre	Theatre			tag						
152	איזראעליטישער נאציאנאל גארטען  Israelitisches Nationalgarten	Theatre	Theatre			tag						
153	Glickman's Yiddish Players	Company on Tour	Company on Tour			tag						
154	Columbia Theatre	Theatre	Theatre			tag						
155	Academy of Music	Theatre	Theatre			tag						
156	Thomashefsky Theatre	Theatre	Theatre			tag						
157	Baumritter	Printer	Printer			tag						
158	פ. קאנטאראוויטש|יודישע טהעאַטער⸗בּיבּליאָטעק|Teater bibliyotek	Publisher	Publisher			tag						
160	Kalich Theatre	Theatre	Theatre			tag						
161	Muranover Yiddish Teater	Theatre	Theatre			tag						
162	Olimpic Theatre (St. Louis, MO)	Theatre	Theatre			tag						
163	Royal Theatre (Harry Bernstein)	Theatre	Theatre			tag						
164	Feynman's Folks Theatre	Theatre	Theatre			tag						
165	Gilmore's Auditorium	Theatre	Theatre			tag						
166	Jardin d'Hiver	Theatre	Theatre			tag						
167	New Star Theatre	Theatre	Theatre			tag						
168	Casino Teater (previously Gilmore's)	Theatre	Theatre			tag						
169	Die Feymos Teatre	Theatre	Theatre			tag						
170	Madison Street Theater	Theatre	Theatre			tag						
171	Olimpic Theatre	Theatre	Theatre			tag						
172	Park Theatre	Theatre	Theatre			tag						
173	Teater Ermitage	Theatre	Theatre			tag						
174	Yiddish theatre on Alexanderplatz	Theatre	Theatre			tag						
175	Sommertheater im botanischen Garten	Theatre	Theatre			tag						
176	Lyric Theatre	Theatre	Theatre			tag						
177	Oriental Theater (Philadelphia)	Theatre	Theatre			tag						
178	3rd Street Theatre	Theatre	Theatre			tag						
179	Aba Shoengold Troupe	Traveling Company	Traveling Company			tag						
180	Abraham Axelrad Troupe	Traveling Company	Traveling Company			tag						
181	Abraham Fiszon Troupe	Traveling Company	Traveling Company			tag						
182	Adolf Gertner Troupe					tag						
183	Agid's Vaudeville House	Kleinkunst	Kleinkunst			tag						
184	Amateur Drama Society	Amateur	Amateur			tag						
185	Am Olam					tag						
186	Amphion Theatre	Theatre	Theatre			tag						
187	Anshel Schorr's Troupe	Traveling Company	Traveling Company			tag						
188	Aquarium Theatre	Theatre	Theatre			tag						
189	Arbeter Ring (Workmen's Circle)					tag						
190	Arch Street Theatre	Theatre	Theatre			tag						
191	Arthur Hopkins' Theatre	Theatre	Theatre			tag						
193	Bagatela Theatre	Theatre	Theatre			tag						
194	Baratov Troupe	Traveling Company	Traveling Company			tag						
195	Belloy Troupe					tag						
196	Bennie Shoengold Troupe	Traveling Company	Traveling Company			tag						
197	Berger Troupe					tag						
198	Ber Hart troupe					tag						
199	Berl Bernstein Troupe	Traveling Company	Traveling Company			tag						
200	Boston theatre	Theatre	Theatre			tag						
201	British Theatre Guild					tag						
203	Bronstein Troupe					tag						
204	Bulgarov Theatre	Theatre	Theatre			tag						
205	Bunes Badkhan (Tshizshik)	Traveling Company	Traveling Company			tag						
206	Camp Kinderland					tag						
207	Charles Nathanson's Troupe	Traveling Company	Traveling Company			tag						
208	Chicago's Drama Society					tag						
209	Chorus of the Lemberg Polish Opera	Musical organization	Musical organization			tag						
210	Cidal Circ	Theatre	Theatre			tag						
211	Cohen Brothers Troupe	Traveling Company	Traveling Company			tag						
212	Colisseum Theatre	Theatre	Theatre			tag						
213	Dagmar Theatre	Theatre	Theatre			tag						
214	David Shvartbard Troupe	Traveling Company	Traveling Company			tag						
215	Der Moment⁩ - ⁨דער מאמענט⁩⁩					tag						
216	Der Tog⁩ - ⁨דער טאג					tag						
217	Der veg					tag						
218	Der yidish-rumenysher gezangs-farayn	Musical organization	Musical organization			tag						
219	Der Yud⁩ - ⁨דער יוד⁩⁩					tag						
220	Deutsche presse verwaltung					tag						
221	Di Fraye Yidishe Folks-Bine	Theatre	Theatre			tag						
222	di Idishe federatsye far muziḳ un drama					tag						
223	Di idishe tsayṭung⁩ - ⁨די אידישע					tag						
224	Di Tsayt --די צײט					tag						
225	Di tsukunft- די צוקונפט					tag						
226	Dos artistishe vinkele					tag						
227	Dos Yiddishe Vort --דאס יודישע ווארט					tag						
228	Dramatic Arts	Amateur	Amateur			tag						
