source_file	row_id	name	original_type	auto_canonical_type	ra_canonical_type	match_status	decided_via	needs_review	count_across_files
organizations_clustered	ORG-C00048	סאַן פּאָולאַ יידישער געזעלשאַפט	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00056	ועד החינוך	organization	Society/ Union	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C00057	קולטור-קאָנגרעס	organization	Society/ Union	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C00067	"ייוו""אָ"	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	8
organizations_clustered	ORG-C00072	ווילנער דרוקער-פאַריין	union	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C00135	דייטשער ראַדיאָ אין קעלן	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00198	אַרבעטער-רינג	union	Labour	Society/ Union	disagree	context		24
organizations_clustered	ORG-C00246	קולטור-ליגע	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	12
organizations_clustered	ORG-C00277	קולטור-אָפּטיילונג ביי דער קהלה איז בוענאָס איירעס	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00282	אוקראַ נישער שרייבער-פאַרבאַנד	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00295	קעמפּ בויבעריק	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00328	גרויסער אויסשטעלונג פון 1906 יאָר אין בוקאַרעשט	other	Society/ Union	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C00341	האָליוויד	other	Society/ Union	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C00352	פּועלי-ציון	union	Society/ Union	Society/ Union	agree	context_weak	yes	4
organizations_clustered	ORG-C00379	יידישן וועלפעיר באָאַרד	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00380	אַרבייטער רינג	organization	Religious institutions/organizations	OTHER - elaborate!	disagree	context		4
organizations_clustered	ORG-C00383	פאַרבאַנד	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	3
organizations_clustered	ORG-C00395	שלום-אָרגאַניזאַציע פון די ניי-געקומענע	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00349	פּוילישער אַרמעע	organization	Religious institutions/organizations	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C00406	פּוילישער רעגירונג	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00410	קאָמסאָמאָלישע אָרגאַניזאַציעס	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00415	יידישער אַרבעטער-באַוועגונג	union	Labour	Society/ Union	disagree	context		5
organizations_clustered	ORG-C00426	יוגנט-אָרגאַניזאַצע „השומר“	יוגנט-אָרגאַניזאַצע	Education		ra_blank	context_weak	yes	2
organizations_clustered	ORG-C00067	"ייוו""אָ"	ארגאניזאציע	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	1
organizations_clustered	ORG-C00436	אַלאוקראינישן פֿאַריין „קינסט טוער“	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00451	כאַרקאָווער יידישן אַרבעטער-קלוב	club	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C00461	לעדער-פֿאַריין	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00462	רויטער אַרמעע	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	3
organizations_clustered	ORG-C00474	טעאַטראַלן קאָמיטעט	committee	Political bodies	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00482	אַברהם גאָלדפֿאַדען פֿאַראיין	association	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00510	דזשאָן הענקאָק אינשורענס קאָמפּאַני	company	Business	Company on Tour	disagree	context		2
organizations_clustered	ORG-C00174	צוקונפט	youth_organization	Education	Society/ Union	disagree	context_weak	yes	1
organizations_clustered	ORG-C00526	קאָמ. צוקונפט	youth_organization	Education	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00198	אַרבעטער-רינג	organization	Musical organization	OTHER - elaborate!	disagree	context		2
organizations_clustered	ORG-C00415	יידישער אַרבעטער-באַוועגונג	organization	Labour	OTHER - elaborate!	disagree	context		2
organizations_clustered	ORG-C00543	יידישער וועלטלעכער שול-באַוועגונג	organization	Religious institutions/organizations	OTHER - elaborate!	disagree	context		2
organizations_clustered	ORG-C00154	בונד	organization	Political bodies	OTHER - elaborate!	disagree	context		3
organizations_clustered	ORG-C00545	"ציש""אָ"	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	3
