db_a	db_b	pi_decision	pi_note
131	149	check	Turn Hall ↔ Turner Hall — verify same venue
221	250	check locations	Di Fraye/Fraye Yidishe Folks-Bine — confirm city overlap
221	840	check locations	Di Fraye Folks-Bine ↔ Austrian Fraye Folks-Bine — same org, different branches?
250	840	check locations	Fraye Folks-Bine ↔ Austrian variant — same org with city?
230	444	check location	Dramatic Circle ↔ Yiddish Dramatic Circle — city?
231	404	check location	Dramatic Club ↔ The Hebrew Dramatic Club — city?
232	420	check	Dramatic union ↔ Tornberg Dramatic Union
319	320	discuss	Lira (drama society) ↔ Lira (drama school) — relationship?
322	653	discuss	Literarishe Trupe ↔ Literarishe gezelshaft — troupe vs society
356	408	check locations	Pavilion Theatre ↔ The Pavilion Theatre — same venue?
418	444	check	Yiddish Dramatic Amateur Circle ↔ Yiddish Dramatic Circle
443	713	check	Yiddish Art Theatre ↔ יידיש קונסט טעאַטער (Latin and Yiddish forms of same?)
473	515	check	Kiev state theatre (Sholem Aleichem named) ↔ Kiev state theatre
535	584	check	Vinnitsa state theatre ↔ Vinnitsa-Zhitomir combined
538	584	check	Zhitomir state theatre ↔ Vinnitsa-Zhitomir combined
543	672	check	Moskver state ↔ Moskver Yiddish theatre — same?
567	682	check	Romanian Yiddish state ↔ Romanian Yiddish theatre
689	690	check location and discuss	שטאָטישע רעגירונגס-שול — same name across three rows; resolve location
689	691	check location and discuss	שטאָטישע רעגירונגס-שול triplet
690	691	check location and discuss	שטאָטישע רעגירונגס-שול triplet
