db_id	name	name_yiddish	n_clusters	n_sents	cluster_ids	text_source	tags	confidence	evidence	review_flags	source
35	Independent Jewish Actors Company		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
40	דער אָריענטאַל קאָמפּאַניע		3	3	ORG-C05860 | ORG-C05861 | ORG-C07071	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]	maybe German-Jewish? (tours «דייטשלאַנד») — needs Ruthie	Claude-draft
127	Schildkraut Theatre		1	3	ORG-C01169	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
179	Aba Shoengold Troupe		2	3	ORG-C06027 | ORG-C07100	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
181	Abraham Fiszon Troupe		2	41	ORG-C00317 | ORG-C00486	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
187	Anshel Schorr's Troupe		3	9	ORG-C00676 | ORG-C05879 | ORG-C06149	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
194	Baratov Troupe		3	10	ORG-C01142 | ORG-C01146 | ORG-C01861	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
196	Bennie Shoengold Troupe		1	1	ORG-C06839	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
199	Berl Bernstein Troupe		3	10	ORG-C00032 | ORG-C01138 | ORG-C02825	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
205	Bunes Badkhan (Tshizshik)		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
207	Charles Nathanson's Troupe		1	1	ORG-C05848	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
211	Cohen Brothers Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
