cluster_id	canonical_yiddish	org_type	n_person_edges	n_distinct_persons	top_edge_types	n_located_in	places_en	sample_persons	cluster_size	existing_review_status
ORG-C01387_Q01	יידישן טעאַטער	theatre	87	71	performed_with:48|staff_of:20|employed_by:6|managed:4|member_of:3|founded:3|work_produced_by:2|affiliated_with:1	8	Lviv|Linz (Austria)|Konotop (Sumsʹka oblastʹ, Ukraine)|Cape Town (South Africa)|Frankfurt am Main (Germany)|Chile|Uruguay|Africa	קלמן סאַלמאַן(2822)|יעקב ריינגלאַס(2743)|מלכה שאפנער(2909)	74	decision=SPLIT
ORG-C00740	פּאָבליק-סקול	school	69	67	graduated_from:39|studied_at:30	7	United States|London|New York City|Cincinnati|Philadelphia|Cleveland|Chicago	סעם גערטלער (ישראל)(1752)|סידני גאָלדין (סאַמועל גאָלדשטיין)(1836)|מ. גולדאָן אַלפרעד(1937)	69	decision=DESCRIPTIVE
ORG-C00145	גימנאַזיע	school	62	59	studied_at:37|graduated_from:22|performed_with:2|staff_of:1	24	Bucharest|Berlin|Warsaw|Vilnius|Zhytomyr|Tashkent|Chernivtsi|Dnipro|Łódź|Lviv|Moscow|Minsk|Mykolaiv|Poltava|Płock|Saint Petersburg|Kolomyia|Kamianets-Podilskyi|Chișinău|Kremenets|Germany|Polish–Lithuanian Commonwealth|Poland|Romania	מישאַ אַפּעלבּוים(1166)|לייבּ ראָזענטאַל(2800)|חיים פּאָדליאַס(2663)	59	decision=DESCRIPTIVE
ORG-C00207	חדר	school	56	56	studied_at:56	2	Vilnius|Kleszczele	לייבּ קאַדיסאָן (שוסטער)(3808)|מרים טוּפמאַן (פּאקענטרעגער)(3116)|יאַנקעוו גאָלמאַןַ(1860)	56	decision=DESCRIPTIVE
ORG-C00157_Q01	ליבערטי-טעאַטער	theatre	55	46	performed_with:33|work_produced_by:10|managed:7|staff_of:5	3	New York City|Brownsville|United States	"שמ""ר (שייקעוויטש נחום-מאיר)(843)|סיימאָן וואולף (שמחה)(3276)|דזשוּליוּס נאַטאַנסאָן (יוליוס, חנינא)(2546)"	46	decision=SPLIT
ORG-C00096_Q01	פֿאָלקס-טעאַטער (ניו יאָרק)	theatre	50	42	performed_with:30|work_produced_by:8|managed:5|executive_of:3|staff_of:2|founded:1|employed_by:1	3	New York City|Warsaw|United States	עדוואַרד פרידלענדער(1699)|איזידאָר קעשיר (זישע קאַסירר)(1437)|יצחק ליפּשיץ(2321)	42	decision=DEFER
ORG-C00238	פֿאָלקס-שול	school	40	38	graduated_from:25|studied_at:14|performed_with:1	7	Warsaw|Łódź|Lviv|Novoselytsia|Sighetu Marmației|Paris|Hungary	אַננאַ יאַקובאָוויטש (חנה מייעראָוויטש)(2048)|טוביה-גדליה ראָזענבּערג(2794)|הערמאן פיינשטיין (צבי חיים)(1072)	38	decision=SPLIT
ORG-C05160	גאָלדפֿאַדענס טרופּע	troupe	47	35	performed_with:35|staff_of:7|managed:3|affiliated_with:1|work_produced_by:1	12	Odesa|Bucharest|Bila T︠S︡erkva (Ukraine)|Warsaw|Iași|Kharkiv|Saint Petersburg|Paris|Romania|Russia|Ukraine|Poland	יאַנקעוו ליבּערט(2282)|מארק לזרוביץ' מייערסאָן(3814)|משה טייך-גאַזניק(955)	35	decision=ALIGN; aligned_db_id=42
ORG-C00106	חברים-טרופּע	troupe	41	34	performed_with:33|founded:3|staff_of:2|member_of:1|managed:1|work_produced_by:1	14	Odesa|Buenos Aires|Białystok|Warsaw|Vilnius|Tashkent|Łódź|Lviv|Paris|Poland|Russia|Argentina|South Africa|Czechoslovakia	וואׇלף נייהויז(2558)|יעקב פּערלמאַן(2642)|אברהם קורץ(3552)	40	decision=DESCRIPTIVE
ORG-C01567_Q01	מלוכה-טעאַטער	theatre	36	34	performed_with:27|executive_of:2|staff_of:2|managed:2|founded:2|member_of:1	3	Vilnius|Sofia|Bulgaria	יוסף חאַש(2109)|אברהם טייעלבּוים (שלום, סעם)(3061)|צילע סטראַשון(3029)	34	decision=SPLIT
ORG-C04072_Q01	יוניע	union	32	30	member_of:30|delegate_of:2	1	United States	סעם גערטלער (ישראל)(1752)|יהושע-העשל שאָר(2856)|מאָריס דאָרף(1514)	30	in_review_file_no_decision
ORG-C00481_Q01	פרייע יידישע פֿאָלקס-בינע	theatre	38	28	performed_with:20|founded:4|work_produced_by:4|member_of:3|staff_of:3|studied_at:2|managed:1|employed_by:1	3	Vienna|New York City|Romania	סיגאַל בן-ציון(2871)|נעמי נאַטאַן(2541)|בּערל בּאָטוויניק(1366)	33	decision=SPLIT
ORG-C00198_Q01	אַרבעטער-רינג	publisher	32	26	member_of:11|performed_with:7|staff_of:5|executive_of:4|work_published_by:2|founded:1|affiliated_with:1|employed_by:1	5	New York City|Valdgeym|Mount Carmel Cemetery|Karmel, Mount (Israel)|United States	לייבּ קאַדיסאָן (שוסטער)(3808)|שפרה לערער(2236)|שלמה שמולעוויטש(3611)	26	decision=SPLIT
ORG-C00608	בראָדערזינגער	troupe	29	26	performed_with:23|work_produced_by:3|founded:2|executive_of:1	6	Białystok|Brody|Warsaw|Lviv|Poland|Romania	חנא שטרודלער(2951)|חיים בּענדעל(1253)|פּעפּי ליטמאַן (פּעשע קאַהאַנע)(2329)	27	decision=DESCRIPTIVE
