org_type,occurrences,canonical_type,notes
theatre,7864,,
troupe,5182,,
school,2805,,
newspaper,1628,,
union,993,,
publisher,648,,
organization,472,,
choir,106,,
business,101,,
factory,86,,
synagogue,86,,
party,73,,
other,56,,
radio,55,,
society,51,,
טרופּע,50,,
company,44,,
club,43,,
army,37,,
טעאַטער,34,,
government,33,,
military,32,,
movement,28,,
association,26,,
political_party,25,,
institution,25,,
museum,22,,
camp,21,,
religious_institution,20,,
library,19,,
hospital,18,,
drama_circle,18,,
film,17,,
workplace,16,,
film_company,15,,
radio_station,15,,
journal,13,,
committee,13,,
bank,13,,
university,13,,
orchestra,12,,
shop,11,,
workshop,11,,
restaurant,11,,
circus,10,,
institute,10,,
group,9,,
charity,9,,
firm,8,,
government_office,8,,
youth_organization,7,,
cultural_organization,7,,
television,6,,
hotel,6,,
office,6,,
publication,6,,
טעאַטער-טרופּע,6,,
געזעלשאַפט,6,,
studio,6,,
archive,5,,
sanatorium,5,,
literary group,5,,
gallery,5,,
center,5,,
agency,4,,
cultural_center,4,,
org,4,,
religious_group,4,,
theatre_society,4,,
דרוקעריי,4,,
ארגאניזאציע,3,,
theatre organization,3,,
political movement,3,,
government body,3,,
radio program,3,,
miscellany,3,,
saloon,3,,
community,3,,
religious_organization,3,,
orphanage,3,,
council,3,,
parliament,3,,
political organization,3,,
temple,3,,
exhibition,3,,
concentration camp,3,,
literary circle,3,,
שול,3,,
סטוּדיע,3,,
lexicon,3,,
theatre_club,3,,
ארמיי,2,,
קהלה,2,,
government_agency,2,,
government_department,2,,
cafe,2,,
band,2,,
communal_organization,2,,
newspaper/journal,2,,
expedition,2,,
circle,2,,
shul,2,,
labor camp,2,,
pharmacy,2,,
fraternal,2,,
department,2,,
court,2,,
community_center,2,,
commission,2,,
community_org,2,,
bakery,2,,
welfare organization,2,,
research institute,2,,
partisan group,2,,
administration,2,,
ghetto,2,,
social organization,2,,
children's home,2,,
clinic,2,,
קאָמיטעט,2,,
farm,2,,
קאָמיסאַריאָט,2,,
film_studio,2,,
theatre_union,2,,
theatre troupe,2,,
פאַריין,2,,
religious,2,,
vaudeville theater,2,,
house of prayer,1,,
יוגנט-אָרגאַניזאַצע,1,,
פארטיי,1,,
refugee_camp,1,,
Gmina,1,,
union/association,1,,
philanthropic society,1,,
broadcaster,1,,
אָרקעסטער,1,,
culture society,1,,
קולטור-געזעלשאַפט,1,,
service,1,,
brewery,1,,
executive committee,1,,
community organization,1,,
tailor shop,1,,
news agency,1,,
law_firm,1,,
revolutionary organization,1,,
student_organization,1,,
guild,1,,
academy,1,,
tv,1,,
venue,1,,
fund,1,,
party branch,1,,
book,1,,
historical_location,1,,
political group,1,,
theatre_group,1,,
etc,1,,
social_relief_org,1,,
theatre studio,1,,
philharmonic,1,,
railway,1,,
employment,1,,
government_administration,1,,
cinema studio,1,,
government building,1,,
פּאַרטיי-אָרגאַניזאַציע,1,,
דראַמקרייז,1,,
אַרמיי,1,,
amateur troupe,1,,
אינסטיטוט,1,,
מוזיי,1,,
military organization,1,,
residence,1,,
cultural department,1,,
festival,1,,
relief society,1,,
old age home,1,,
insurance,1,,
רעוויסטאָ,1,,
drama club,1,,
טעאַטער-קאָלעקטיוו,1,,
פּאַמפלעט,1,,
booking_office,1,,
אַרמעע,1,,
store,1,,
film_production,1,,
employer,1,,
cabaret,1,,
state_institution,1,,
political_circle,1,,
congress,1,,
resort,1,,
periodical,1,,
state_government,1,,
foundation,1,,
tavern,1,,
film publisher,1,,
cinema,1,,
religious court,1,,
communal office,1,,
conference,1,,
כאָר,1,,
production,1,,
קהילה,1,,
insurance_agency,1,,
דראָמאָטישער סעקציע,1,,
בינע,1,,
synagogue choir,1,,
embassy,1,,
photographer,1,,
יוניע,1,,
city council,1,,
זשורנאַל,1,,
theatre/restaurant,1,,
literary collection,1,,
colony,1,,
church,1,,
establishment,1,,
lodge,1,,
variety theater,1,,
union drama circle,1,,
media,1,,
ליטעראַריש-דראַמאַטישע געזעלשאַפט,1,,
קרוזשאָק,1,,
ליטעראַרישע געזעלשאַפט,1,,
דראַמאַ גילד,1,,
דראַמאַטישע געזעלשאַפט,1,,
cultural society,1,,
radio stations,1,,
union branch,1,,
division,1,,
medical institution,1,,
home,1,,
