db_id	name	name_yiddish	note
67	לעווין אפשטיין	לעווין- עפּשטיין	PI 2026-06-02: spelling/declension variants, both legitimate; reconcile into name_variants when convenient
470	שוואַרצבאַרדס טרופּע	שוואַרצבאַרדן	PI 2026-06-02: declension variant
482	יודישער האַנדעלסקאַמער	יודישער האָנדלס-קאמער	PI 2026-06-02: kamatz/komets + hyphenation variant
483	טרופּע פֿון ווייספעלד	ווייספעלדן	PI 2026-06-02: head-noun prefix vs declension
485	קאָמפּאַנעעצס טרופּע	קאָמפּאַניעעצס יידישער טרופּע	PI 2026-06-02: spelling variant
488	אַראַראַט	אַרראַט	PI 2026-06-02: single vs double resh spelling
503	צאָלמאַן	צאָלמאַנען	PI 2026-06-02: singular vs plural form
510	מאָלדעוואָנישער	מאָלדאָוואַנישן	PI 2026-06-02: spelling/declension variant
543	מאָסקווער יידישער	מאָסקווער יידישן	PI 2026-06-02: declension variant
622	פּערעגן-טעאָטער	פּעריגען-טעאַטער	PI 2026-06-02: orthographic variant
