review_tag	name	original_type	current_canonical	decided_via	llm_concern_theme	llm_reason	llm_suggested_new	source_file	row_id	entry_name	volume	context_text			ארגון?	אם לא — מה זה?	קשור לתיאטרון יידיש?
llm:data_quality	האָליוויד	other	Not an organization	llm_verified	data_quality	Hollywood is a geographic location and industry hub, not a specific organization. It should be classified as 'Not an organization'.		organizations_clustered_canonical_mapping.tsv	ORG-C00341	קאַרטאָזשינסקי, אָסקאַר [אשר]	volume7IIIorg.json	ער איז געווען פֿאַרבונדן מיט די מואָוויס אין האָליוויד, העלפנדיק די סצענע-שרייבער			לא	אזור גיאוגרפי / שכונה בלוס אנג׳לס	עקיף — תעשיית הקולנוע הכללית — מספר שחקני יידיש פעלו שם
llm:data_quality	וו. פ. א.	union	Non-Jewish political bodies	llm_verified	data_quality	W.P.A. is the US Works Progress Administration, a government agency. Upstream LLM incorrectly tagged it as a union.		organizations_clustered_canonical_mapping.tsv	ORG-C01442	באַרזעל, וואָלף [אייזענבערג]	Volume_3IIIorg.json	אין 1936, אין "וו. פּ. א." (אַלס סופּערווייזער אין דער יידישער אָפּטיילונג)			כן		עקיף
llm:data_quality	אברהם קאָפּקע	other	Not an organization	llm_verified	data_quality	Avraham Kopke is a person (an employer/partner), not an organization. The extraction incorrectly identified a person as an organization.		organizations_clustered_canonical_mapping.tsv	ORG-C02082	שאַפּיראָ, סאַני [נתנאַל-דוד]	volume6IIIorg.json	גענומען אַרבעטן אַלס אָנגעשטעלטער-פֿאַרקויפער פֿון סחורה איבער רומעניע מיט איינעם אַברהם קאָפּקע			לא	אדם פרטי (מעסיק יחיד)	לא — מעסיק בתחום המסחר
llm:data_quality	איטא	union	Media (Radio/ Film/TV)	llm_verified	data_quality	Original LLM incorrectly tagged 'איטא' (JTA - Jewish Telegraphic Agency) as a union. It is a news agency, which belongs in Media.		organizations_clustered_canonical_mapping.tsv	ORG-C02424	גלאַנץ, יעקב	volume6IIIorg.json	געווען דער פֿאָרשטייער פֿון „איטא“, אין מעקסיקע און צענטראַל-אַמעריקע			כן		לא — סוכנות ידיעות יהודית כללית
llm:policy_ambiguous	נאַציאָנאלער פֿונדאַציע פֿאַר יידישער קולטור	organization	Jewish political bodies	llm_verified	policy_ambiguous	Policy explicitly subsumes 'Fund/Foundation' into Jewish political bodies, though as a cultural funder it could arguably fit Heritage or Welfare/Aid.		organizations_clustered_canonical_mapping.tsv	ORG-C02555	דזשאָרדזש מ. זעלצער	volume6IIIorg.json	מיטגליד פֿון באָאָרד פֿון דער נאַציאָנאלער פֿונדאַציע פֿאַר יידישער קולטור			כן		עקיף — קרן תרבותית — תומכת בתרבות יידיש כולל תיאטרון
unknown_tag	טעבענסעס 'שאַפּ'	etc	etc	unknown_tag				organizations_clustered_canonical_mapping.tsv	ORG-C02842	לערנער חנה	Volume5IIIorg.json	אַריבער אַרבעטן אין טעבענסעס 'שאָפּ'			לא		
llm:data_quality	האַנאָווער בונקער	other	Not an organization	llm_verified	data_quality	A bunker is a physical place or structure, not an organization.		organizations_clustered_canonical_mapping.tsv	ORG-C03023	מאָפּו	Volume5IIIorg.json	פאַרנומען מאַפּון אין האַנאָווער בונקער			לא	מבנה פיזי מקום מסתור (תקופת השואה)	לא — מקלט פיזי בתקופת השואה
llm:data_quality	אַנטי-פאַשיסטישער באַוועגונג	union	Non-Jewish political bodies	llm_verified	data_quality	LLM mistagged 'movement' (באַוועגונג) as 'union'. It is a political movement, not a theatre society.		organizations_clustered_canonical_mapping.tsv	ORG-C03711	ראָזענבוים, יעקב-חיים	Volume5IIIorg.json	אַקטיוו אין דער אַנטי-פאַשיסטישער באַוועגונג			לא	תנועה חברתית-פוליטית רחבה, ללא מוסד	לא — תנועה פוליטית
llm:missing_canonical_type	פאַראייניקטער מעמאָריאַל-קאָמיטעט אין לאָס אַנדזשעלעס	union	OTHER - elaborate!	llm_verified	missing_canonical_type	It is a Holocaust memorial committee (Bergen-Belsen), which doesn't perfectly fit Heritage or Welfare.	Commemorative Organization	organizations_clustered_canonical_mapping.tsv	ORG-C03808	וועלט-פֿאַרבאַנד פֿון בערגען-בעלזען	Volume5IIIorg.json	אויפן בילד געפינען זיך: ... זלמן זילבערצווייג			כן		לא — ועד הנצחה לניצולי שואה
llm:data_quality	וואַרשעווער געטאָ-אויפֿשטאַנד	organization	Not an organization	llm_verified	data_quality	The Warsaw Ghetto Uprising is a historical event, not an organization.		organizations_clustered_canonical_mapping.tsv	ORG-C03812	מרים סאַכאַטשעווסקי	Volume5IIIorg.json	האָט ער זיך כאַטייליקט אין וואַרשעווער געטאָ-אויפֿשטאַנד			לא	אירוע היסטורי (מרד גטו ורשה, 1943)	לא — אירוע היסטורי
llm:data_quality	די פּוילישע וועלדער	production	Not an organization	llm_verified	data_quality	The entity is a specific film ('פילם-בילד'), which is a creative work, not an organization. Upstream extraction error.		organizations_clustered_canonical_mapping.tsv	ORG-C05779	בלומענטאַל, נייטאַן	volume_1IIIorg.json	זיך באַטייליקט אין פֿילם-בילד „די פּוילישע וועלדער"			לא	סרט יידי-פולני (1929, בימוי י. טורקוב, לפי רומן של י. אופאטושו)	עקיף (שחקני איידים) 
