pair_id	cluster_id_i	cluster_id_j	name_i	name_j	org_type	settlement	similarity	location_conflict	entry_id_i	entry_id_j	file_i	file_j	heading_i	heading_j	sentence_i	sentence_j	location_i	location_j	decision	reviewer_settlement	reviewer_address	reviewer_notes	reviewer	reviewed_at
PAIR-00001	ORG-C00145	ORG-C00145	גימנאַזיע אין וואַרשע	גימנאַזיע אין מינסק	school		1.0	TRUE	facs_52_r_3	facs_275_tr_1755674154	volume7IIIorg.json	Volume_3IIIorg.json	צוקער, חיה  [קלאַראַ] [מישניעווסקאַ]	שומסקי, וואָלף (מאַרמאָר]	געענדיקט 5 קלאָסן גימנאַזיע אין וואַרשע	שפּעטער געענדיקט גימנאַזיע אין מינסק	וואַרשע	מינסק						
PAIR-00002	ORG-C01133	ORG-C01133	ישיבה אין קלויזענבורג	ישיבה אין מאָהילעוו	school		1.0	TRUE	facs_62_tr_1756359786	facs_16_tr_1752653044	volume7IIIorg.json	Volume_3IIIorg.json	וויינשטיין, טשאַרלז	פאָזי אַריה [ישראל אַריה פּאָזיקאָוו]	אין אַ ישיבה אין קלויזענבורג (אונגאַרן)	דערנאָך אין ישיבה אין מאָהילעוו	קלויזענבורג · אונגאַרן	מאָהילעוו · ישיבה · רוסלאַנד						
PAIR-00003	ORG-C01533	ORG-C01534	גימנאַזיעס אין אָדעס	גימנאַזיעס אין קיעוו	school		1.0	TRUE	facs_20_tr_1747746136	facs_20_tr_1747746136	volume6IIIorg.json	volume6IIIorg.json	אויסלענדער נחום	אויסלענדער נחום	1906-1911 געלערנט אין גימנאַזיעס אין אָדעס	1906-1911 געלערנט אין גימנאַזיעס אין... קיעוו	אָדעס · גימנאַזיעס	קיעוו · גימנאַזיעס						
PAIR-00004	ORG-C03694	ORG-C03694	אוניווערזיטעט אין בערלין	אוניווערזיטעט אין פּעטערבורג	school		1.0	TRUE	facs_459_tr_1747930174	facs_33_r	volume6IIIorg.json	volume_2IIIorg.json	קאַהאַן, סאָלאָמאָן [שלמה]	טאַנטשוק, [?]	ווו ער האָט צוויי יאָר שטודירט אין אַ דאָרטיקן אוניווערזיטעט	געהאָט געענדיקט דעם אוניווערזיטעט אין פּעטערבורג	בערלין · דייטשלאַנד	פּעטערבורג						
PAIR-00005	ORG-C03559	ORG-C04165	יידישער שול אין דער געטאָ	יידישער סטודיע אין ווייסרוסלאַנד	school		1.0	TRUE	facs_444_tr_1739222259	facs_82_tr_1744131388	Volume5IIIorg.json	volume_2IIIorg.json	מאַרגאָלין, זכריה	"כאַרקאָווער ""קוּנסט-ווינקל""."	"האָט ער ביי דער יידישער שול אין דער געטאָ אָרגאַניזירט מיט די קינדער אויפֿפֿירונגען פֿון פּרצס ""שרה בת טוביס"" און שלוםעליכמס 'טוביה דער מילכיקער"""	ראָפֿאָלסקי איז פֿאַרבעטן געוואָרן אַלס אַרגאַניזאַטאַר און קינסטלערישער לייטער פֿון דער יידישער סטודיע אין ווייסרוסלאַנד	ריגע · ריגער געטאָ	מינסק · ווייסרוסלאַנד						
PAIR-00006	ORG-C03739	ORG-C05695	אוניווערסיטעט אין תל אביב	אוניווערסיטעט אין דזשאָרדזשיאָ	school		1.0	TRUE	facs_595_r	facs_92_tr_1740521083	Volume5IIIorg.json	volume_1IIIorg.json	סעם ווישניאַק	בוכוואַלד נפתלי	ער איז געווען איינער פֿון די הויפּט-מיטבויער פֿון דעם אוניווערסיטעט אין תל אביב	1910 ניווערסיטעט אין דזשאָרדזשיאָ	תל אביב · ישראל							
PAIR-00007	ORG-C00001	ORG-C00001	קאָנסערוואַטאָריע אין בּוקאַרעסט	קאָנסערוואַטאָריע אין ווין	school		1.0	TRUE	facs_198_r_4	facs_251_tr_1741260221	volume_2IIIorg.json	volume_1IIIorg.json	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]	גוטמאַן, מילאני	אין עלטער פון 14 יאָר טרעט ער אַריין אין קאָנסערוואַטאָריע אין בּוקאַרעסט	האָט ג. געענדיקט די קאָנסערוואַטאָריע אין ווין	בּוקאַרעסט · קאָנסערוואַטאָריע · רומעניע	ווין · קאָנסערוואַטאָריע						
PAIR-00008	ORG-C00444	ORG-C00518	טרופּע פֿון שייקעוויטש (שמ׳ר)	שייקעוויטש אין פּיטסבורג	troupe		1.0	TRUE	facs_87_r	facs_16_r	volume7IIIorg.json	Volume_3IIIorg.json	פישזאָן, אַברהם	פאול, יוסף	דער יונגער אַברהם פישזאָן ווערט איינגעלאָדן דורך שמ׳רן צו שפּילן די ראָל פון אַן אַלטער באָבע.	1913-14 — געשפּילט ביי שייקעוויטש אין פּיטסבורג	אָדעס	פּיטסבורג						
PAIR-00009	ORG-C05162	ORG-C05162	יידישע טעאַטער-טרופּע אין דרום-אפריקע	יידישע טרופּע (ראָוונע לוצק-קאָוול)	troupe		1.0	TRUE	facs_321_tr_1756057140	facs_76_tr_1747746207	Volume_3IIIorg.json	volume6IIIorg.json	שאַכט, גוסטאָוו	לובעלטשיק יצחק	אין יאַנואַר 1897 טרעט ער אַריין אין דער טרופּע... און שפּילט 2 יאָר אין יאָהאַנעסבורג מיט דער טרופּע	אין סעזאָן 1924-25 פֿירט ער אָן, אויף שכירות, מיט אַ יידישע טרופּע אויף דער ליניע ראָוונע לוצק-קאָוול	יאָהאַנעסבורג · דרום-אפריקע	ראָוונע לוצק-קאָוול						
PAIR-00010	ORG-C01280	ORG-C01280	קאָאָפּעראַטיווער טרופּע אין קראָקע	קאָאָפּעראָטיווער טרופּע אין האַמעל	troupe		1.0	TRUE	facs_332_tr_1756058893	facs_177_r_2	Volume_3IIIorg.json	volume_2IIIorg.json	ליבגאָלד לעאָן	לעוואנדאָ פֿייגע [לעווין]	אין 1934 געוואָרן אַ מיטגליד אין דער „קאָאָפּעראַטיווער“ טרופּע אין קראָקע	קאָמאַנדירט געוואָרן אין דער קאָאָפּעראָטיווער טרופּע אין האַמעל	קראָקע	האַמעל						
PAIR-00011	ORG-C05162	ORG-C05162	יידישע טרופּע (ראָוונע לוצק-קאָוול)	יידישע טרופּע אין לובלין	troupe		1.0	TRUE	facs_76_tr_1747746207	facs_52_tr_1733050567	volume6IIIorg.json	Volume5IIIorg.json	לובעלטשיק יצחק	וואַקסמאַן, יעקב	אין סעזאָן 1924-25 פֿירט ער אָן, אויף שכירות, מיט אַ יידישע טרופּע אויף דער ליניע ראָוונע לוצק-קאָוול	וואַקסמאַן געגרינדעט, אין יאָר 1916, אַ יידישע טרופּע אין לובלין	ראָוונע לוצק-קאָוול	לובלין						
PAIR-00012	ORG-C04185	ORG-C04185	טרופּע אין וועלכער עס גאַסטראָלירט מ. ד. וואַקסמאַן	די טרופע אין צענטראל-טעאַטער	troupe		1.0	TRUE	facs_403_tr_1747930160	facs_85_tr_1744131380	volume6IIIorg.json	volume_2IIIorg.json	האָבערמאַן, קלאַראַ [פּריימאַן]	כאַראַז, לעאָן	ווערט זי אַריינגענומען אין כאָר פֿון דער טרופּע אין וועלכער עס גאַסטראָלירט מ. ד. וואַקסמאַן פֿון לאָנדאָן	איינער פֿון די גרינדער... פֿון דער טרופע אין צענטראל-טעאַטער אין וואַרשע		וואַרשע · צענטראל-טעאַטער						
PAIR-00013	ORG-C05162	ORG-C05162	יידישער טרופּע אין מאָנטרעאַל	יידישער טרופּע (ישראל ראָזענבערג, יוסף וויינשטאָק און אַברהם פֿישקינד)	troupe		1.0	TRUE	facs_254_r_4	facs_77_r_8	volume_2IIIorg.json	volume_1IIIorg.json	מיטניק, אייק	באַנקאָוו, יאַנקעוו	געוואָרן דער מענעדזשער פֿון דער יידישער טרופּע אין מאָנטרעאַל	טרעט דאָרט אַריין אַלס קופּלעטיסט	מאָנטרעאַל · יידישער טרופּע	יעליסאַוועטגראָד						
PAIR-00014	ORG-C05190	ORG-C06646	ערשטע יידישע טרופע אין רוסלאַנד	די ערשטע יידישע טרופּע אין אָדעם	troupe		1.0	TRUE	facs_372_tr_1744366832	facs_363_r_6	volume_2IIIorg.json	volume_1IIIorg.json	ספּיוואַקאָווסקי, יעקב	וויינשטיין, שואל	געגרינדעט די טרופּע. וועלכע איז — לויט אַדלערן — אַנאָנסירט געוואָרן ערשטע יידישע טרופע אין רוסלאַנד אונטער דער לייטונג פֿון יעקב פֿפּיוואקאָווסקי	נעמען זיי צו זיך אַריין וו., וועלכער בלייבט אויך דאָרט ווען גאָלדפֿאָדען פֿאַראייניקט זיך מיט דער דאָזיקער טרופּע.	אָדעס · רוסלאַנד	אָדעם						
PAIR-00015	ORG-C02849	ORG-C02849	יידישן מלוכה-טעאַטער אין באָקו	יידישן מלוכה-טעאַטער אין לעמבערג	theatre		1.0	TRUE	facs_10_tr_1756280321	facs_14_tr_1756389602	volume7IIIorg.json	volume7IIIorg.json	קאָפּעלמאַן, יאָסעף	צייזל, הענריק	אין 1932 איז ער איינער פֿון די טיכטיקסטע גרינדער פֿון יידישן מלוכה-טעאַטער אין באָקו	זינט 1939 געאַרבעט צוזאַמען מיט אים און פֿריץ קליינמאַן אין יידישן מלוכה-טעאַטער אין לעמבערג אַלס געהילף-סצענאָגראָף.	באָקו	לעמבערג						
PAIR-00016	ORG-C00036	ORG-C00036	רוסישן טעאַטער אין קאַזאָן	רוסישן טעאַטער אין נאָוואָסיבירסק	theatre		1.0	TRUE	facs_14_tr_1756389602	facs_231_tr_1747928940	volume7IIIorg.json	volume6IIIorg.json	צייזל, הענריק	שטיין, אַליאָשאַ [אליהו]	געאַרבעט זינט 1951 אין רוסישן טעאַטער אין קאַזאָן	ער רעזשיסירט אין רוסישן טעאַטער.	קאַזאָן	נאָוואָסיבירסק						
PAIR-00017	ORG-C01387	ORG-C01387	יידישן טעאַטער אין וואַרשע	יידישן טעאַטער אין פּוילן	theatre		1.0	TRUE	facs_34_r_4	facs_42_tr_1756359776	volume7IIIorg.json	volume7IIIorg.json	האַרטמאַן, קאָרל, דר.	זאָנשיין, יעקב	אין 1957 געקומען אין באַרירונג מיטן יידישן טעאַטער אין וואַרשע	וואָס איז אויפֿגעפֿירט געוואָרן אין יידישן טעאַטער אין פּוילן	וואַרשע · פּוילן	פּוילן						
PAIR-00018	ORG-C01387	ORG-C01387	יידיש טעאַטער אין מינסק	יידיש טעאַטער אין פּאָלטאָוואָ	theatre		1.0	TRUE	facs_50_tr_1756359800	facs_50_tr_1756359800	volume7IIIorg.json	volume7IIIorg.json	קאָלמאַנאָוויטש, לייזער	קאָלמאַנאָוויטש, לייזער	אין 1907 אָרגאַניזירט ער מיט אים אין מינסק אַ יידיש טעאַטער, וואָס פונקציאָנירט ביז 1910.	אין 1918, אָרגאַניזירט ער, אין פּאָלטאָוואָ מיט דער הילף פֿון דער אָרטיקער „קולטור-ליגע“ אַ יידיש טעאַטער, וועלכעס ער פֿירט אָן	מינסק	פּאָלטאָוואָ						
PAIR-00019	ORG-C00260	ORG-C00260	יידישן אָפּערעטן-טעאַטער אין לאָדזש	יידישן אָפּערעטן-טעאַטער אין פּוילן	theatre		1.0	TRUE	facs_52_r_13	facs_65_tr_1740520954	volume7IIIorg.json	volume_1IIIorg.json	קאַרעני, נאַדיאַ [שליפקאָוויטש]	אָרליוק, שמעון	שפּעטער געשפּילט אין יידישן אָפּערעטן-טעאַטער אין לאָדזש (דיר. קאָמפּאַנעעץ)	פאַרבינדט זיך ווידער מיטן יידישן אָפּערעטן-טעאַטער אין פּוילן, באַטייליקנדיק זיך על-פי רוב אין אייראָפּעאישן רעפּערטואָר	לאָדזש · פּוילן	פּוילן						
PAIR-00020	ORG-C00281	ORG-C04958	מלוכהשן יידישן טעאַטער אין אוקראינע	מלוכהשן יידישן טעאַטער אין אוקראַאינע	theatre		1.0	TRUE	facs_54_tr_1756359768	facs_313_tr_1744365813	volume7IIIorg.json	volume_2IIIorg.json	וואָלקענשטיין, דוד	נאָרווייד מאָריץ [טרעפלער]	וואָס איז אין סעזאָן 1927-28 אויפגעפֿידט געוואָרן אין מלוכהשן יידישן טעאַטער אין אוקראינע.	1928 — אַריינגעטראָטן אין „מלוכהשן יידישן טעאַטער אין אוקראַאינע“... אַלס שטענדיקער רעזשיסער און אַקטיאָר	מלוכהשן יידישן טעאַטער · אוקראינע	אוקראַאינע						
PAIR-00021	ORG-C00413	ORG-C00413	רוסישן דראַמאַטישן טעאַטער אין קאָמטשאַטקאַ	רוסישן דראַמאַטישן טעאַטער אין ריגע	theatre		1.0	TRUE	facs_77_tr_1757228908	facs_77_tr_1757228908	volume7IIIorg.json	volume7IIIorg.json	פֿייגין, הערש	פֿייגין, הערש	פון 1950 ביז 1953 איז פ. געווען אין רוסישן דראַמאַטישן טעאַטער אין קאָמטשאַטקאַ	אַרבעט פון 1957 ביז 1960 אַלס רעזשיסער אין דעם רוסישן דראַמאַטישן טעאַטער אין ריגע	קאָמטשאַטקאַ	ריגע · לעטלאַנד						
PAIR-00022	ORG-C00640	ORG-C06627	"פּראָפעסיאנעלן טעאַטער (א""ל פֿון כליוונער)"	פּראָפעסיאנעלן טעאַטער אין אַנטווערפּען	theatre		1.0	TRUE	facs_34_tr_1752653015	facs_360_TextRegion_1710852670035_228	Volume_3IIIorg.json	volume_1IIIorg.json	פאָסיאַס, שימען	וויינטרויבּ, שמחה	"אַריינגענומען אין פּראָפעסיאנעלן טעאַטער, וואָס האָב (א""ל פֿון כליוונער) געשפּילט"	1910 — געשפּילט אין פּראָפעסיאנעלן טעאַטער אין אַנטווערפּען ביי מ. ד. וואַקסמאָן		אַנטווערפּען						
PAIR-00023	ORG-C00235	ORG-C00235	דייטשן טעאַטער אין אינסברוק	דייטשן טעאַטער אין טשערנאָוויץ	theatre		1.0	TRUE	facs_150_tr_1754213811	facs_310_tr_1741260423	Volume_3IIIorg.json	volume_1IIIorg.json	פּרייס, מיכאל	האַרט, זיגמונט	אָנגעהויבן אין דייטשן טעאַטער אין אינסברוק	טרעט ה. אַריין אין דייטשן טעאַטער אין טשערנאָוויץ (דירעקציע וואָלף), וואו ער שפּילט דריי יאָר ליבהאָבער-ראָלן	אינסברוק	טשערנאָוויץ						
PAIR-00024	ORG-C01061	ORG-C02328	יידישער בינע אין אָדעס	יידישער בינע אין גאַליציע	theatre		1.0	TRUE	facs_281_tr_1755674203	facs_430_tr_1747930458	Volume_3IIIorg.json	volume6IIIorg.json	שור זעליג [יוסף-אהרן אַשר-זעליג]	קאַרליק ליבע [לינאַ]	הייבט ער אָן אין 1877 שפּילן אויף דער יידישער בינע אין אָדעס	דערנאָך צוריק אויף דער יידישער בינע אין גאַליציע	אָדעס							
PAIR-00025	ORG-C02111	ORG-C02111	יידישן רעווי-טעאַטער אין טאַשקענט	יידישן רעווי-טעאַטער אין 'נאָוואָשטשי'	theatre		1.0	TRUE	facs_183_tr_1747825124	facs_435_tr_1739222512	volume6IIIorg.json	Volume5IIIorg.json	קעניג דינה	ווינדער, מאיר	וווו זי האָט אין 1944 געשפּילט אין יידישן רעווי-טעאַטער אין טאַשקענט	אין 1936 איז ער... געווען דירעקטאָר פֿון יידישן רעווי-טעאַטער אין 'נאָוואָשטשי' אין וואַרשע	טאַשקענט	וואַרשע · ביעלאַנסקאַ גאָס · נאָוואָשטשי · פּוילן						
PAIR-00026	ORG-C02172	ORG-C03049	גימפּעלן אין לעמבערג	גימפּעלן אין יידישן טעאַטער	theatre		1.0	TRUE	facs_237_tr_1747928923	facs_193_tr_1736589047	volume6IIIorg.json	Volume5IIIorg.json	פישקינד, אַברהם	פוקס, רוזשע	פ. אַרויסגערופֿן געוואָרן, אין 1888, צו גימפּעלן אין לעמבערג	זיי האָט יאָרן-לאַנג געשפּילט ביי גימפּעלן אין יידישן טעאַטער	לעמבערג	לעמבערג · גימפּעלס טעאַטער						
PAIR-00027	ORG-C00470	ORG-C00470	טעאַטער אין ווילנער געטאָ	טעאַטער אין קיעוו	theatre		1.0	TRUE	facs_264_tr_1739221900	facs_443_tr_1739220791	Volume5IIIorg.json	Volume5IIIorg.json	עפּשטיין, בנימין	לייפּציקער מאַרק	אין ווילנער געטאָ געווען דירעקטאָר פון טעאַטער	זינט 1922 באַזעצט אַלס אָוונט-רעזשיסער	ווילנע · ווילנער געטאָ	קיעוו						
PAIR-00028	ORG-C00409	ORG-C00409	סקאָלאַ-טעאַטער (לאָדזש)	סקאָלאַ-טעאַטער (וואַרשע)	theatre		1.0	TRUE	facs_598_tr_1739222546	facs_598_tr_1739222546	Volume5IIIorg.json	Volume5IIIorg.json	פעי (פֿייגע) גענדעל	פעי (פֿייגע) גענדעל	ער געווען דירעקטאָר פֿון לאָדזשער „סקאָלאַ'-טעאַטער	"האָט לאַזאַר קאַהאַן... איבערגענומען די דירעקציע פֿון וואַרשעווער „סקאָלאַ""-טעאַטער"	לאָדזש · סקאָלאַ-טעאַטער · פּוילן	וואַרשע · סקאָלאַ-טעאַטער · פּוילן						
PAIR-00029	ORG-C03869	ORG-C07458	דראַמאַטישער פֿאַראיין אין קאָוונע	דראַמאַטישער פֿאַראיין אין פֿילאַדעלפיע	theatre		1.0	TRUE	facs_34_tr_1744131425	facs_665_tr_1755029919	volume_2IIIorg.json	Volume_4IIIorg.json	טאַנין, שלום [טאַנקוס]	דזשאָו פאָול	"אַריינגעטראָטן אין דעם „דראַמאַטישער פֿאַראיין אין קאָוונע אונטער ל. קאַדיסאָןס רעזשי אויפטרעטנדיק אין יעקב גאָרדיןס „מטורף"""	אַזוי האָט ער געטאָן ווען ס'האָט זיך אין 1962 געגרינדעט אַ דראַמאַטישער פֿאַראיין אין פֿילאַדעלפיע	קאָוונע · דראַמאַטישער פֿאַראיין	פֿילאַדעלפיע						
PAIR-00030	ORG-C00340	ORG-C00340	נעשאָנאַל טעאָטער אין ניו יאָרק	נעשאָנאַל טעאַטער אין פֿילאָדעלפיע	theatre		1.0	TRUE	facs_393_tr_1741260467	facs_393_tr_1741260467	volume_1IIIorg.json	volume_1IIIorg.json	זאַץ, לודווייג [לוי יצחק]	זאַץ, לודווייג [לוי יצחק]	ווערט פּובליסיטי מען און געשעפטס-פֿאַרוואַלטער אין רור-גאָרדען פֿון נעשאָנאַל טעאָטער אין ניו יאָרק	ווערט ער אָנגאַזשירט אין פֿילאָדעלפיע אַלס שוישפּילער און סטיידזש-מענעדזשער אין נעשאָנאַל טעאַטער	ניו יאָרק	פֿילאָדעלפיע						
PAIR-00031	ORG-C00448	ORG-C00448	יידישער אַרטיסטן-פֿאַריין אין פּוילן	יידישער אַרטיסטן-פאַריין אין וואַרשע	union		1.0	TRUE	facs_87_r	facs_117_tr_1733832750	volume7IIIorg.json	Volume5IIIorg.json	פישזאָן, אַברהם	פֿרידמאַן, פעליקס (פישל)	יידיש טעאַטער“, אַרויסגעגעבן דורכן יידישן אָרטיסטן-פאַריין אין פּוילן	פרידמאַן איז טאַקע פאַררעכנט געוואָרן ווי איינער פון אירע נאָענטסטע מיטגלידער.	פּוילן	וואַרשע · טלאָמאַצקע 13						
PAIR-00032	ORG-C00718	ORG-C00718	יידיש נאַציאָנאַלן אַרבעטער פֿאַרבאַנד אין לאָס אַנדזשעלעס	יידיש נאַציאָנאָלן אַרבעטער פֿאַרבאַנד (ברענטש 430)	union		1.0	TRUE	facs_325_tr_1756057604	facs_667_tr_1755030055	Volume_3IIIorg.json	Volume_4IIIorg.json	האָראָוויץ, אַזיאַס [יהושע]	וויליאַם פֿרידמאַן	איז געווען אַ מיטגליד פֿון שטאָט-קאָנסיל פֿון יידיש נאַציאָנאַלן אַרבעטער פֿאַרבאַנד אין לאָס אַנדזשעלעס	וואו פֿרידמאַן איז געווען טרעזשורער	לאָס אַנדזשעלעס · אַמעריקע							
PAIR-00033	ORG-C00448	ORG-C00448	יידישער אַרטיסטן-פאַראיין אין פּוילן	יידישער אַרטיסטן-פֿאַראיין אין רוסלאַנד	union		1.0	TRUE	facs_46_tr_1744131404	facs_439_tr_1755030088	volume_2IIIorg.json	Volume_4IIIorg.json	טייטעלבוים, אַברהם (=שלום, סעם)	פישזאָן, מישאַ [משה כאָסידמאַן]		דער איניציאַטאָר, צו אָרגאַניזירן אַ צוזאַמענפֿאָר פֿון יידישע אַקטיאָרן אין רוסלאַנד	פּוילן	קיעוו · קיעווער אוניווערזיטעט						
PAIR-00034	ORG-C02881	ORG-C02881	יידישן ליטעראַטן און זשורנאַליסטן-פאַראיין אין ווילנע	יידישן ליטעראַטן און זשורנאַליסטן פֿאַראיין אין וואַרשע	union		0.9737	TRUE	facs_126_tr_1733832829	facs_570_tr_1739221417	Volume5IIIorg.json	Volume5IIIorg.json	קאַרפּינאָוויטש, משה	שיפּער יצחק (איגנאַץ) דר.	קאַרפּינאָוויטש איז געווען אַ מיטגליד פֿון יידישן ליטעראַטן און זשורנאַליסטן-פאַראיין אין ווילנע	אין 1924 געווען פֿאָזיצער פֿון יידישן ליטעראַטן און זשורנאַליסטן פֿאַראיין אין וואַרשע	ווילנע	וואַרשע						
PAIR-00035	ORG-C00448	ORG-C00448	יידישער אַרטיסטן-פאַריין אין ווין	יידישער אַרטיסטן-פֿאַראיין אין רוסלאַנד	union		0.9565	TRUE	facs_143_tr_1733832807	facs_439_tr_1755030088	Volume5IIIorg.json	Volume_4IIIorg.json	צוקער, שלום	פישזאָן, מישאַ [משה כאָסידמאַן]	צוקער איז געווען איינער פֿון די גרינדערס פון יידישן אַרטיסטן-פאַריין אין ווין	דער איניציאַטאָר, צו אָרגאַניזירן אַ צוזאַמענפֿאָר פֿון יידישע אַקטיאָרן אין רוסלאַנד	ווין · עסטרייך	קיעוו · קיעווער אוניווערזיטעט						
PAIR-00036	ORG-C00108	ORG-C00108	יידישן אַרטיסטן-פֿאַריין אין פּוילן	יידישן אַרטיסטן-פֿאַראיין אין וואַרשע	union		0.9545	TRUE	facs_29_tr_1756359803	facs_73_tr_1733059356	volume7IIIorg.json	Volume5IIIorg.json	גליקמאַן, רעניאַ (רבקה)	לובאַרטאָווסקאַ, צלבה	אַלס די סטאַרס אין טעאַטער-קאָלעקטיוון, אָרגאַניזירט פון יידישן אַרטיסטן-פאַריין אין פּוילן.	געוואָרן אַן עמעריטקע ביים יידישן אַרטיסטן-פֿאַריין אין וואַרשע.		וואַרשע						
