group_id,n_clusters,n_settlements,specificity,split_family,name_key,cluster_id,base_cluster,settlement,canonical_name,cluster_size,decision,aligned_db_id,db_name
G028,15,10,specific,YES,ליריקטעאטער,ORG-C00338_Q01,ORG-C00338,ברוקלין,ליריק-טעאַטער,43,,,
G028,15,10,specific,,ליריקטעאטער,ORG-C00988,ORG-C00988,ברוקלין,ברוקלינער ליריק-טעאַטער,20,,,
G028,15,10,specific,YES,ליריקטעאטער,ORG-C00338_Q02,ORG-C00338,ניו יאָרק,ליריק-טעאַטער,10,,,
G028,15,10,specific,YES,ליריקטעאטער,ORG-C00338_Q03,ORG-C00338,וויליאַמסבורג,ליריק-טעאַטער,5,,,
G028,15,10,specific,YES,ליריקטעאטער,ORG-C00338_Q04,ORG-C00338,בראַנזוויל,ליריק-טעאַטער,4,,,
G028,15,10,specific,YES,ליריקטעאטער,ORG-C00338_Q05,ORG-C00338,טאָראַנטאָ,ליריק-טעאַטער,3,,,
G028,15,10,specific,,ליריקטעאטער,ORG-C04645,ORG-C04645,ניו יאָרק,ניויאָרקער ליריק טעאַטער,3,,,
G028,15,10,specific,,ליריקטעאטער,ORG-C01053_Q02,ORG-C01053,ברוקלין,ליריק טעאַַטער,2,,,
G028,15,10,specific,YES,ליריקטעאטער,ORG-C00338_Q06,ORG-C00338,יאָסי,ליריק-טעאַטער,1,,,
G028,15,10,specific,,ליריקטעאטער,ORG-C04104,ORG-C04104,באַלטימאָר,באַלטימאָרער ליריק-טעאַטער,1,,,
G028,15,10,specific,,ליריקטעאטער,ORG-C04168,ORG-C04168,טאָראָנטאָ,טאָראָנטער ליריק-טעאַטער,1,,,
G028,15,10,specific,,ליריקטעאטער,ORG-C04930,ORG-C04930,דענווער,דענווער ליריק-טעאַטער,1,,,
G028,15,10,specific,,ליריקטעאטער,ORG-C05651,ORG-C05651,לאָנדאָן,לאָנדאָנער ליריק-טעאַטער,1,,,
G028,15,10,specific,YES,ליריקטעאטער,ORG-C00338_Q07,ORG-C00338,לאָנדאָן,ליריק-טעאַטער,1,,,
G028,15,10,specific,,ליריקטעאטער,ORG-C06803,ORG-C06803,,בראַנזווילער ליריק-טעאַטער,1,,,
G033,14,13,specific,YES,שטאטטעאטער,ORG-C00422_Q01,ORG-C00422,קארלסבאַד,שטאָט-טעאַטער,2,,,
G033,14,13,specific,,שטאטטעאטער,ORG-C02300,ORG-C02300,טשערנאָוויץ,טשערנאָוויצער שטאָט-טעאַטער,2,,,
G033,14,13,specific,YES,שטאטטעאטער,ORG-C00422_Q06,ORG-C00422,מינסק,שטאָט-טעאַטער,1,,,
G033,14,13,specific,YES,שטאטטעאטער,ORG-C00422_Q02,ORG-C00422,גראָדנע,שטאָט-טעאַטער,1,,,
G033,14,13,specific,,שטאטטעאטער,ORG-C02815,ORG-C02815,גראָדנע,גראָדנער שטאָט-טעאַטער,1,,,
G033,14,13,specific,YES,שטאטטעאטער,ORG-C00422_Q04,ORG-C00422,קיעוו,שטאָט-טעאַטער,1,,,
G033,14,13,specific,,שטאטטעאטער,ORG-C04047,ORG-C04047,וויניצע,וויניצער שטאָט-טעאַטער,1,,,
G033,14,13,specific,YES,שטאטטעאטער,ORG-C00422_Q05,ORG-C00422,ווילנע,שטאָט-טעאַטער,1,,,
G033,14,13,specific,YES,שטאטטעאטער,ORG-C00422_Q03,ORG-C00422,אָדעס,שטאָט-טעאַטער,1,,,
G033,14,13,specific,,שטאטטעאטער,ORG-C05566,ORG-C05566,לובלין,לובלינער שטאָט-טעאַטער,1,,,
G033,14,13,specific,,שטאטטעאטער,ORG-C05958,ORG-C05958,זשיטאָמיר,זשיטאָמירער שטאָט-טעאַטער,1,,,
G033,14,13,specific,YES,שטאטטעאטער,ORG-C00422_Q07,ORG-C00422,לאָדזש,שטאָט-טעאַטער,1,,,
G033,14,13,specific,,שטאטטעאטער,ORG-C06784,ORG-C06784,סווואָלק,סווואָלקער שטאָט-טעאַטער,1,,,
G033,14,13,specific,,שטאטטעאטער,ORG-C06903,ORG-C06903,בערדיטשעוו,בערדיטשעווער שטאָט-טעאַטער,1,,,
G013,7,4,specific,YES,ליבערטיטעאטער,ORG-C00157_Q01,ORG-C00157,ניו יאָרק,ליבערטי-טעאַטער,46,SPLIT,,
G013,7,4,specific,,ליבערטיטעאטער,ORG-C00592,ORG-C00592,ברוקלין,ברוקלינער ליבערטי-טעאַטער,11,,,
G013,7,4,specific,YES,ליבערטיטעאטער,ORG-C00157_Q02,ORG-C00157,ברוקלין,ליבערטי-טעאַטער,10,,,
G013,7,4,specific,YES,ליבערטיטעאטער,ORG-C00157_Q03,ORG-C00157,בראַנזוויל,ליבערטי-טעאַטער,9,,,
G013,7,4,specific,,ליבערטיטעאטער,ORG-C05689,ORG-C05689,בראַנזוויל,בראַנזווילער ליבערטי-טעאָטער,1,,,
G013,7,4,specific,YES,ליבערטיטעאטער,ORG-C00157_Q05,ORG-C00157,,ליבערטי-טעאַטער,1,SPLIT,,
G013,7,4,specific,YES,ליבערטיטעאטער,ORG-C00157_Q04,ORG-C00157,פֿילאַדעלפיע,ליבערטי-טעאַטער,1,,,
G034,7,7,specific,YES,פוילישנטעאטער,ORG-C00441_Q01,ORG-C00441,לעמבערג,פּוילישן טעאַטער,11,,,
G034,7,7,specific,,פוילישנטעאטער,ORG-C04356,ORG-C04356,לאדזש,לאָדזשער פּוילישן טעאַטער,2,,,
G034,7,7,specific,YES,פוילישנטעאטער,ORG-C00441_Q03,ORG-C00441,בערדיטשעוו,פּוילישן טעאַטער,1,,,
G034,7,7,specific,YES,פוילישנטעאטער,ORG-C00441_Q02,ORG-C00441,פּלאָצק,פּוילישן טעאַטער,1,,,
G034,7,7,specific,YES,פוילישנטעאטער,ORG-C00441_Q04,ORG-C00441,וואַרשע,פּוילישן טעאַטער אין וואַרשע,1,,,
G034,7,7,specific,YES,פוילישנטעאטער,ORG-C00441_Q05,ORG-C00441,לאָדזש,פּוילישן טעאַטער,1,,,
G034,7,7,specific,YES,פוילישנטעאטער,ORG-C00441_Q06,ORG-C00441,ביאַליסטאָק,פּוילישן טעאַטער,1,,,
G003,6,5,specific,YES,רוסישנטעאטער,ORG-C00036_Q01,ORG-C00036,גראָזני,רוסישן טעאַטער,9,,,
G003,6,5,specific,YES,רוסישנטעאטער,ORG-C00036_Q06,ORG-C00036,קאַזאָן,רוסישן טעאַטער אין קאַזאָן,1,,,
G003,6,5,specific,YES,רוסישנטעאטער,ORG-C00036_Q05,ORG-C00036,ווילנע,רוסישן טעאַטער,1,,,
G003,6,5,specific,YES,רוסישנטעאטער,ORG-C00036_Q04,ORG-C00036,באָברויסק,רוסישן טעאַטער,1,,,
G003,6,5,specific,YES,רוסישנטעאטער,ORG-C00036_Q03,ORG-C00036,אָדעסער,רוסישן טעאַטער,1,,,
G003,6,5,specific,YES,רוסישנטעאטער,ORG-C00036_Q02,ORG-C00036,,רוסישן טעאַטער,1,,,
G018,6,4,specific,YES,פאלקסבינע,ORG-C00190_Q01,ORG-C00190,ניו יאָרק,פֿאָלקסבינע,20,,,
G018,6,4,specific,YES,פאלקסבינע,ORG-C00190_Q02,ORG-C00190,לאָס אַנדזשעלעס,פֿאָלקסבינע,4,,,
G018,6,4,specific,YES,פאלקסבינע,ORG-C00190_Q03,ORG-C00190,ווין,פֿאָלקסבינע,1,,,
G018,6,4,specific,YES,פאלקסבינע,ORG-C00190_Q05,ORG-C00190,בערלין,פֿאָלקסבינע,1,,,
