db_a	db_b	note
26	348	PI 2026-06-02: NY Public Library ≠ NY Public Theatre
30	35	PI 2026-06-02: United Jewish Actors ≠ Independent Jewish Actors
31	33	PI 2026-06-02: Russian-Jewish Opera ≠ Roumanian Opera
276	277	PI 2026-06-02: HAU ≠ Hebrew Actors Protective Union
329	374	PI 2026-06-02: Meerson/Sam-Adler ≠ Sam-Adler/Kaminski (different combinations)
329	375	PI 2026-06-02: Meerson/Sam-Adler ≠ Sam-Adler/Spivakovski
374	375	PI 2026-06-02: Sam-Adler/Kaminski ≠ Sam-Adler/Spivakovski
444	445	PI 2026-06-02: Dramatic Circle ≠ dramatic school
445	674	PI 2026-06-02: Yiddish dramatic school ≠ Kovno Yiddish Dramatic Society
471	499	PI 2026-06-02: Baku state theatre ≠ Iași state theatre (different cities)
471	601	PI 2026-06-02: Baku state theatre ≠ Belarus state-theatre studio
499	601	PI 2026-06-02: Iași state theatre ≠ Belarus state-theatre studio
562	574	PI 2026-06-02: Kharkov first state theatre ≠ Kiev first state theatre
565	656	PI 2026-06-02: London Yiddish Folks-Theatre ≠ London Yiddish Theatre (distinct venues)
615	673	PI 2026-06-02: NY Yiddish Folks-Theatre ≠ NY Yiddish Art Theatre
656	671	PI 2026-06-02: London Yiddish Theatre ≠ London Pavilion Theatre
