batch	cluster_id	cluster_name_yiddish	suggested_db_id	db_canonical_name	db_canonical_yiddish	matched_surname	cluster_extra_firstnames	extracted_settlements	rule	ruthie_decision	ruthie_notes
rule2_firstname	ORG-C01193	טרופּע פֿון הענרי לאַכטיגער	836	טרופּע פֿון לאַכטיגער	טרופּע פֿון לאַכטיגער	לאכטיג	הענרי		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C02746	יידישער טרופּע פון ש. הערשקאָוויטש	865	הערשקאָוויטשס טרופּע	הערשקאָוויטשס טרופּע	הערשקאוויטש	ש		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C03001	א'ד פֿון ש. הערשקאָוויטש	865	הערשקאָוויטשס טרופּע	הערשקאָוויטשס טרופּע	הערשקאוויטש	ש	לובלין	Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C03002	ביי חיים סאַנדלער	814	טרופּע פֿון סאַנדלער	טרופּע פֿון סאַנדלער	סאנדל	חיים		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C03061	אייראָפּעישן טורניי פֿון באָריס טאָמאַשעווסקי	822	טאָמאַשעווסקיס טרופּע	טאָמאַשעווסקיס טרופּע	טאמאשעווסקי	באריס		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C03878	שלמה הערשקאָוויטשעס אַרטיקער טרופּע	865	הערשקאָוויטשס טרופּע	הערשקאָוויטשס טרופּע	הערשקאוויטש	שלמה		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C04275	לובלינער יידישער טרופּע פֿון שלמה הערשקאָוויטש	865	הערשקאָוויטשס טרופּע	הערשקאָוויטשס טרופּע	הערשקאוויטש	שלמה	לובלין	Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C04426	ג. בעקער	610	בעקערס טרופּע		בעק	ג		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C04559	ביי באָריס טאָמאַשעווסקי	822	טאָמאַשעווסקיס טרופּע	טאָמאַשעווסקיס טרופּע	טאמאשעווסקי	באריס	פֿילאדעלפיע	Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C04638	באַריס טאָמאַשעווסקי	822	טאָמאַשעווסקיס טרופּע	טאָמאַשעווסקיס טרופּע	טאמאשעווסקי	באריס		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C05029	טרופּע אונטער דער דירעקציע פֿון נחום ליפּאָווסקי	759	ליפּאָווסקיס טרופּע	ליפּאָווסקיס טרופּע	ליפאווסקי	נחום		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C05526	הורוויץ מיט אַ טרופּע	283	Hurwitz Troupe	טרופּע פֿון הורוויץ	הורוויץ	א	יאָסי	Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C05794	טרופּע פֿון דוד שאַראַוונער	629	שאַראַוונערס טרופּע	שאַראָוונער'ס טרופּעס	שאראוונ	דוד	נאָוואָסעלץ	Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C06362	מיט פּנחס טאָמאָשעווסקי	822	טאָמאַשעווסקיס טרופּע	טאָמאַשעווסקיס טרופּע	טאמאשעווסקי	פנחס		Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C06474	טרופּע פֿון פּנחס טאָמאָשעווסקי	822	טאָמאַשעווסקיס טרופּע	טאָמאַשעווסקיס טרופּע	טאמאשעווסקי	פנחס	שיקאָגאָ	Rule 2: first-name conflict within family-troupe surname		
rule2_firstname	ORG-C06522	ל. ראָפּעל	469	ראַפּעלס טרופּע	ראָפּעל	ראפעל	ל	וואַרשע	Rule 2: first-name conflict within family-troupe surname		
rule1_borderline	ORG-C03365	טרופּע פון די ברידער קאָריק	815	קאָריקס טרופּע	קאָריקס טרופּע	קאריק			Rule 1 borderline: brothers/joint risk		
rule1_borderline	ORG-C06134	ברידער קאָכאַנסקי	834	טרופּע פֿון קאָכאַנסקי	טרופּע פֿון קאָכאַנסקי	קאכאנסקי			Rule 1 borderline: brothers/joint risk		
rule1_borderline	ORG-C06175	פינקעל מיט אַדלערן	805	פינקעלס טרופּע	פינקעלס טרופּע	פינקעל			Rule 1 borderline: brothers/joint risk		
rule4_unknown_city	ORG-C00728	מלוכה'ש דראַמאַטיש טעאַטער		(possibly Non-Yiddish state theatre)				זינאָוויאָווסק	State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C01242	פעדעראַלן מלוכה טעאַטער-פּראָיעקט		(possibly Non-Yiddish state theatre)					State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C01567_Q02	מלוכה-טעאַטער		(possibly Non-Yiddish state theatre)				קרעמענטשוג	State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C01567_Q03	מלוכה-טעאַטער אין גאַלאַץ		(possibly Non-Yiddish state theatre)				גאַלאַץ	State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C01590	יידישן מלוכהשן באַוועגלעכן טעאַטער פֿון דער אוקראיינישער סאָוועטישער רעפּובליק							Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C01593	"מלוכה-טעאַטער „דער רויטער האַמער"""		(possibly Non-Yiddish state theatre)					State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C01600	באַוועגלעכן מלוכה-טעאַטער פון אוקראינע		(possibly Non-Yiddish state theatre)					State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C01855	מלוכהשן יידישן באַוועגלעכן טעאַטער פֿון אוקראינע							Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C01899	דראַמאַטישע סטודיע ביים וואַרשעווער יידישן מלוכה-טעאַטער		(no DB row yet for וואַרשע Yiddish State Theatre)				וואַרשע	Yiddish State Theatre in וואַרשע — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C02820	יידיש באַוועגלעכן מלוכהטעאַטער							Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C02849_Q01	יידישן מלוכהטעאַטער אין פּוילן						נידערשלעזיע	Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C02849_Q05	יידישן מלוכה-טעאַטער		(no DB row yet for באַקו Yiddish State Theatre)				באַקו | באָקו	Yiddish State Theatre in באַקו — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C02849_Q08	יידישן מלוכה-טעאַטער		(no DB row yet for וואַרשע Yiddish State Theatre)				וואַרשע	Yiddish State Theatre in וואַרשע — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C02849_Q12	יידישן מלוכה-טעאַטער		(no DB row yet for פּאָלטאָווע Yiddish State Theatre)				פּאָלטאָווע	Yiddish State Theatre in פּאָלטאָווע — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C02849_Q13	יידישן מלוכה-טעאַטער		(no DB row yet for טאַרנאָפּאָל Yiddish State Theatre)				טאַרנאָפּאָל	Yiddish State Theatre in טאַרנאָפּאָל — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C02849_Q14	יידישן מלוכה-טעאַטער		(no DB row yet for בערדיטשעוו Yiddish State Theatre)				בערדיטשעוו	Yiddish State Theatre in בערדיטשעוו — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C02849_Q19	יידישן מלוכה-טעאַטער		(no DB row yet for לאָדזש Yiddish State Theatre)				לאָדזש	Yiddish State Theatre in לאָדזש — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C02849_Q20	יידישן מלוכה-טעאַטער							Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C02849_Q21	יידישן מלוכה-טעאַטער		(no DB row yet for פּעטראָגראָד Yiddish State Theatre)				פּעטראָגראָד	Yiddish State Theatre in פּעטראָגראָד — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C02979	קעשנעווער מלוכה פּופּן-טעאַטער		(possibly Non-Yiddish state theatre)				קעשנעוו	State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C03207	באָברויסקער סאָוויעטישן מלוכה-טעאַטער		(possibly Non-Yiddish state theatre)				באָברויסק	State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C03355	באַוועגלעכן יידישן מלוכהטעאַטער פֿאַר די מערב-געביטן							Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C03483	אוקראַאינישן יידישן מלוכה-טעאַטער	478	Kharkov Yiddish State Theatre				כאַרקאָוו	State theatre with 'יידיש' marker — looks like Kharkov Yiddish State Theatre (db 478). Confirm ALIGN to db 478, or write a different db_id in ruthie_decision.	ALIGN 478?	
rule4_unknown_city	ORG-C03550	„פּעדאַגאָגיש יידיש-אוקראיינישער מלוכה-טעאַטער פֿאַר קינדער“	515	Kiev Yiddish State Theatre				קיעוו	State theatre with 'יידיש' marker — looks like Kiev Yiddish State Theatre (db 515). Confirm ALIGN to db 515, or write a different db_id in ruthie_decision.	ALIGN 515?	
rule4_unknown_city	ORG-C03634	מלוכה-טעאַטער פאַרן יונגען צושויער		(possibly Non-Yiddish state theatre)				קיעוו	State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C03693	וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער	535	Vinnitsa Yiddish State Theatre				וויניצע | זשיטאָמיר | יעקאַטערינאָסלאָוו	State theatre with 'יידיש' marker — looks like Vinnitsa Yiddish State Theatre (db 535). Confirm ALIGN to db 535, or write a different db_id in ruthie_decision.	ALIGN 535?	
rule4_unknown_city	ORG-C03728	יידישן מלוכה-טעאַטער „געזקולט							Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C03976	יידישן מלוּכהטעאַטער פֿוּן ווייסרוסלאַנד							Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C04401	פּעדאַגאנישער יידיש-אוקראיינישער מלוכה-טעאַטער פֿאַר קינדער	515	Kiev Yiddish State Theatre				קיעוו	State theatre with 'יידיש' marker — looks like Kiev Yiddish State Theatre (db 515). Confirm ALIGN to db 515, or write a different db_id in ruthie_decision.	ALIGN 515?	
rule4_unknown_city	ORG-C04627	יידישער מלוכהשער קאָמער-טעאַטער		(no DB row yet for פּעטראָגראָד Yiddish State Theatre)				פּעטראָגראָד	Yiddish State Theatre in פּעטראָגראָד — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C04849	כאַרקאָווער מלוכהשן קינדער-טעאַטער		(possibly Non-Yiddish state theatre)				כאַרקאָוו	State theatre WITHOUT 'יידיש' marker — may be a national-language state institution (Russian / Ukrainian / Belarusian / Polish state theatre). Consider type=Non-Yiddish Theatre with no ALIGN, OR confirm Yiddish + give db_id.	Non-Yiddish Theatre?	
rule4_unknown_city	ORG-C05227	1-טן יידישן מלוכה-טעאַטער-וואַרשטאָט		(no DB row yet for האָמעל Yiddish State Theatre)				האָמעל	Yiddish State Theatre in האָמעל — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C05236	יידיש מלוכה-טעאַטער ביים פֿאָלקבילד		(no DB row yet for האָמעל Yiddish State Theatre)				האָמעל	Yiddish State Theatre in האָמעל — no existing DB row found. Likely NEW (create new db row), or ALIGN if you know an equivalent. Write NEW or db_id.	NEW?	
rule4_unknown_city	ORG-C05238	יידיש-אוקראַאינישן מלוכהשן באַוועגלעכן טעאַטער							Yiddish State Theatre, but city wasn't recognized. Is this a known GOSET branch (e.g. Belarusian SSR mobile, All-Ukrainian itinerant)? If yes, write db_id; otherwise NEW.		
rule4_unknown_city	ORG-C06401	ווייסרוסלענדיש-יידישער מלוכה-טעאַַטערסטודיע	543	Moscow Yiddish State Theatre (GOSET)				מאָסקווע	State theatre with 'יידיש' marker — looks like Moscow Yiddish State Theatre (GOSET) (db 543). Confirm ALIGN to db 543, or write a different db_id in ruthie_decision.	ALIGN 543?	
rule3_borderline	ORG-C04912	זשאָרזש בעקערס פּראָווינץ-טרופּע	910	טרופּע זשאָרזש אוּן בּעקער (joint troupe)	טרופּע זשאָרזש אוּן בּעקער	זשאָרזש + בעקער			Rule 3 FP risk: 'George Becker' is one person, but db 910 is 'George + Becker' joint. Maybe align to db 255 (George Beker Troupe) or db 610 (Becker)?		
rule4_borderline	ORG-C05829	מאָסקווער קליינעם מלוכה-טעאַטער (סאָמבאַטאָוו)		(Maly Teatr — Russian state theatre)				מאָסקווע	This is Moscow's Maly Teatr (Russian state theatre), per Sinai's melukha audit Cat A. Already marked Non-Yiddish Theatre. Confirm: type stays Non-Yiddish Theatre, no ALIGN to GOSET (db 543).	confirm Non-Yiddish Theatre	
