old_cluster_id	new_cluster_id	name	org_type	settlement	address	venue	country
ORG-C00018	ORG-C00018_S01	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	סאָמאַרקאַנד			
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו			
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו			
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָווער		כאַרקאָווער יידישן מלוכה-טעאַטער	
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו			
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו			
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו		כאַרקאָווער יידישן מלוכה-טעאַטער	
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו		כאַרקאָווער יידישן מלוכה-טעאַטער	
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו		כאַרקאָווער	
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו		כאַרקאָווער יידישן מלוכה-טעאַטער	ראָטנפֿאַרבאַנד
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו		כאַרקאָווער יידישן מלוכה טעאַטער	
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו			
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו			
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו		כאַרקאָווער יידישן מלוכה-טעאַטער	
ORG-C00018	ORG-C00018_S02	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	כאַרקאָוו		כאַרקאָווער יידישן מלוכה-טעאַטער	
ORG-C00054	ORG-C00054_S01	באַלאַגעניידען	theatre	דאַנציג			
ORG-C00054	ORG-C00054_S02	באַלאַגעניידען	theatre	ווילנע			
ORG-C00054	ORG-C00054_S02	באַלאַגעניידען	theatre	ווילנע			
ORG-C00094	ORG-C00094_S01	קאָנסערוואַטאָריום	school	קיעוו		קאָנסערוואַטאָריום	
ORG-C00094	ORG-C00094_S01	קאָנסערוואַטאָריום	school	ווין		קאָנסערוואַטאָריום	
ORG-C00094	ORG-C00094_S02	קאָנסערוואַטאָריום	school	פּעטערסבורג			
ORG-C00094	ORG-C00094_S03	קאָנסערוואַטאָריום	school	אָדעם			
ORG-C00097	ORG-C00097_S01	אָרטיקער קאָנסערוואַטאָריע	school	אָדעס			
ORG-C00097	ORG-C00097_S02	אָרטיקער קאָנסערוואַטאָריע	school	טשערנאָוויץ		קאָנסערוואַטאָריע	רומעניע
ORG-C00097	ORG-C00097_S02	אָרטיקער קאָנסערוואַטאָריע	school	וואַרשע		אָרטיקע קאָנסערוואַטאָריע	פּוילן
ORG-C00097	ORG-C00097_S02	אָרטיקער קאָנסערוואַטאָריע	school	טשערנאָוויץ			
ORG-C00097	ORG-C00097_S02	אָרטיקער קאָנסערוואַטאָריע	school	סינסינעטי		אָרטיקער קאָנסערוואַטאָריע	אַמעריקע
ORG-C00097	ORG-C00097_S03	אָרטיקער קאָנסערוואַטאָריע	school	קיעוו			אוקראָאינע
ORG-C00098	ORG-C00098_S01	יידישע פֿאָלקס-בינע	troupe	קיעוו			
ORG-C00098	ORG-C00098_S02	יידישע פֿאָלקס-בינע	theatre			יידישע פֿאָלקס בינע	לעטלאַנד
ORG-C00098	ORG-C00098_S03	יידישע פֿאָלקס-בינע	troupe	לאָס אַנדזשעלעס			
ORG-C00144	ORG-C00144_S01	שאָפּ	workplace	וואַרשעווער געטאָ			
ORG-C00144	ORG-C00144_S01	שאָפּ	other	וואַרשעווער געטאָ	לעשנאַ 27		
ORG-C00144	ORG-C00144_S02	שאָפּ	theatre	וואַרשע			
ORG-C00144	ORG-C00144_S02	שאָפּ	factory	וואַרשע		וואַרשעווער געטאָ	
ORG-C00164	ORG-C00164_S01	יידישער סטודיע פֿון ווייסרוסלאַנד	theatre	מאָסקווע			
ORG-C00164	ORG-C00164_S02	יידישער סטודיע פֿון ווייסרוסלאַנד	troupe	מינסק			
ORG-C00206	ORG-C00206_S01	רוסישער דראָמאַטישער שול	school	אָדעס			
ORG-C00206	ORG-C00206_S01	רוסישער דראָמאַטישער שול	school	אָדעס			
ORG-C00206	ORG-C00206_S02	רוסישער דראָמאַטישער שול	school	ווילנע			
ORG-C00213	ORG-C00213_S01	מוזיק-שול	school	מאָסקווע			
ORG-C00213	ORG-C00213_S02	מוזיק-שול	school	טאָמסק			רוסלאַנד
ORG-C00213	ORG-C00213_S03	מוזיק-שול	school	אָדעס		מוזיק-שול	
ORG-C00213	ORG-C00213_S03	מוזיק-שול	school	לעמבערג		מוזיק שול	
ORG-C00213	ORG-C00213_S04	מוזיק-שול	school	ניקאָ'אַיעוו			
ORG-C00271	ORG-C00271_S01	יידישן אָפּערעטן-טעאַטער	theatre	פאַריז			פראַנקרייך
ORG-C00271	ORG-C00271_S02	יידישן אָפּערעטן-טעאַטער	theatre	לאָנדאָן			ענגלאַנד
ORG-C00271	ORG-C00271_S03	יידישן אָפּערעטן-טעאַטער	theatre				דרוםאפריקע
ORG-C00271	ORG-C00271_S04	יידישן אָפּערעטן-טעאַטער	theatre	וואַרשע		יידישן אָפּערעטןטעאַטער	פּוילן
ORG-C00271	ORG-C00271_S04	יידישן אָפּערעטן-טעאַטער	theatre	וואַרשע			
ORG-C00353	ORG-C00353_S01	"„דער קרומער שפּיגל"""	theatre				רוסלאַנד
ORG-C00353	ORG-C00353_S02	"„דער קרומער שפּיגל"""	theatre	ניו יאָרק			יו עס עי
ORG-C00379	ORG-C00379_S01	אַרט טעאַטער	theatre	בראַנקסער		אַרט טעאַטער	
ORG-C00379	ORG-C00379_S02	אַרט טעאַטער	theatre	בראָנסקער			
ORG-C00422	ORG-C00422_S01	פּעדאַגאָגישן אינסטיטוט	school			פּעדאָגאַגישן אינסטיטוט	רוסלאַנד
ORG-C00422	ORG-C00422_S01	פּעדאַגאָגישן אינסטיטוט	school	וואַרשע		פּעדאַגאָגישן אינסטיטוט	
ORG-C00422	ORG-C00422_S02	פּעדאַגאָגישן אינסטיטוט	school	יאסי			
ORG-C00489	ORG-C00489_S01	דאָס פאָלקסבלאַט	newspaper	יאָסי			
ORG-C00489	ORG-C00489_S01	דאָס פאָלקסבלאַט	newspaper	יאָסי			רומעניע
ORG-C00489	ORG-C00489_S02	דאָס פאָלקסבלאַט	newspaper	לעמבערג			
ORG-C00594	ORG-C00594_S01	ווייסרוסלענדיש-יידישער מלוכה-סטודיע	school				ווייסרוסלאַנד
ORG-C00594	ORG-C00594_S02	ווייסרוסלענדיש-יידישער מלוכה-סטודיע	theatre	מאָסקווע			
ORG-C00652	ORG-C00652_S01	"„פאָרווערטס""-אַסאָסייישאָן"	association	ניו-יאָרק			אַמעריקע
ORG-C00652	ORG-C00652_S02	"„פאָרווערטס""-אַסאָסייישאָן"	association	שיקאַגאָ			
ORG-C00696	ORG-C00696_S01	אַמעריקען טעאַטער	theatre	פֿילאדעלפֿיער		„אַמעריקען טעאַטער“	
ORG-C00696	ORG-C00696_S01	אַמעריקען טעאַטער	theatre	פֿילאָדעלפיע		אָמעריקען-טעאַטער	
ORG-C00696	ORG-C00696_S02	אַמעריקען טעאַטער	theatre	ניו יאָרק	בראַנקס		
ORG-C00708	ORG-C00708_S01	עליאָס גליקמאַן	troupe	שיקאַגאָ			
ORG-C00708	ORG-C00708_S01	עליאָס גליקמאַן	theatre	שיקאַגאָ			
ORG-C00708	ORG-C00708_S01	עליאָס גליקמאַן	theatre	שיקאַגאַ		עליאָס גליקמאַן	
ORG-C00708	ORG-C00708_S01	עליאָס גליקמאַן	troupe	שיקאַגאָ			
ORG-C00708	ORG-C00708_S01	עליאָס גליקמאַן	theatre	שיקאַגע			
ORG-C00708	ORG-C00708_S01	עליאָס גליקמאַן אין שיקאַגאַ	theatre	שיקאַגאַ			
ORG-C00708	ORG-C00708_S01	עליאָס גליקמאַן	troupe	שיקאַגאָ			
ORG-C00708	ORG-C00708_S01	עליאָס גליקמאַן	troupe	שיקאַגאָ			
ORG-C00708	ORG-C00708_S02	עליאָס גליקמאַן	theatre	שיקאָנאַ			
ORG-C00786	ORG-C00786_S01	'ראָזמאַאיטאָשטשי'	theatre	לאָדזש		"„ראָזמאַאיטאשטשי"""	פּוילן
ORG-C00786	ORG-C00786_S02	'ראָזמאַאיטאָשטשי'	theatre	ראַדאָם			
ORG-C00790	ORG-C00790_S01	מאדזשעסטיק-טעאַטער	theatre	ברוקלין		„מאדזשעסטיק טעאַטער״	
ORG-C00790	ORG-C00790_S02	מאדזשעסטיק-טעאַטער	theatre	דעטראיט			
ORG-C00820	ORG-C00820_S01	יידישן אַקטיאָרן-פֿאַראיין	union			יידישן אַקטיאָרן-פֿאַראיין	אַרגענטינע
ORG-C00820	ORG-C00820_S01	יידישן אַקטיאָרן-פֿאַראיין	union				אָרגענטינע
ORG-C00820	ORG-C00820_S02	יידישן אַקטיאָרן-פֿאַראיין	union	לאָס אַנדזשעלעס			
ORG-C00820	ORG-C00820_S03	יידישן אַקטיאָרן-פֿאַראיין	union	לאָדזש			
ORG-C00839	ORG-C00839_S01	ביקור חולים	union	סאַנטיאגאָ			טשילע
ORG-C00839	ORG-C00839_S02	ביקור חולים	hospital	ירושלים			
ORG-C00840	ORG-C00840_S01	שלום-עליכם-שול	school	ניו יאָרק			
ORG-C00840	ORG-C00840_S02	שלום-עליכם-שול	school	כאָרבין			
