mention_id	host_person_id	volume	host_xml_id	host_heading	name	gender	person_description	relation
M-3-facs_12_tr_1752652592-000	P-3-facs_12_tr_1752652592	3	facs_12_tr_1752652592	פאַדאָוויטש, בערל	יצחק גאָלאַנד	זכר	"שפּעטערדיקער „הבימה""-שפּילער"	יצחק גאָלאַנד האָט זיך באַטייליקט אין דעם דראַמקרייז וואָס דער סוביעקט האָט געגרינדעט אין קרעמענטשוג.
M-3-facs_12_tr_1752652592-001	P-3-facs_12_tr_1752652592	3	facs_12_tr_1752652592	פאַדאָוויטש, בערל	יהודית נאַראָוולאַנסקאַיאַ	נקבה	אַ מיטגליד פֿון יידישן קאמער-טעאַטער	יהודית נאַראָוולאַנסקאַיאַ האָט זיך באַטייליקט אין דעם דראַמקרייז וואָס דער סוביעקט האָט געגרינדעט אין קרעמענטשוג.
M-3-facs_12_tr_1752652592-002	P-3-facs_12_tr_1752652592	3	facs_12_tr_1752652592	פאַדאָוויטש, בערל	יוסף בראַנדעסקאָ'ן	זכר		יוסף בראַנדעסקאָ'ן האָט אויפֿגעפֿירט די פּיעסעס פֿונעם סוביעקט אין אַנדערע שטעט.
M-3-facs_12_tr_1752652592-003	P-3-facs_12_tr_1752652592	3	facs_12_tr_1752652592	פאַדאָוויטש, בערל	שלום עליכמ'ס	זכר		"דער סוביעקט האָט אויפֿגעפֿירט די פּיעסע „דאָס גרויסע געווינס"" פֿון שלום עליכמ'ס."
M-3-facs_12_tr_1752652592-004	P-3-facs_12_tr_1752652592	3	facs_12_tr_1752652592	פאַדאָוויטש, בערל	אַסיפּ דימאָוו'ס	זכר		"דער סוביעקט האָט אויפֿגעפֿירט די פּיעסעס „יאָשקע מוזיקאַנט"" און „דער אייביקער וואַנדערער"" פֿון אַסיפּ דימאָוו'ס."
M-3-facs_12_tr_1752652590-000	P-3-facs_12_tr_1752652590	3	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	פֿאָטער*	זכר	אַ מיל-אַרבעטער	דער פֿאָטער פֿון דער סוביעקט.
M-3-facs_12_tr_1752652590-001	P-3-facs_12_tr_1752652590	3	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	מאַמע*	נקבה	אָרעמע עלטערן	די מאַמע פֿון דער סוביעקט.
M-3-facs_12_tr_1752652590-002	P-3-facs_12_tr_1752652590	3	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	הויזבאַזיצער*	זכר		דער הויזבאַזיצער פֿון דער סוביעקט.
M-3-facs_12_tr_1752652590-003	P-3-facs_12_tr_1752652590	3	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	קאָליסנאטשענקאָ	זכר	דער זון פֿון זייער הויזבאַזיצער, דער אוקראַאיינישער טעאַטער-דירעקטאָר און אַקטיאָר	ער האָט זי אַריינגענומען אין זיין טרופּע צו שפּילן קינדער-ראָלן.
M-3-facs_12_tr_1752652590-004	P-3-facs_12_tr_1752652590	3	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	זאָסלאַווסקי	זכר	זאָסלאַווסקי׳ס טרופּע, וועלכע שפּילט יידישן רעפּערטואַר אויף רוסיש	ער האָט זי אָנגאַזשירט אין זיין טרופּע.
M-3-facs_12_tr_1752652590-005	P-3-facs_12_tr_1752652590	3	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	מישאַ אפּעלבוים	זכר		די סוביעקט האָט אָפֿט אויפֿגעטראָטן אין דועטן מיט אים.
M-3-facs_12_tr_1752652590-006	P-3-facs_12_tr_1752652590	3	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	שלום פינקוס	זכר	אַקטיאָר	מיט אים האָט זי חתונה געהאַט.
M-3-facs_12_tr_1752652590-007	P-3-facs_12_tr_1752652590	3	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	קינד*		געבוירן 1919 און געשטאָרבן 1920	דאָס קינד פֿונעם סוביעקט.
M-3-facs_12_tr_1752652594-000	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	פֿאָטער *	male	אַ תבואַה-סוחר	ער איז געווען דער פֿאָטער פֿון שלום פּאָדזאַמטשע.
