xml_id	person_id	heading	draft_decision	draft_aligned_db_id	draft_merge_xml_id	confidence	rationale	raw
facs_18_r	P-1-facs_18_r	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	ALIGN	1103		high	Exact heading match at score 1.0; bracketed birth-name אברהם פּערקאָף equals the DB parenthetical; next candidates score far lower.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1103"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact heading match at score 1.0; bracketed birth-name אברהם פּערקאָף equals the DB parenthetical; next candidates score far lower.""}"
facs_35_tr_1740520974	P-1-facs_35_tr_1740520974	אָדעסער פֿאָלקס-זינגער מאיר גאָרבאָי [פּאַרך]	NEW			high	Clear personal name and alias (Meir Gorboy / Porkh) not present in DB; candidates are false positives on 'Zinger' (singer) epithet.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Clear personal name and alias (Meir Gorboy / Porkh) not present in DB; candidates are false positives on 'Zinger' (singer) epithet.""}"
facs_36_tr_1740520951	P-1-facs_36_tr_1740520951	אויגענבליק, פֿיליפּ	ALIGN	1199		high	Exact name match at score 1.0; DB candidate 1199 correctly matches the given name and surname, distinguishing him from family members.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1199"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name match at score 1.0; DB candidate 1199 correctly matches the given name and surname, distinguishing him from family members.""}"
facs_38_tr_1740521011	P-1-facs_38_tr_1740521011	אוריך סאמי [שמאי, גדליהו]	MERGE	985	facs_24_r_159	high	Exact match for name and birth year in both DB (score 1.0) and Vol 5 dedup candidate; Lexicon contains duplicate entries.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": ""985"", ""draft_merge_xml_id"": ""facs_24_r_159"", ""confidence"": ""high"", ""rationale"": ""Exact match for name and birth year in both DB (score 1.0) and Vol 5 dedup candidate; Lexicon contains duplicate entries.""}"
facs_42_tr_1740520988	P-1-facs_42_tr_1740520988	אייזענבערג אַווראָם	MERGE		facs_400_tr_1739220489	high	Identical name and birth year in another volume; both refer to the same individual (Avrom Eyzenberg, DB 1605) whom Zylbercweig indexed twice.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_400_tr_1739220489"", ""confidence"": ""high"", ""rationale"": ""Identical name and birth year in another volume; both refer to the same individual (Avrom Eyzenberg, DB 1605) whom Zylbercweig indexed twice.""}"
facs_42_tr_1740520980	P-1-facs_42_tr_1740520980	אייזענבערג, מאיר	ALIGN	1554		high	Full name exact match to DB hebname at 1.0; other same-surname candidates are different given names at much lower scores.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1554"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Full name exact match to DB hebname at 1.0; other same-surname candidates are different given names at much lower scores.""}"
facs_83_tr_1740521018	P-1-facs_83_tr_1740521018	האָפנער חיים-אהרן	ALIGN	1959		high	Exact name match at 1.0 score; birth/death years are consistent with DB biographical data.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1959"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name match at 1.0 score; birth/death years are consistent with DB biographical data.""}"
facs_83_tr_1740521027	P-1-facs_83_tr_1740521027	דוד בדחן פֿון באָבער, מאָהילעווער גוב.	ALIGN	1217		high	Heading matches DB row 1217 name and epithet 'פון באבער' exactly; higher-scoring candidates are irrelevant pseudonyms.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1217"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Heading matches DB row 1217 name and epithet 'פון באבער' exactly; higher-scoring candidates are irrelevant pseudonyms.""}"
facs_88_r_10	P-1-facs_88_r_10	צונזער, אליקום	NEW			high	Eliakum Zunser is a famous writer; the only DB candidate is his daughter-in-law Miriam. He appears missing from this DB version.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Eliakum Zunser is a famous writer; the only DB candidate is his daughter-in-law Miriam. He appears missing from this DB version.""}"
facs_100_tr_1740521004	P-1-facs_100_tr_1740521004	בירנבוים, לואיס [יעקב לייב]	ALIGN	1312		high	Exact name and bracketed birth-name (יעקב לייב) match DB hebname at 1.0; birth year 1884 is consistent.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1312"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name and bracketed birth-name (יעקב לייב) match DB hebname at 1.0; birth year 1884 is consistent.""}"
