person_id	alias	reason	count
P-1-facs_17_tr_1713546845	אָ.	single_token_common_given_name	29
P-1-facs_17_r_3	אָ.	single_token_common_given_name	29
P-1-facs_18_r_8_1	אָ.	single_token_common_given_name	29
P-1-facs_18_r	אָ.	single_token_common_given_name	29
P-1-facs_19_r_6	מענדל	single_token_common_given_name	5
P-1-facs_19_r_6	אָ.	single_token_common_given_name	29
P-1-facs_21_tr_1740515222	שלמה	single_token_common_given_name	27
P-1-facs_31_TextRegion_1710063786700_90	אַ.	single_token_common_given_name	29
P-1-facs_36_tr_1740520951	אָ.	single_token_common_given_name	29
P-1-facs_39_tr_1740520983	אָ.	single_token_common_given_name	29
P-1-facs_49_tr_1740521087	יהושע	single_token_common_given_name	7
P-1-facs_49_tr_1740521087	אָ.	single_token_common_given_name	29
P-1-facs_50_tr_1740521042	אלעקסאַנדער	single_token_common_given_name	11
P-1-facs_60_tr_1740521090	מאיר	single_token_common_given_name	23
P-1-facs_61_tr_1740521159	רחל	single_token_common_given_name	11
P-1-facs_72_tr_1740521050	אייזיק	single_token_common_given_name	7
P-1-facs_78_tr_1740521049	לייב	single_token_common_given_name	25
P-1-facs_81_tr_1740521165	אָפרים	single_token_common_given_name	5
P-1-facs_83_tr_1740521029	וו.	single_token_common_given_name	5
P-1-facs_83_tr_1740521027	דוד	single_token_common_given_name	67
P-1-facs_84_tr_1740520959	לייזער	single_token_common_given_name	15
P-1-facs_86_tr_1740521078	סאָניע	single_token_common_given_name	6
P-1-facs_94_tr_1740521152	בצלאַל	single_token_common_given_name	3
P-1-facs_100_tr_1740521007	נחום	single_token_common_given_name	8
P-1-facs_102_tr_1740521060	יחיאָל	single_token_common_given_name	3
P-1-facs_102_r_9	בנימין	single_token_common_given_name	7
P-1-facs_104_tr_1740521049	שמואַל	single_token_common_given_name	23
P-1-facs_105_tr_1740521098	אַלעקסאַנדער	single_token_common_given_name	11
P-1-facs_106_tr_1740520993	יונה	single_token_common_given_name	5
P-1-facs_121_tr_1740521041	ע	single_token_common_given_name	4
P-1-facs_130_tr_1740521104	יעקב	single_token_common_given_name	87
P-1-facs_135_r_2	הערש	single_token_common_given_name	20
P-1-facs_135_r_2	אַברהם	single_token_common_given_name	67
P-1-facs_150_tr_1740521117	לייבוש	single_token_common_given_name	4
P-1-facs_151_r_6	גאָלדע	single_token_common_given_name	3
P-1-facs_205_tr_1741260274	ברוך	single_token_common_given_name	8
P-1-facs_205_tr_1741260267	יעקב	single_token_common_given_name	87
P-1-facs_258_r_1	אליהו	single_token_common_given_name	7
P-1-facs_266_tr_1741260236	ישראל	single_token_common_given_name	20
P-1-facs_267_tr_1741260279	הערמאַן	single_token_common_given_name	15
P-1-facs_269_tr_1741260225	שמואַל	single_token_common_given_name	23
P-1-facs_283_tr_1741260246	שמחה	single_token_common_given_name	8
P-1-facs_283_tr_1741260236	בצלאַל	single_token_common_given_name	3
P-1-facs_284_r_9	יעקב	single_token_common_given_name	87
P-1-facs_287_tr_1741260236	ראובן	single_token_common_given_name	5
P-1-facs_298_tr_1741260446	יצחק	single_token_common_given_name	61
P-1-facs_323_tr_1741260490	ה'	single_token_common_given_name	14
P-1-facs_335_tr_1741260385	וו.	single_token_common_given_name	5
P-1-facs_336_tr_1741260422	צבי	single_token_common_given_name	5
P-1-facs_336_tr_1741260422	וו.	single_token_common_given_name	5
P-1-facs_337_tr_1741260519	וו.	single_token_common_given_name	5
P-1-facs_337_r_1	וו.	single_token_common_given_name	5
P-1-facs_338_tr_1741260416	וו.	single_token_common_given_name	5
P-1-facs_338_tr_1741260418	שמחה	single_token_common_given_name	8
P-1-facs_338_tr_1741260418	וו.	single_token_common_given_name	5
P-1-facs_339_tr_1741260415	וו.	single_token_common_given_name	5
P-1-facs_339_tr_1741260401	וו.	single_token_common_given_name	5
P-1-facs_340_tr_1741260475	וו.	single_token_common_given_name	5
P-1-facs_340_tr_1741260479	וו.	single_token_common_given_name	5
P-1-facs_340_tr_1741260473	וו.	single_token_common_given_name	5
P-1-facs_340_tr_1741260477	וו.	single_token_common_given_name	5
P-1-facs_341_r_7	וו.	single_token_common_given_name	5
P-1-facs_341_TextRegion_1710852353404_65	וו.	single_token_common_given_name	5
P-1-facs_341_TextRegion_1710852325453_54	וו.	single_token_common_given_name	5
P-1-facs_342_tr_1741260510	וו.	single_token_common_given_name	5
P-1-facs_342_tr_1741260504	וו.	single_token_common_given_name	5
P-1-facs_342_tr_1741260505	וו.	single_token_common_given_name	5
P-1-facs_342_tr_1741260502	וו.	single_token_common_given_name	5
P-1-facs_343_tr_1741260417	וו.	single_token_common_given_name	5
P-1-facs_344_tr_1741260464	וו.	single_token_common_given_name	5
P-1-facs_344_tr_1741260465	וו.	single_token_common_given_name	5
P-1-facs_345_r_10	וו.	single_token_common_given_name	5
P-1-facs_346_TextRegion_1710166806332_464	וו.	single_token_common_given_name	5
P-1-facs_347_TextRegion_1710167012304_556	וו.	single_token_common_given_name	5
P-1-facs_347_TextRegion_1710166971671_511	וו.	single_token_common_given_name	5
P-1-facs_347_TextRegion_1710166960652_499	וו.	single_token_common_given_name	5
P-1-facs_348_tr_1741260380	וו.	single_token_common_given_name	5
P-1-facs_348_tr_1741260382	וו.	single_token_common_given_name	5
P-1-facs_349_tr_1741260454	וו.	single_token_common_given_name	5
P-1-facs_349_r	וו.	single_token_common_given_name	5
P-1-facs_349_tr_1741260438	וו.	single_token_common_given_name	5
P-1-facs_350_tr_1741260476	וו.	single_token_common_given_name	5
P-1-facs_350_tr_1741260473	וו.	single_token_common_given_name	5
P-1-facs_350_tr_1741260461	וו.	single_token_common_given_name	5
P-1-facs_350_r_7	וו.	single_token_common_given_name	5
P-1-facs_350_tr_1741260475	וו.	single_token_common_given_name	5
P-1-facs_350_tr_1741260471	וו.	single_token_common_given_name	5
P-1-facs_351_tr_1741260418	וו.	single_token_common_given_name	5
P-1-facs_351_tr_1741260423	וו.	single_token_common_given_name	5
P-1-facs_351_tr_1741260421	וו.	single_token_common_given_name	5
P-1-facs_351_tr_1741260417	וו.	single_token_common_given_name	5
P-1-facs_353_tr_1741260469	וו.	single_token_common_given_name	5
P-1-facs_354_tr_1741260453	וו.	single_token_common_given_name	5
P-1-facs_355_tr_1741260495	קלמן	single_token_common_given_name	6
P-1-facs_355_tr_1741260495	וו.	single_token_common_given_name	5
P-1-facs_356_tr_1741260401	וו.	single_token_common_given_name	5
P-1-facs_356_tr_1741260406	אהרן	single_token_common_given_name	21
P-1-facs_356_tr_1741260406	וו.	single_token_common_given_name	5
P-1-facs_357_r_10	וו.	single_token_common_given_name	5
P-1-facs_357_r_19	וו.	single_token_common_given_name	5
P-1-facs_358_tr_1741260401	קאַרל	single_token_common_given_name	7
P-1-facs_358_tr_1741260401	וו.	single_token_common_given_name	5
P-1-facs_358_tr_1741260404	וו.	single_token_common_given_name	5
P-1-facs_358_tr_1741260405	וו.	single_token_common_given_name	5
P-1-facs_359_TextRegion_1710852566555_178	וו.	single_token_common_given_name	5
P-1-facs_359_TextRegion_1710852536774_157	וו.	single_token_common_given_name	5
P-1-facs_359_TextRegion_1710852502307_117	וו.	single_token_common_given_name	5
P-1-facs_360_TextRegion_1710852683904_242	וו.	single_token_common_given_name	5
P-1-facs_360_TextRegion_1710852654922_221	וו.	single_token_common_given_name	5
P-1-facs_360_TextRegion_1710852639568_206	וו.	single_token_common_given_name	5
P-1-facs_361_TextRegion_1710853887337_347	מאיר	single_token_common_given_name	23
P-1-facs_361_TextRegion_1710853887337_347	וו.	single_token_common_given_name	5
P-1-facs_361_r_6	וו.	single_token_common_given_name	5
P-1-facs_361_r_9	וו.	single_token_common_given_name	5
P-1-facs_362_TextRegion_1710853984376_412	וו.	single_token_common_given_name	5
P-1-facs_362_r_17	וו.	single_token_common_given_name	5
P-1-facs_362_TextRegion_1710853958237_371	וו.	single_token_common_given_name	5
P-1-facs_363_r_6	וו.	single_token_common_given_name	5
P-1-facs_363_r_9	וו.	single_token_common_given_name	5
P-1-facs_363_TextRegion_1710854126127_478	וו.	single_token_common_given_name	5
P-1-facs_363_TextRegion_1710854112959_462	וו.	single_token_common_given_name	5
P-1-facs_364_tr_1741260435	וו.	single_token_common_given_name	5
P-1-facs_364_tr_1741260432	וו.	single_token_common_given_name	5
P-1-facs_364_tr_1741260422	וו.	single_token_common_given_name	5
P-1-facs_364_tr_1741260425	וו.	single_token_common_given_name	5
P-1-facs_365_tr_1741260404	וו.	single_token_common_given_name	5
