play	page	line_id	offset	length	current_type	text_span	full_line	source	source_tool	source_user	source_tsid	source_date	prior_type	prior_source_tool	n_layers_touched	parent_check
AlNaharotBavel-Amkreut&Freund1909	7	r1l11	0	65	setting	(א שעהן רייך פערציערטער זאאל ביי דניאל, אויף דער וואנד, איבער דער	(א שעהן רייך פערציערטער זאאל ביי דניאל, אויף דער וואנד, איבער דער	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20			1	
AlNaharotBavel-Amkreut&Freund1909	7	r1l12	0	64	setting	מיטעלטהיר אים הינטערגרונד איז מיט גרויסע בוכשטאבען אויפגעשריעבען	מיטעלטהיר אים הינטערגרונד איז מיט גרויסע בוכשטאבען אויפגעשריעבען	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20		App_5.0.0.672	2	
AlNaharotBavel-Amkreut&Freund1909	7	r1l13	0	60	setting	„אם אשכחך ירושלים תשכח ימיני“. — געדעקטער טיש בעלייכטעט, מיט	„אם אשכחך ירושלים תשכח ימיני“. — געדעקטער טיש בעלייכטעט, מיט	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20		App_5.0.0.672	2	
AlNaharotBavel-Amkreut&Freund1909	7	r1l14	0	54	setting	פריכטע. — געסט, דניאלס צעגלינגע, אויבען אן זיצט דניאל,	פריכטע. — געסט, דניאלס צעגלינגע, אויבען אן זיצט דניאל,	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20			1	
AlNaharotBavel-Amkreut&Freund1909	7	r1l15	0	58	setting	צו זיינער רעכטען זרבבל, לינקס עזרא הסופר, יהושוע בן יהוצדק	צו זיינער רעכטען זרבבל, לינקס עזרא הסופר, יהושוע בן יהוצדק	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20		App_5.0.0.672	2	
AlNaharotBavel-Amkreut&Freund1909	7	r1l16	0	9	setting	כהן גדול.	כהן גדול.	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20		App_5.0.0.672	2	
AlNaharotBavel-Amkreut&Freund1909	7	r1l20	0	12	business	(מוזיק טוש).	(מוזיק טוש).	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20			1	
AlNaharotBavel-Amkreut&Freund1909	7	r1l25	0	12	business	(מוזיק טוש).	(מוזיק טוש).	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20			1	
AlNaharotBavel-Amkreut&Freund1909	7	r1l27	6	36	business	(אין א מאנטעל געהילט, בעז צו אליקים)	זמרי: (אין א מאנטעל געהילט, בעז צו אליקים), וֶועט עֶס דֶען נָאר קיין עֶנְדֶע	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20			1	
AlNaharotBavel-Amkreut&Freund1909	7	r1l30	8	20	business	(קוקט איהם אין פנים)	אליקים: (קוקט איהם אין פנים) וֶוער אִיז דֶער לֵץ? זַיין צוּרָה אִיז מִיר ַגַאנְץ	LLM	YiDraCor-annotation-pipeline	sinai.rusinek@mail.huji.ac.il	288103029	2026-05-20			1	
