category,play,page,line_id,offset,length,span,proposal,confidence,rationale,noa_correction,line_context
ask-noa,DerManUnterTiff,14,r_1_1l26,0,17,(קלערְט אבּייסיל),business,low,"'ponders a bit' — a verb phrase, so business by ST13's adverb test; but it modifies how he then speaks, which argues delivery. Your call.",,(קלערְט אבּייסיל) הערְט מיךְ אויס טאָמעֶר וועֶט אייַךְ אייַער מאַן
ask-noa,Di_seyder_nakht_Emkroyt_1908,55,TextRegion_1649531346660_569l3,0,73,(דאָס זינגט דאָס קאָהר אזוי ווי דער פֿאָרהאַנג געהט אויף אים ערשטען אקט).,business,low,"'the chorus sings this as the curtain rises in act 1' — a performance/cue note, not stage action. Contains פֿאָרהאַנג but NOT as a curtain cue, so ST6 must not fire here. Possibly deserves its own musical treatment.",,(דאָס זינגט דאָס קאָהר אזוי ווי דער פֿאָרהאַנג געהט אויף אים ערשטען אקט).
ask-noa,Di_seyder_nakht_Emkroyt_1908,69,TextRegion_1649448334785_1551l36,27,18,"רעפריין, א. ז. וו.",repeat,low,"'refrain, etc.' mid-line = repeat the refrain. M5 makes רעפריין a head, but that is for a rubric heading a block; here it is an inline instruction. REFRAIN_RX is ^-anchored so it never saw this.",,"קנעכט זענען מיר נאך היינט. רעפריין, א. ז. וו."
defect,Di_seyder_nakht_Emkroyt_1908,61,TextRegion_1649533051421_1444l5,0,16,קופלעי וואסיליע.,head,medium,"'Couplet of Vasilye' after 'Nr. 4.' — a song rubric, not a stage direction. Retag as head, cf. M5.",,קופלעי וואסיליע.
defect,Ezra-Emkroyt1908,5,line_1638824525750_1938,0,12,וואלֶענְטִין,speaker,high,Mis-scoped: this span covers the speaker NAME. The direction (זינגט פון פֿערנע) is already correctly typed business on the same line. Should be speaker{xmlid:valentin}.,,וואלֶענְטִין (זינגט פון פֿערנע).
defect,Ezra-Emkroyt1908,8,line_1639248760763_356,0,13,ביסס יאַ ראכע,split,medium,"'ביסס' is the repeat mark; 'יאַ ראכע' is sung text. Needs splitting: stage{type:repeat} over ביסס, verse for the rest.",,ביסס יאַ ראכע
defect,Ezra-Emkroyt1908,30,TextRegion_1647608799647_1099l12,0,4,ביבס,ocr,medium,Almost certainly OCR for 'ביסס' (ס→ב) — 'ביבס' is not a word and it sits between sung lines. §7: text-wrong goes to Judith's queue; then it types as repeat.,,ביבס
defect,HinkePinke,30,TextRegion_1649691550551_2379l26,0,13,צווייטער אקט.,drop,high,"Spurious stage span on an act heading. The line already carries heading{type:act,n:2}. Drop the stage span.",,צווייטער אקט.
propose,AlNaharotBavel-Amkreut&Freund1909,9,r1l13,8,10,(וויטהענד),delivery,high,"'wütend' — single-token emotion adverb, parenthesized (ST13/ST8). Add וויטהענד to EMOTION_ADVERBS.",,אליקים: (וויטהענד) פַארְשְטְאפּ דִיר דַיין פִּיסְק מִיט אַ הֵייס שְטִיק אַייזֶען.
propose,AlNaharotBavel-Amkreut&Freund1909,9,r1l31,41,45,"(וויל איהם אנגרייפען, זמרי שטויסט איהם אוועק)",business,high,"Two physical actions (tries to attack, Zimri pushes him away). Modal וויל guard (ST5) keeps it off exit.",,"אליקים: יִמַח שְמוֹנִיק, וֶוער בִּיזְטוּ (וויל איהם אנגרייפען, זמרי שטויסט איהם אוועק)"
propose,DerManUnterTiff,10,r_2_1l11,59,6,(טוּר⸗,exit,medium,"Fragment of a two-line direction closing '…ניווער אב)' — an exit. ST9: tag each line's portion, same type.",,נוּ ר' אוֹרח האָט איִהר שֵׂכֶל אוּן וואַרפט אייַךְ אַרוֹיס (טוּר⸗
propose,DerManUnterTiff,10,r_2_1l14,63,4,(עֵר,business,medium,Fragment of '(ער גיט איהר)' — he hands it to her. ST9.,,"אַה, דיִ תחיִנה מייֵנְט איִהר? יאָ איִךְ האָבּ זיִ גיִבּראַכֿט (עֵר"
propose,Ezra-Emkroyt1908,4,line_1638791957851_2791,0,39,(דעבאָרא מיט א האַרפֿע בּיים פֿענסטער).,setting,high,Opening tableau continuation ('Deborah with a harp by the window') after the scene description. ST7b.,,(דעבאָרא מיט א האַרפֿע בּיים פֿענסטער).
propose,SoreSheyndel,31,r1l30,5,8,(זינגט).,delivery,high,'(sings)' — parenthesized manner of delivery (ST8). Matches how (זינגט) is typed elsewhere.,,סֶעם (זינגט).
propose,דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,19,r_3_1_tl_4,14,19,(קוּמט מִיט גֶעלְד),entrance,high,"'comes with money' — קומט is the entrance cue; 'with money' is not a second action verb, so single-token entrance, not compound (ST3).",,וולאַדיסלאַוו (קוּמט מִיט גֶעלְד).
propose,דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,21,r_3_1_tl_11,70,7,(אָבּ).,exit,high,Bare (אב) → exit (ST5).,,זַייער פֶערְטַיידִיגֶער בּיזין לֶעצטֶען אייגענבּליק פוּן מַיין לעבּען (אָבּ).
