edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Al Naharot Bavel,9,r1l13,untyped stage,NOA,untyped stage (no lexicon),אליקים: (וויטהענד) פַארְשְטְאפּ דִיר דַיין פִּיסְק,manual
Al Naharot Bavel,9,r1l31,untyped stage,NOA,untyped stage (no lexicon),"אליקים: יִמַח שְמוֹנִיק, וֶוער בִּיזְטוּ (וויל איה",manual
Al Naharot Bavel,9,r1l13,untyped stage,NOA,untyped stage (no lexicon),אליקים: (וויטהענד) פַארְשְטְאפּ דִיר דַיין פִּיסְק,manual
Al Naharot Bavel,9,r1l31,untyped stage,NOA,untyped stage (no lexicon),"אליקים: יִמַח שְמוֹנִיק, וֶוער בִּיזְטוּ (וויל איה",manual
Bas Sheva,7,line_1648719077164_902,untyped stage,NOA,untyped stage (no lexicon),בּיס,manual
Bas Sheva,16,TextRegion_1648725342005_1510l3,untagged speaker,NOA,"untagged speaker (unknown) 'אבנר, בנימין'","אבנר, בנימין: נִישְט דֶער רֶעדֶע ווערְטה.",manual
Blimele (di Perle von Warsha),27,line_1649535651843_3345,speaker missing xmlid,NOA,speaker missing xmlid (unresolved),מענער קאר:,manual
Blimele (di Perle von Warsha),27,line_1649535558270_3263,speaker missing xmlid,NOA,speaker missing xmlid (unresolved),דאמען קאר:,manual
Blimele (di Perle von Warsha),27,line_1649535993509_3637,untyped stage,NOA,untyped stage (no lexicon),ביס,manual
Blimele (di Perle von Warsha),33,r_1_1l14,speaker missing xmlid,NOA,speaker missing xmlid (unresolved),יעגער קאר: פארווערטס פארווערטס מוטהיג אויף דיא יאג,manual
Blimele (di Perle von Warsha),41,r_1_1l19,speaker missing xmlid,NOA,speaker missing xmlid (unresolved),אַלע צוזאמען: צוּ וֶוערֶען מִיר דֶען פֶעהִיג אֵיין,manual
Der Mann untern Tisch,10,r_2_1l11,untyped stage,NOA,untyped stage (no lexicon),נוּ ר' אוֹרח האָט איִהר שֵׂכֶל אוּן וואַרפט אייַךְ,manual
Der Mann untern Tisch,10,r_2_1l14,untyped stage,NOA,untyped stage (no lexicon),"אַה, דיִ תחיִנה מייֵנְט איִהר? יאָ איִךְ האָבּ זיִ",manual
Der Mann untern Tisch,14,r_1_1l26,untyped stage,NOA,untyped stage (no lexicon),(קלערְט אבּייסיל) הערְט מיךְ אויס טאָמעֶר וועֶט אי,manual
Der Mann untern Tisch,18,r_1_1l3,untyped stage,NOA,untyped stage (no lexicon),ווי מיר קומען צום רבין צופאָרעֶן (בּיס).,manual
