edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Al Naharot Bavel,35,r1l13,untagged speaker,NOA,untagged speaker (unknown) 'הויפטמאן',הויפטמאן: אִיהר שווייגט?,manual
Al Naharot Bavel,9,r1l13,untyped stage,NOA,untyped stage (no lexicon),אליקים: (וויטהענד) פַארְשְטְאפּ דִיר דַיין פִּיסְק,manual
Al Naharot Bavel,9,r1l31,untyped stage,NOA,untyped stage (no lexicon),"אליקים: יִמַח שְמוֹנִיק, וֶוער בִּיזְטוּ (וויל איה",manual
Bas Sheva,16,TextRegion_1648725342005_1510l3,untagged speaker,NOA,"untagged speaker (unknown) 'אבנר, בנימין'","אבנר, בנימין: נִישְט דֶער רֶעדֶע ווערְטה.",manual
Bas Sheva,26,r_1_1l15,untagged speaker,NOA,untagged speaker (unknown) 'זלמן',זלמן: הֶערְט! הֶערְט נֵייעס! הֶערְט!,manual
Bas Sheva,32,TextRegion_1648852535726_3295l27,untagged speaker,NOA,untagged speaker (unknown) 'בוימין',"בוימין: נוּ, וואָס?",manual
Bas Sheva,47,r_2_1l30,untagged speaker,NOA,untagged speaker (unknown) 'בנילין',בנילין: דאמִיט הָאט דָאך דֶער פֶעלְדְמארְשׁאל ערוו,manual
Bas Sheva,57,r_1_1l26,untagged speaker,NOA,untagged speaker (unknown) 'שלומאיל',"שלומאיל: נוּ, וואַס'זשׁע אִיז דאפוּן?",manual
Bas Sheva,62,TextRegion_1648845089070_371l22,untagged speaker,NOA,untagged speaker (unknown) 'זלמן',זלמן: אוּנְטֶער דִי יֶענִיגֶע וואָס זֶענֶען געבּלי,manual
Bas Sheva,66,r_2_1l26,untagged speaker,NOA,untagged speaker (unknown) 'זלמן',זלמן: יאָ טַייער קִינְד! דָא שְׁטֶעהט דַיין אמְת'ר,manual
Blimele (di Perle von Warsha),23,r_1_1l15,untagged speaker,NOA,untagged speaker (unknown) 'מאלסים',מאלסים: נָאך לאַנגע נִיכְט.,manual
Blimele (di Perle von Warsha),23,r_1_1l2,untagged speaker,NOA,untagged speaker (unknown) 'גרא',גרא: (רייכט איהם דיא האנד) אִיך גראטוליערע צוּ אִי,manual
Blimele (di Perle von Warsha),27,line_1649535558270_3263,speaker missing xmlid,NOA,speaker missing xmlid (unresolved),דאמען קאר:,manual
Blimele (di Perle von Warsha),27,line_1649535651843_3345,speaker missing xmlid,NOA,speaker missing xmlid (unresolved),מענער קאר:,manual
Blimele (di Perle von Warsha),27,line_1649535993509_3637,untyped stage,NOA,untyped stage (no lexicon),ביס,manual
Blimele (di Perle von Warsha),33,r_1_1l14,speaker missing xmlid,NOA,speaker missing xmlid (unresolved),יעגער קאר: פארווערטס פארווערטס מוטהיג אויף דיא יאג,manual
Der Mann untern Tisch,10,r_2_1l11,untyped stage,NOA,untyped stage (no lexicon),נוּ ר' אוֹרח האָט איִהר שֵׂכֶל אוּן וואַרפט אייַךְ,manual
Der Mann untern Tisch,10,r_2_1l14,untyped stage,NOA,untyped stage (no lexicon),"אַה, דיִ תחיִנה מייֵנְט איִהר? יאָ איִךְ האָבּ זיִ",manual
Der Mann untern Tisch,14,r_1_1l26,untyped stage,NOA,untyped stage (no lexicon),(קלערְט אבּייסיל) הערְט מיךְ אויס טאָמעֶר וועֶט אי,manual
Der Mann untern Tisch,18,r_1_1l3,untyped stage,NOA,untyped stage (no lexicon),ווי מיר קומען צום רבין צופאָרעֶן (בּיס).,manual
Di Seder Nakht,32,r_1_1l7,untagged speaker,NOA,untagged speaker (unknown) 'דו',דו: מֵיין שׁולְד מֵיין אַייגֶענֶע שוּלד!,manual
Di Seder Nakht,56,TextRegion_1649531546552_699l5,untagged speaker,NOA,untagged speaker (unknown) 'סאלא אלט',סאלא אלט: דיא שעהנע ראזע בּליהט,manual
Di Seder Nakht,65,TextRegion_1649533891997_1934l19,untagged speaker,NOA,untagged speaker (unknown) '2) קינד',2) קינד.: איך זאָל נוּר דערלעבּען דיא גדוּלה,manual
Di Seder Nakht,69,line_1649448420472_1578,untagged speaker,NOA,untagged speaker (unknown) 'רעפריין',רעפריין: יוּדאלע נישט האָבּ קיין מורה,manual
Di Seder Nakht,9,r_3_1l3,untagged speaker,NOA,untagged speaker (unknown) 'ולמן',ולמן: עַם וואוּנְדֶערְט דִיך מֵיין קִינְד? געדענקס,manual
Dos Yudishe Herts,16,r1l26,untagged speaker,NOA,untagged speaker (unknown) '(שרייט)',(שרייט): למְך!,manual
Dos Yudishe Herts,17,r1l27,untagged speaker,NOA,untagged speaker (unknown) 'סערקע (שפייט)',"סערקע (שפייט): טפוֹי, צוּ זיין קאָפּ!",manual
Dos Yudishe Herts,18,r1l17,untagged speaker,NOA,untagged speaker (unknown) 'זלמן',זלמן: שׁוֹין וִויעדֶער מיִט אוּנזער טאָכטער! אוֹי ,manual
Dos Yudishe Herts,18,r1l19,untagged speaker,NOA,untagged speaker (unknown) 'למן',למן: איִך האָבּ אַלסדינג געהערט.,manual
Dos Yudishe Herts,18,r1l21,untagged speaker,NOA,untagged speaker (unknown) 'זלמן',זלמן: וואָס איִךְ זאָג? שְׁלעֶכֿט! איִךְ זאָג אַזו,manual
Dos Yudishe Herts,20,r1l27,untagged speaker,NOA,untagged speaker (unknown) 'פערקע',פערקע: פאַרוואָס-זשע האָט מען זיי אַריינגעפיהרט צו,manual
Dos Yudishe Herts,21,r1l27,untagged speaker,NOA,untagged speaker (unknown) 'משה (געהט צו)',משה (געהט צו): שלוֹם עליכם! (סצענע).,manual
Dos Yudishe Herts,23,r1l21,untagged speaker,NOA,untagged speaker (unknown) 'ער',"ער: מיִט דיִר, נאָר מיִט דיִר, זיִנְג איִךְ מיִט פ",manual
