edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Al Naharot Bavel,9,r1l13,untyped stage,NOA,untyped stage (no lexicon),אליקים: (וויטהענד) פַארְשְטְאפּ דִיר דַיין פִּיסְק,manual
Al Naharot Bavel,9,r1l31,untyped stage,NOA,untyped stage (no lexicon),"אליקים: יִמַח שְמוֹנִיק, וֶוער בִּיזְטוּ (וויל איה",manual
Al Naharot Bavel,19,r1l31,untagged speaker,NOA,untagged speaker (unknown) 'קעניג',"קעניג: יאָ דָאס וִויל אִיך, אוּן דִי גֶערֶעכטִיגקֵ",manual
Al Naharot Bavel,35,r1l13,untagged speaker,NOA,untagged speaker (unknown) 'הויפטמאן',הויפטמאן: אִיהר שווייגט?,manual
Der Mann untern Tisch,10,r_2_1l11,untyped stage,NOA,untyped stage (no lexicon),נוּ ר' אוֹרח האָט איִהר שֵׂכֶל אוּן וואַרפט אייַךְ,manual
Der Mann untern Tisch,10,r_2_1l14,untyped stage,NOA,untyped stage (no lexicon),"אַה, דיִ תחיִנה מייֵנְט איִהר? יאָ איִךְ האָבּ זיִ",manual
Der Mann untern Tisch,11,r_2_1l9,invalid stage.type 'mixed',NOA,invalid stage.type 'mixed',"(זיי נעהמען זיך אַרוּם, יאכֿטשע ערשיינט).",manual
Der Mann untern Tisch,11,r_2_1l34,invalid stage.type 'mixed',NOA,invalid stage.type 'mixed',(ער בעהאַלט זיך. אויפֿטריט סאבעלע).,manual
Der Mann untern Tisch,14,r_1_1l26,untyped stage,NOA,untyped stage (no lexicon),(קלערְט אבּייסיל) הערְט מיךְ אויס טאָמעֶר וועֶט אי,manual
Der Mann untern Tisch,18,r_1_1l3,untyped stage,NOA,untyped stage (no lexicon),ווי מיר קומען צום רבין צופאָרעֶן (בּיס).,manual
Der Mann untern Tisch,18,r_1_1l31,invalid stage.type 'mixed',NOA,invalid stage.type 'mixed',איִן דעֶר צַייט וועֶן מעֶן ענְדיִגט דאָס געזאַנג ש,manual
Der Mann untern Tisch,18,r_1_1l32,invalid stage.type 'mixed',NOA,invalid stage.type 'mixed',זעֶלְבְּסְט אוּן יאָכֿטשֶעֶ טַאנְצְט מיִט'ן טוּרְנ,manual
Der Mann untern Tisch,18,r_1_1l33,invalid stage.type 'mixed',NOA,invalid stage.type 'mixed',"קעֶווער, אַזוֹי וויִ יאָכֿטשעֶ דעֶרְזעֶהט לויִפֿט ",manual
Der Mann untern Tisch,18,r_1_1l34,invalid stage.type 'mixed',NOA,invalid stage.type 'mixed',טוּרְניִווער בּעֶהאַלט איִהם אוּן עֵר זיִנְגְט אוֹ,manual
Di Seder Nakht,32,r_1_1l7,untagged speaker,NOA,untagged speaker (unknown) 'דו',דו: מיין שולד מיין אייגענע שוּלד!,manual
Di Seder Nakht,56,TextRegion_1649531546552_699l5,untagged speaker,NOA,untagged speaker (unknown) 'סאלא אלט',סאלא אלט: דיא שעהנע ראזע בּליהט,manual
Di Seder Nakht,65,TextRegion_1649533891997_1934l19,untagged speaker,NOA,untagged speaker (unknown) '2) קינד',2) קינד.: איך זאָל נוּר דערלעבּען דיא גדוּלה,manual
Di Seder Nakht,69,line_1649448420472_1578,untagged speaker,NOA,untagged speaker (unknown) 'רעפריין',רעפריין: יוּדאלע נישט האָבּ קיין מורה,manual
Kidush Hashem,12,r1l9,untagged speaker,NOA,untagged speaker (unknown) 'פיקאלע',פיקאלע: דֶער גרַאף הָאט דָאך נִישְט מֶעהר ווִי אַ ,manual
Kidush Hashem,13,r1l8,untagged speaker,NOA,untagged speaker (unknown) 'איזראעל',"איזראעל :) גִיבּ מִיר דַיין הַאנְד, מַיִין פְריינְ",manual
Kidush Hashem,22,r1l7,untagged speaker,NOA,untagged speaker (unknown) 'בראווא',בראווא: דאָס אִיז גֶעווֶען אַ קוּנסטפוּלער היעבּ. ,manual
Yudale der Blinder,43,TextRegion_1648551957694_3087l41,untagged speaker,NOA,untagged speaker (unknown) 'געאנטווארטעט',געאנטווארטעט: אָנקעל! אִיך ליעבּע רָאזא'ן אִיך פֶע,manual
Yudale der Blinder,64,r1l51,untagged speaker,NOA,untagged speaker (unknown) 'חזן',חזן: (פאַנגט אן) בּרוּך אַתה ד'!,manual
