transkribus_url	transkribus_url	current_type	value	value_in_context	type_source	flag	comments
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	setting	דִי בּיִהנע שׁטֶעלְט פאָר בּיִסינג'ס אַ קאַנטאָר:	דִי בּיִהנע שׁטֶעלְט פאָר בּיִסינג'ס אַ קאַנטאָר:	person:Noa (web UI)		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	business	(מאָנקאַדזשאו פון הינטער די קוליסען פייַפט)	בּיסינג → (מאָנקאַדזשאו פון הינטער די קוליסען פייַפט).	rule:auto-resolve lexicon	?	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	entrance	(אויפטריט דיענער)	ביסינג → דִיענֶער! (אויפטריט דיענער) ווֶער אִיזְט דאַס בּייַ מִיר זאָ	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	exit	(דיענער אָבּ)	ביסינג: זאָל עֵר הֶערֵיין קאָמען! (דיענער אָבּ) זאָל עֵר פִילֵייכְט מייַן	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	entrance	אויפטריט מאָנקאַדושאו	ביסינג → (אויפטריט מאָנקאַדושאו).	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=5	entrance	(אויפטריט מאָנקאַדושאו)	ביסינג → (אויפטריט מאָנקאַדושאו).	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=6	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=6	entrance	(אויפּטריט נאַטאַנזאָהן)	ביסינג → (אויפּטריט נאַטאַנזאָהן)	person:Judith (web UI)		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=7	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=7	business	(בּיסינג שריַיַבּט)	מאנקאדזשאו → בּאָס! שריַיַבּען זִי אוּנטעֶר. (בּיסינג שריַיַבּט) דֶעד שלאַק זאָל אִיהם	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=7	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=7	exit	(נאַטאַנזאָהן אָב)	ביסינג → (נאַטאַנזאָהן אָב).	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=7	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=7	entrance	(אויפטריט נאַטאַנזאָהן)	מאנקאדזשאו → (אויפטריט נאַטאַנזאָהן)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	business	(גיט איהם אַ קלאַפּ אין קאָפ)	ביסינג: נאַ דוּ בּלעדי פֶּערְנֶע (גיט איהם אַ קלאַפּ אין קאָפ).	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	business	(שטאַרבּט)	נאטאנזאהן: מֵייַנֶע פְרוֹי אונְד קִינְדֶער (שטאַרבּט).	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	business	(וויל געהן)	ביסינג: אִיךְ גֶעהֶע נאַך אַיינֶען אַרצְט. (וויל געהן)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
