entry_id,context,source_role,source_value,clustered_value,qid,qid_source,place_qid_conflict,wikidata_label_en,wikidata_label_yi,wikidata_type,resolved_category,other_type,cemetery,burial_city,death_site,settlement,province,country,neighborhood,other,review_flags,needs_review,correction_applied,death_burial_conflict
4-facs_201_tr_1754998574,burial,settlement,נ. י.,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
4-facs_207_tr_1754998369,burial,province,לאָס אַנדזשעלעס,Los Angeles,Q65,province,False,Los Angeles,לאס אנדזשעלעס,"charter city, city in the United States, city, global city, metropolis, megacity, business cluster, big city, LGBT sanctuary city",settlement,,,,,Los Angeles,,,,,province_role_mismatch,True,,False
4-facs_207_tr_1754998369,burial,province,קאַליפֿאָרניע,California,Q99,country,False,California,קאליפארניע,U.S. state,province,,,,,,California,,,,,False,moved_to_province,False
4-facs_249_tr_1754998575,burial,place,בית עולם פֿון יידישן סאָציאַליסטישן פֿאַרבאַנד,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,place_province_mismatch,True,,False
4-facs_249_tr_1754998575,burial,province,ניו-דזשוירזי,New Jersey,Q1408,province,False,New Jersey,ניו זשערסי,U.S. state,province,,,,,,New Jersey,,,,,False,,False
4-facs_264_tr_1754998383,burial,place,פֿילאַדעלפיע,Philadelphia,Q1345,initial,False,Philadelphia,פילאדעלפיע,"city of Pennsylvania, county seat, home rule municipality of Pennsylvania, consolidated city-county",settlement,,,,,Philadelphia,,,,,,False,,False
4-facs_270_tr_1754998435,burial,place,ניו יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
4-facs_274_tr_1754998428,burial,place,בית עולם פֿון די יידישע טעאַטריקל עלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_274_tr_1754998431,burial,place,וואַשינגטאָן בית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
4-facs_278_tr_1754998432,burial,place,בית עולם פון די יידישע טעאַטריקל עלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_279_tr_1754998502,burial,place,הר-חברון בית עולם,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_322_tr_1754998441,burial,place,ניו יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
4-facs_323_tr_1754998450,burial,place,בית עולם פֿון דער מאָגעלניצער סאָסייעט אין ריטשמאַנד,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_342_tr_1754998516,burial,place,בית עולם פון „אַרבייטער רינג‟,Mount Carmel Cemetery,Q4285547,initial,False,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,Mount Carmel Cemetery,,,,,,,,,False,,False
4-facs_351_tr_1754998561,burial,settlement,ניו יאָָרק,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
4-facs_355_tr_1754998462,burial,place,בית עולם פֿון די יידישע טעאַטריקל עלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_381_r,burial,settlement,ניו יאָרק,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
4-facs_447_tr_1755029922,burial,place,תל-אביב,Tel Aviv,Q33935,initial,False,Tel Aviv,תל אביב-יפו,"big city, city council, city",settlement,,,,,Tel Aviv,,,,,,False,,False
4-facs_641_tr_1755030027,burial,place,בית עולם פון די יידישע טעאַטריקל עלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
4-facs_651_tr_1755030219,burial,settlement,נ. י.,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
4-facs_661_tr_1755030261,burial,country,אַמעריקע,United States,Q30,country,False,United States,פאראייניקטע שטאטן פון אמעריקע,"sovereign state, constitutional republic, democratic republic, federal republic, superpower, country, historical unrecognized state",country,,,,,,,United States,,,,False,,False
4-facs_668_tr_1755029974,burial,place,לאָס אַנדזשעלעס,Los Angeles,Q65,initial,False,Los Angeles,לאס אנדזשעלעס,"charter city, city in the United States, city, global city, metropolis, megacity, business cluster, big city, LGBT sanctuary city",settlement,,,,,Los Angeles,,,,,,False,,False
4-facs_672_r_1,burial,place,ניו-יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
1-facs_206_tr_1741260252,burial,place,הר-הכרמל,Mount Carmel Cemetery,Q4285547,initial,False,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,Mount Carmel Cemetery,,,,,,,,,False,,False
1-facs_208_tr_1741260252,burial,place,בית עולם פון די יידישע טעאַטריקל-עליינס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
1-facs_209_tr_1741260252,burial,settlement,ניו יאָרק,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
1-facs_210_tr_1741260180,burial,place,וואַשינגטאָן בית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
1-facs_212_tr_1741260189,burial,place,וואַשינגטאָן סעמעטער,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
1-facs_212_tr_1741260189,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
1-facs_212_tr_1741260189,burial,country,אַמעריקע,United States,Q30,country,False,United States,פאראייניקטע שטאטן פון אמעריקע,"sovereign state, constitutional republic, democratic republic, federal republic, superpower, country, historical unrecognized state",country,,,,,,,United States,,,,False,,False
1-facs_248_tr_1741260287,burial,place,"הר הכרמל פון ""אַרבעטער רינג""",Mount Carmel Cemetery,Q4285547,initial,False,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,Mount Carmel Cemetery,,,,,,,,,False,,False
1-facs_248_tr_1741260287,burial,settlement,ניו יאָרק,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
1-facs_255_tr_1741260322,burial,place,בית עולם פֿון די יידישע טעאַטריקל עליינס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
1-facs_280_r_2,burial,settlement,נ. י.,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
1-facs_283_tr_1741260226,burial,place,בית עולם פֿון דער יידישער טעאָטריקעל-עלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
1-facs_283_tr_1741260239,burial,place,ניו יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
1-facs_294_tr_1741260432,burial,place,וואַשינגטאָן בית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
1-facs_294_tr_1741260438,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
1-facs_298_tr_1741260461,burial,place,וואַרשע,Warsaw,Q270,initial,False,Warsaw,ווארשע,"city with powiat rights in Poland, city, seat of government, big city, tourist destination, largest city, administrative territorial entity, metropolis, national capital",settlement,,,,,Warsaw,,,,,,False,,False
1-facs_304_tr_1741260480,burial,place,בית עולם פֿון די אידישע טעאַטריקל עליינס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
1-facs_311_tr_1741260476,burial,place,הר-הכרמל בית-עולם,Mount Carmel Cemetery,Q4285547,initial,False,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,Mount Carmel Cemetery,,,,,,,,,False,,False
1-facs_319_r_1,burial,place,וואַשיינגטאָן בית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
1-facs_332_tr_1741260395,burial,country,אַמעריקע,United States,Q30,country,False,United States,פאראייניקטע שטאטן פון אמעריקע,"sovereign state, constitutional republic, democratic republic, federal republic, superpower, country, historical unrecognized state",country,,,,,,,United States,,,,False,,False
1-facs_345_r_10,burial,province,פילאַדעלפיע,Philadelphia,Q1345,province,False,Philadelphia,פילאדעלפיע,"city of Pennsylvania, county seat, home rule municipality of Pennsylvania, consolidated city-county",settlement,,,,,Philadelphia,,,,,province_role_mismatch,True,,False
1-facs_361_r_9,burial,place,שיקאָגאָ,Chicago,Q1297,initial,False,Chicago,שיקאגא,"city of Illinois, global city, big city",settlement,,,,,Chicago,,,,,,False,,False
1-facs_363_r_6,burial,place,לעמבערג,Lviv,Q36036,initial,False,Lviv,לעמבערג,"city in Ukraine, Magdeburg rights",settlement,,,,,Lviv,,,,,,False,,False
1-facs_395_r_6,burial,place,קאָנסטאַנטינאָפּאָל,Istanbul,Q406,initial,False,Istanbul,סטאמבול,"metropolitan municipality in Turkey, former capital, megacity, largest city, port city, big city, ancient city",settlement,,,,,Istanbul,,,,,,False,,False
1-facs_407_tr_1739715069,burial,place,ניו יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
1-facs_19_r_6,burial,place,וואַשינגטאָן בית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
1-facs_21_tr_1740515222,burial,place,הר-חברון בית עולם,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
1-facs_21_tr_1740515222,burial,settlement,ניו יאָרק,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
1-facs_23_r,burial,place,הר-הכרמל,Mount Carmel Cemetery,Q4285547,initial,False,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,Mount Carmel Cemetery,,,,,,,,,False,,False
1-facs_23_r,burial,settlement,ניו-יאָרק,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
1-facs_31_r,burial,place,ווין,Vienna,Q1741,initial,False,Vienna,וויען,"federal capital, statutory city of Austria, federal state of Austria, metropolis, enclave, city-state, municipality of Austria, largest city, district of Austria, place with town rights and privileges",neighborhood,,,,,,,,Vienna,,,False,,False
1-facs_40_tr_1740521035,burial,place,הר-חברון,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
1-facs_43_tr_1740520992,burial,place,לאָדזש,Łódź,Q580,initial,False,Łódź,לאדזש,"big city, city with powiat rights in Poland, city",settlement,,,,,Łódź,,,,,,False,,False
1-facs_52_tr_1740521031,burial,place,וואַרשע,Warsaw,Q270,initial,False,Warsaw,ווארשע,"city with powiat rights in Poland, city, seat of government, big city, tourist destination, largest city, administrative territorial entity, metropolis, national capital",settlement,,,,,Warsaw,,,,,,False,,False
1-facs_57_tr_1740521103,burial,settlement,ניו יאָרק,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
1-facs_62_tr_1740520958,burial,place,"בית עולם פון ""אַרבעטער-רינג""",Mount Carmel Cemetery,Q4285547,initial,False,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,Mount Carmel Cemetery,,,,,,,,,False,,False
1-facs_62_tr_1740520958,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
1-facs_78_tr_1740521048,burial,place,ניו-יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
1-facs_79_tr_1740520939,burial,place,הר-הכרמל בית עולם,Mount Carmel Cemetery,Q4285547,initial,False,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,Mount Carmel Cemetery,,,,,,,,,False,,False
1-facs_90_tr_1740521094,burial,place,וואַשינגטאָן-בית עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
1-facs_90_tr_1740521094,burial,province,ניו-יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
1-facs_90_tr_1740521094,burial,country,אָמעריקע,United States,Q30,country,False,United States,פאראייניקטע שטאטן פון אמעריקע,"sovereign state, constitutional republic, democratic republic, federal republic, superpower, country, historical unrecognized state",country,,,,,,,United States,,,,False,,False
1-facs_93_tr_1740521079,burial,place,בית-החיים פון דער יידישער טעאַטריקל עליינס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,place_province_mismatch,True,,False
1-facs_93_tr_1740521079,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
1-facs_101_r_4,burial,settlement,ניו יאָרק,New York,Q60,settlement,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,state_to_city_manual,False
1-facs_119_tr_1740521143,burial,place,וואַרשע,Warsaw,Q270,initial,False,Warsaw,ווארשע,"city with powiat rights in Poland, city, seat of government, big city, tourist destination, largest city, administrative territorial entity, metropolis, national capital",settlement,,,,,Warsaw,,,,,,False,,False
1-facs_123_tr_1740520960,burial,place,בוענאָס איירעס,Buenos Aires,Q1486,initial,False,Buenos Aires,בוענאס איירעס,"city of Argentina, electoral unit, federal district, first-level administrative division, autonomous city, million city, administrative territorial entity, national capital, federal capital, primate city, largest city",settlement,,,,,Buenos Aires,,,,,,False,,False
1-facs_127_tr_1740521137,burial,place,בראָד,Brody,Q465104,initial,False,Brody,בראָד,city in Ukraine,settlement,,,,,Brody,,,,,,False,,False
1-facs_134_tr_1740520965,burial,place,בוקאַרעסט,Bucharest,Q19660,initial,False,Bucharest,בוקארעשט,"municipality of Romania, first-level administrative division, big city, college town, largest city",settlement,,,,,Bucharest,,,,,,False,,False
1-facs_150_tr_1740521115,burial,place,ניו יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
1-facs_180_region_1715801037095_458,burial,place,וואַשינגטאָן בית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
1-facs_180_region_1715801037095_458,burial,province,ניו-יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
1-facs_201_tr_1741260321,burial,place,באַראָן הירש בית עולם,Baron Hirsch Cemetery,Q4862481,initial,False,Baron Hirsch Cemetery,,Jewish cemetery,cemetery,,Baron Hirsch Cemetery,,,,,,,,,False,,False
1-facs_201_tr_1741260321,burial,province,ניו יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
1-facs_202_tr_1741260239,burial,place,וואַשינגטאָן בית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
2-facs_9_tr_1743943368,burial,place,הר-חברון,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
2-facs_31_tr_1744131345,burial,place,וואַשינגטאָן בית עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
2-facs_32_tr_1744131393,burial,place,ניו-יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
2-facs_36_tr_1744131432,burial,place,ביתעולם פֿון די יידישע טעאַטריקל עלייענס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
2-facs_112_tr_1744279063,burial,place,אַראָד,Arad,Q173591,initial,False,Arad,,"municipality of Romania, capital of county in Romania, big city",settlement,,,,,Arad,,,,,,False,,False
2-facs_115_tr_1744279181,burial,place,בית-עולם פֿון די יידישע טעאַטריקל-עליינס,Mount Hebron Cemetery,Q2341172,initial,False,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,,Mount Hebron Cemetery,,,,,,,,,False,,False
2-facs_129_tr_1744279170,burial,place,ניו-יאָרק,New York City,Q60,initial,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,,False,,False
2-facs_135_tr_1744279191,burial,place,ווין,Vienna,Q1741,initial,False,Vienna,וויען,"federal capital, statutory city of Austria, federal state of Austria, metropolis, enclave, city-state, municipality of Austria, largest city, district of Austria, place with town rights and privileges",neighborhood,,,,,,,,Vienna,,,False,,False
2-facs_157_tr_1744279097,burial,place,ווילנע,Vilnius,Q216,initial,False,Vilnius,ווילנע,"city, big city",settlement,,,,,Vilnius,,,,,,False,,False
2-facs_162_tr_1744279209,burial,place,וואַשינגטאָן-בית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
2-facs_162_tr_1744279209,burial,province,ניו-יאָרק,New York City,Q60,province,False,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,,,,,New York City,,,,,province_role_mismatch,True,,False
2-facs_179_tr_1744279074,burial,place,מאָסקווע,Moscow,Q649,initial,False,Moscow,מאסקווע,"capital of Russia, federal city of Russia, big city, megacity, largest city, largest city, largest city, largest city, city or town, federal subject of Russia, federal capital, human settlement, city/town in Russia",settlement,,,,,Moscow,,,,,,False,,False
2-facs_198_r_4,burial,place,וואַשינגטאָן-בּית-עולם,Washington Cemetery,Q7971720,initial,False,Washington Cemetery,,Jewish cemetery,cemetery,,Washington Cemetery,,,,,,,,,False,,False
