UID	HebName	EngClean	orig_status	orig_grade	engine_pick_id	resolved_kima_id	resolved_rom	dist_km	method	verdict	Latitude	Longitude	Sourcing	KaganID	JGenID	USBGN	YS_id	candidates
AR-00011	מאזעס-וויללע	Moisés Ville	name_exact	A_autolink	15757	15757	Moisés Ville (Argentina)	1.3	exact_geoverified	KEEP	-30.7143054	-61.469815	DivM					15757
AR-00011	מאזעסווילע	Moisés Ville	name_exact	A_autolink	15757	15757	Moisés Ville (Argentina)	1.3	exact_geoverified	KEEP	-30.7143054	-61.469815						15757
AR-00011	מאזעסוילע	Moisés Ville	name_exact	A_autolink	15757	15757	Moisés Ville (Argentina)	1.3	exact_geoverified	KEEP	-30.7143054	-61.469815	Prenum 74					15757
AR-00011	קרית משה	Moisés Ville	name_exact	B_review	15757	15757	Moisés Ville (Argentina)	1.3	exact_geoverified	KEEP	-30.7143054	-61.469815	RAYK					21098|21850|15757
AR-00012	פלאטא	Rio de la Plata	name_exact	B_review	9397	9397	Río de la Plata (Viceroyalty)	34.7	exact_geoverified	KEEP	-35.1944557	-56.741207	DivM					2051|9397
AR-00013	קארדובא	Córdoba	name_exact	B_review	8766	8766	Córdoba (Argentina)	0.0	exact_geoverified	KEEP	-31.416667	-64.183333	Prenum 2325					7244|8174|8766|10948
AR-00014	קילמעס	Quilmes	name_exact	A_autolink	12308	12308	Quilmes (Argentina)	0.0	exact_geoverified	KEEP	-34.716667	-58.266667	Prenum 2325					12308
AR-00015	רוזאריא	Rosaria	fuzzy	C_review		17410	Rosario (Santa Fe, Argentina)	0.0	coord_rearbitrated	KEEP	-32.9575	-60.639444	Prenum 2325					17410|87669|1125|88615|7537
AT-00000	אושטרייך	Austria	name_exact	A_autolink	7645	7645	Austria	67.7	exact_geoverified	KEEP	47.516231	14.550072	15thCAshkenaz		760	-1974447		7645
AT-00000	אושטריך	Austria	name_exact	A_autolink	7645	7645	Austria	67.7	exact_geoverified	KEEP	47.516231	14.550072	15thCAshkenaz		760	-1974447		7645
AT-00000	ארץ הדמים	Austria	name_exact	A_autolink	7645	7645	Austria	67.7	exact_geoverified	KEEP	47.516231	14.550072	15thCAshkenaz		760	-1974447		7645
AT-00000	מדינת בני חת	Austria	name_exact	A_autolink	7645	7645	Austria	67.7	exact_geoverified	KEEP	47.516231	14.550072	15thCAshkenaz		760	-1974447		7645
AT-00000	עסטרייך	Austria	name_exact	A_autolink	7645	7645	Austria	67.7	exact_geoverified	KEEP	47.516231	14.550072	JGen		760	-1974447		7645
AT-00001	ווידען	Vienna	name_exact	A_autolink	945	945	Vienna (Austria)	0.1	exact_geoverified	KEEP	48.2081743	16.3738189		2827	167	-1995499		945
AT-00001	וויין	Vienna	name_exact	B_review	12896	12896	Wayne (N.J.)	6798.3	exact_geoverified	REJECT	48.2081743	16.3738189	חיים וחסד א	2827	167	-1995499		12896
AT-00001	ווין	Vienna	name_exact	A_autolink	945	945	Vienna (Austria)	0.1	exact_geoverified	KEEP	48.2081743	16.3738189		2827	167	-1995499		945
AT-00001	ווינא	Vienna	name_exact	A_autolink	945	945	Vienna (Austria)	0.1	exact_geoverified	KEEP	48.2081743	16.3738189		2827	167	-1995499		945
AT-00001	וויעדן	Vienna	fuzzy	C_review		945	Vienna (Austria)	0.1	coord_rearbitrated	KEEP	48.2081743	16.3738189		2827	167	-1995499		945|9928|11240|87176|89588
AT-00001	וויעדען	Vienna	fuzzy	C_review		945	Vienna (Austria)	0.1	coord_rearbitrated	KEEP	48.2081743	16.3738189		2827	167	-1995499		945|9928|11240|87176|89588
AT-00001	וויעהן	Vienna	fuzzy	C_review		945	Vienna (Austria)	0.1	coord_rearbitrated	KEEP	48.2081743	16.3738189	RSK	2827	167	-1995499		945|9928|11240|87176|89588
AT-00001	וויען	Vienna	name_exact	A_autolink	945	945	Vienna (Austria)	0.1	exact_geoverified	KEEP	48.2081743	16.3738189		2827	167	-1995499		945
AT-00001	וין	Vienna	name_exact	A_autolink	945	945	Vienna (Austria)	0.1	exact_geoverified	KEEP	48.2081743	16.3738189	Prenum 878	2827	167	-1995499		945
AT-00001	וינה	Vienna	name_exact	A_autolink	945	945	Vienna (Austria)	0.1	exact_geoverified	KEEP	48.2081743	16.3738189	Dor4	2827	167	-1995499		945
AT-00001	ויען	Vienna	name_exact	A_autolink	945	945	Vienna (Austria)	0.1	exact_geoverified	KEEP	48.2081743	16.3738189	SS	2827	167	-1995499		945
AT-00001	עיר הדמים	Vienna	fuzzy	C_review		945	Vienna (Austria)	0.1	coord_rearbitrated	KEEP	48.2081743	16.3738189	15thCAshkenaz	2827	167	-1995499		945|9928|11240|87176|89588
AT-00011	באדן	Baden bei Wien	name_exact	B_review	7918	7918	Baden (Austria)	0.7	exact_geoverified	KEEP	48.00214	16.23091	Kagan	845	2506	-1974493		7918|14743
AT-00011	באדן ביי ווין	Baden bei Wien	name_exact	A_autolink	7918	7918	Baden (Austria)	0.7	exact_geoverified	KEEP	48.00214	16.23091	Kagan	845	2506	-1974493		7918
AT-00011	באדען	Baden bei Wien	name_exact	A_autolink	7918	7918	Baden (Austria)	0.7	exact_geoverified	KEEP	48.00214	16.23091		845	2506	-1974493		7918
AT-00012	ציילעם	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	JGen	7005	2512	-1975556		18516
AT-00012	צילם	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	NBY	7005	2512	-1975556		18516
AT-00012	צלים	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	Kagan	7005	2512	-1975556		18516
AT-00012	צלם	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	JGen	7005	2512	-1975556		18516
AT-00012	צע לעם	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	Kagan	7005	2512	-1975556		18516
AT-00012	צעהלים	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423		7005	2512	-1975556		18516
AT-00012	צעהלם	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	Kagan	7005	2512	-1975556		18516
AT-00012	צעהלעם	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	JGen	7005	2512	-1975556		18516
AT-00012	צעלים	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	Kagan	7005	2512	-1975556		18516
AT-00012	צעלם	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	NBY	7005	2512	-1975556		18516
AT-00012	צעלעם	Deutschkreutz	name_exact	A_autolink	18516	18516	Deutschkreutz (Austria)	0.3	exact_geoverified	KEEP	47.6016309	16.6234423	JGen	7005	2512	-1975556		18516
AT-00013	"א""ש"	Eisenstadt	fuzzy	C_review		654	Eisenstadt (Austria)	0.4	coord_rearbitrated	KEEP	47.84637	16.52796		309	2504	-1976400		654|14806|3433
AT-00013	אייזינשטאט	Eisenstadt	fuzzy	C_review		654	Eisenstadt (Austria)	0.4	coord_rearbitrated	KEEP	47.84637	16.52796	Kagan	309	2504	-1976400		654|3433
AT-00013	אייזנשטאט	Eisenstadt	fuzzy	C_review		654	Eisenstadt (Austria)	0.4	coord_rearbitrated	KEEP	47.84637	16.52796		309	2504	-1976400		654|3433
AT-00013	אייזענשטאדט	Eisenstadt	name_exact	A_autolink	654	654	Eisenstadt (Austria)	0.4	exact_geoverified	KEEP	47.84637	16.52796	BZ	309	2504	-1976400		654
AT-00013	אייזענשטאט	Eisenstadt	fuzzy	C_review		654	Eisenstadt (Austria)	0.4	coord_rearbitrated	KEEP	47.84637	16.52796	NBY	309	2504	-1976400		654|3433
AT-00014	"פ""ק"	Frauenkirchen	name_exact	A_autolink	20277	20277	Frauenkirchen (Austria)	0.8	exact_geoverified	KEEP	47.8357583	16.9261022		6928	2510	-1977276		20277
AT-00014	פרויא קירכען	Frauenkirchen	name_exact	A_autolink	20277	20277	Frauenkirchen (Austria)	0.8	exact_geoverified	KEEP	47.8357583	16.9261022	Added to Kagan	6928	2510	-1977276		20277
AT-00014	פרויענקירכן	Frauenkirchen	name_exact	A_autolink	20277	20277	Frauenkirchen (Austria)	0.8	exact_geoverified	KEEP	47.8357583	16.9261022	LM/SS	6928	2510	-1977276		20277
AT-00014	פרויענקירכען	Frauenkirchen	name_exact	A_autolink	20277	20277	Frauenkirchen (Austria)	0.8	exact_geoverified	KEEP	47.8357583	16.9261022	LM/SS	6928	2510	-1977276		20277
AT-00014	פרויקירכען	Frauenkirchen	name_exact	A_autolink	20277	20277	Frauenkirchen (Austria)	0.8	exact_geoverified	KEEP	47.8357583	16.9261022	Prenum 1027	6928	2510	-1977276		20277
AT-00014	פרונקירכן	Frauenkirchen	name_exact	A_autolink	20277	20277	Frauenkirchen (Austria)	0.8	exact_geoverified	KEEP	47.8357583	16.9261022	LM/SS	6928	2510	-1977276		20277
AT-00015	גיסונג	Güssing	name_exact	A_autolink	17715	17715	Güssing (Austria)	0.1	exact_geoverified	KEEP	47.05932	16.32449		1682	2515	-1979410		17715
AT-00015	גיסינג	Güssing	name_exact	B_review	17715	17715	Güssing (Austria)	1.1	exact_geoverified	KEEP	47.0666666666667	16.3333333333333	JGen	1682	2515	-1979410		13020|17715
AT-00016	קוצע	Kittsee	name_exact	A_autolink	22424	22424	Kittsee (Austria)	3.0	exact_geoverified	KEEP	48.0927458	17.0587371	Kagan	7538	2526	-1982332		22424
AT-00016	קיטטזעע	Kittsee	name_exact	A_autolink	22424	22424	Kittsee (Austria)	3.0	exact_geoverified	KEEP	48.0927458	17.0587371	Kagan	7538	2526	-1982332		22424
AT-00016	קיטצע	Kittsee	name_exact	A_autolink	22424	22424	Kittsee (Austria)	3.0	exact_geoverified	KEEP	48.0927458	17.0587371		7538	2526	-1982332		22424
AT-00016	קיצע	Kittsee	name_exact	A_autolink	22424	22424	Kittsee (Austria)	3.0	exact_geoverified	KEEP	48.0927458	17.0587371		7538	2526	-1982332		22424
AT-00017	"ק""ד"	Kobersdorf	name_exact	A_autolink	22440	22440	Kobersdorf (Austria)	0.1	exact_geoverified	KEEP	47.5960798	16.3909779		7036	2511	-1982820		22440
AT-00017	קאבירשדורף	Kobersdorf	name_exact	A_autolink	22440	22440	Kobersdorf (Austria)	0.1	exact_geoverified	KEEP	47.5960798	16.3909779	NBY	7036	2511	-1982820		22440
AT-00017	קאבעלסדארף	Kobersdorf	name_exact	A_autolink	22440	22440	Kobersdorf (Austria)	0.1	exact_geoverified	KEEP	47.5960798	16.3909779	Kagan	7036	2511	-1982820		22440
AT-00017	קאבעסדארף	Kobersdorf	name_exact	A_autolink	22440	22440	Kobersdorf (Austria)	0.1	exact_geoverified	KEEP	47.5960798	16.3909779	Prenum 1027	7036	2511	-1982820		22440
AT-00017	קאבערסדארף	Kobersdorf	name_exact	A_autolink	22440	22440	Kobersdorf (Austria)	0.1	exact_geoverified	KEEP	47.5960798	16.3909779		7036	2511	-1982820		22440
AT-00017	"קב""ד"	Kobersdorf	name_exact	A_autolink	22440	22440	Kobersdorf (Austria)	0.1	exact_geoverified	KEEP	47.5960798	16.3909779		7036	2511	-1982820		22440
AT-00017	"קו""ד"	Kobersdorf	name_exact	A_autolink	22440	22440	Kobersdorf (Austria)	0.1	exact_geoverified	KEEP	47.5960798	16.3909779		7036	2511	-1982820		22440
AT-00017	קובלסדארף	Kobersdorf	name_exact	A_autolink	22440	22440	Kobersdorf (Austria)	0.1	exact_geoverified	KEEP	47.5960798	16.3909779	Kagan	7036	2511	-1982820		22440
AT-00018	"ל""ב"	Lackenbach	name_exact	A_autolink	20680	20680	Lackenbach (Austria)	0.4	exact_geoverified	KEEP	47.592281	16.4656786		4292	2503	-1983521		20680
AT-00018	לאקינבאך	Lackenbach	name_exact	A_autolink	20680	20680	Lackenbach (Austria)	0.4	exact_geoverified	KEEP	47.592281	16.4656786		4292	2503	-1983521		20680
AT-00018	לאקנבאך	Lackenbach	name_exact	A_autolink	20680	20680	Lackenbach (Austria)	0.4	exact_geoverified	KEEP	47.592281	16.4656786	Kagan	4292	2503	-1983521		20680
AT-00018	לאקענבאך	Lackenbach	name_exact	A_autolink	20680	20680	Lackenbach (Austria)	0.4	exact_geoverified	KEEP	47.592281	16.4656786		4292	2503	-1983521		20680
AT-00018	לאקענבוך	Lackenbach	name_exact	A_autolink	20680	20680	Lackenbach (Austria)	0.4	exact_geoverified	KEEP	47.592281	16.4656786		4292	2503	-1983521		20680
AT-00018	לאקענבך	Lackenbach	name_exact	A_autolink	20680	20680	Lackenbach (Austria)	0.7	exact_geoverified	KEEP	47.5833333333333	16.4666666666666	JGen	4292	2503	-1983521		20680
AT-00018	לאקענפאק	Lackenbach	name_exact	A_autolink	20680	20680	Lackenbach (Austria)	0.4	exact_geoverified	KEEP	47.592281	16.4656786	Kagan	4292	2503	-1983521		20680
AT-00018	"לק""ב"	Lackenbach	name_exact	A_autolink	20680	20680	Lackenbach (Austria)	0.4	exact_geoverified	KEEP	47.592281	16.4656786		4292	2503	-1983521		20680
AT-00019	"מ""ד"	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663		4640	2505	-1984916		15413
AT-00019	מאדרסדארף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663	Kagan	4640	2505	-1984916		15413
AT-00019	מאטטערסדארף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663	Kagan	4640	2505	-1984916		15413
AT-00019	מאטיסדארף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663		4640	2505	-1984916		15413
AT-00019	מאטסדארף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663	Kagan	4640	2505	-1984916		15413
AT-00019	מאטעסבורג	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663	Kagan	4640	2505	-1984916		15413
AT-00019	מאטעסדארף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663		4640	2505	-1984916		15413
AT-00019	מאטערסדארף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663		4640	2505	-1984916		15413
AT-00019	מאטערסדרף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663		4640	2505	-1984916		15413
AT-00019	מאטרסדארף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663		4640	2505	-1984916		15413
AT-00019	מאטרשדארף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663	Hatam Sofer	4640	2505	-1984916		15413
AT-00019	מאטרשטורף	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663	Hatam Sofer	4640	2505	-1984916		15413
AT-00019	מוטערסדארף	Mattersburg	name_exact	B_review	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663	Kagan	4640	2505	-1984916		22285|15413
AT-00019	"מט""ד"	Mattersburg	name_exact	A_autolink	15413	15413	Mattersburg (Austria)	0.2	exact_geoverified	KEEP	47.73625	16.39663		4640	2505	-1984916		15413
AT-00020	אבערדארעף	Oberdorf im Burgenland	fuzzy	C_review		85239	Ollersdorf im Burgenland (Austria)	7.0	coord_rearbitrated	KEEP	47.2189417	16.2185759						23548|86418|85239
AT-00020	אבערדארף	Oberdorf im Burgenland	fuzzy	C_review		85239	Ollersdorf im Burgenland (Austria)	7.0	coord_rearbitrated	KEEP	47.2189417	16.2185759						23548|86418|85239
AT-00021	רעכניטץ	Rechnitz	name_exact	A_autolink	18925	18925	Rechnitz (Austria)	0.3	exact_geoverified	KEEP	47.3047435	16.4406798		8290	2513	-1988972		18925
AT-00021	רעכניץ	Rechnitz	name_exact	A_autolink	18925	18925	Rechnitz (Austria)	0.3	exact_geoverified	KEEP	47.3047435	16.4406798		8290	2513	-1988972		18925
AT-00022	"ש""ד"	Schattendorf	fuzzy	C_review		27129	Gattendorf (Austria)	48.2	coord_rearbitrated	KEEP	47.7104914	16.5095478						27129
AT-00022	שאטלסדארף	Schattendorf	fuzzy	C_review		27129	Gattendorf (Austria)	48.2	coord_rearbitrated	KEEP	47.7104914	16.5095478						27129
AT-00022	שאטעלסדארף	Schattendorf	fuzzy	C_review		27129	Gattendorf (Austria)	48.2	coord_rearbitrated	KEEP	47.7104914	16.5095478						27129
AT-00022	שוטלסדארף	Schattendorf	fuzzy	C_review		27129	Gattendorf (Austria)	48.2	coord_rearbitrated	KEEP	47.7104914	16.5095478						27129
AT-00023	שלייניג	Stadtschlaining	name_exact	A_autolink	19239	19239	Stadtschlaining (Austria)	0.0	exact_geoverified	KEEP	47.3225222	16.2742497			2519	-1992116		19239
AT-00023	שליינינג	Stadtschlaining	name_exact	A_autolink	19239	19239	Stadtschlaining (Austria)	0.0	exact_geoverified	KEEP	47.3225222	16.2742497			2519	-1992116		19239
AT-00023	שליינק	Stadtschlaining	name_exact	A_autolink	19239	19239	Stadtschlaining (Austria)	0.0	exact_geoverified	KEEP	47.3225222	16.2742497	JGen-Phonetic		2519	-1992116		19239
AT-00025	קרימזא	Krems an der Donau	name_exact	A_autolink	8364	8364	Krems an der Donau (Austria)	1.2	exact_geoverified	KEEP	48.40999	15.60384	15thCAshkenaz		3807	-1983146		8364
AT-00025	קרימש	Krems an der Donau	name_exact	A_autolink	8364	8364	Krems an der Donau (Austria)	1.2	exact_geoverified	KEEP	48.40999	15.60384	15thCAshkenaz		3807	-1983146		8364
AT-00025	קרמש	Krems an der Donau	name_exact	A_autolink	8364	8364	Krems an der Donau (Austria)	1.2	exact_geoverified	KEEP	48.40999	15.60384	15thCAshkenaz		3807	-1983146		8364
AT-00025	קרעמז	Krems an der Donau	name_exact	A_autolink	8364	8364	Krems an der Donau (Austria)	1.2	exact_geoverified	KEEP	48.40999	15.60384			3807	-1983146		8364
AT-00026	האהענעמס	Hohenems	name_exact	A_autolink	9550	9550	Hohenems (Austria)	1.6	exact_geoverified	KEEP	47.3608313	9.6867191	Kagan	2235	2508	-1980909		9550
AT-00026	האכנעמס	Hohenems	name_exact	A_autolink	9550	9550	Hohenems (Austria)	1.6	exact_geoverified	KEEP	47.3608313	9.6867191	Prenum 1593	2235	2508	-1980909		9550
AT-00026	הויכע עמס	Hohenems	name_exact	A_autolink	9550	9550	Hohenems (Austria)	1.6	exact_geoverified	KEEP	47.3608313	9.6867191	Kagan	2235	2508	-1980909		9550
AT-00026	הוכין עמס	Hohenems	name_exact	A_autolink	9550	9550	Hohenems (Austria)	1.6	exact_geoverified	KEEP	47.3608313	9.6867191	NBY	2235	2508	-1980909		9550
AT-00026	הוכינעמס	Hohenems	name_exact	A_autolink	9550	9550	Hohenems (Austria)	1.6	exact_geoverified	KEEP	47.3608313	9.6867191	Prenum 1693	2235	2508	-1980909		9550
AT-00027	אצענבורג	Atzenbrugg	fuzzy	C_review		746	Osnabrück (Germany)	712.6	coord_rearbitrated	REJECT	48.2912006	15.9057591	MASZ					15940|746|12445
AT-00027	אצענברוק	Atzenbrugg	fuzzy	C_review		746	Osnabrück (Germany)	712.6	coord_rearbitrated	REJECT	48.2912006	15.9057591	MASZ					746
AT-00028	מרחץ וועסלוי	Bad Vöslau	no_match	C_review					none	NO_CANDIDATE	47.9648168	16.213837	LM/SS					
AT-00031	וינר-נוישטט	Wiener-Neustadt	fuzzy	C_review		8778	Wiener Neustadt (Austria)	2.0	coord_rearbitrated	KEEP	47.8027899999999	16.23318	15thCAshkenaz		2524	-1995515		8778
AT-00031	נאוישטט	Wiener-Neustadt	fuzzy	C_review		8778	Wiener Neustadt (Austria)	2.0	coord_rearbitrated	KEEP	47.8027899999999	16.23318	15thCAshkenaz		2524	-1995515		8778
AT-00031	נוישטט	Wiener-Neustadt	name_exact	B_review	8778	8778	Wiener Neustadt (Austria)	2.0	exact_geoverified	KEEP	47.8027899999999	16.23318	15thCAshkenaz		2524	-1995515		8778|15525
AT-00031	ניאושטט	Wiener-Neustadt	name_exact	A_autolink	8778	8778	Wiener Neustadt (Austria)	2.0	exact_geoverified	KEEP	47.8027899999999	16.23318	15thCAshkenaz		2524	-1995515		8778
AT-00031	"ענ""ש"	Wiener Neustadt	name_exact	A_autolink	8778	8778	Wiener Neustadt (Austria)	2.0	exact_geoverified	KEEP	47.8027899999999	16.23318	15thCAshkenaz		2524	-1995515	Y	8778
AT-00031	"עני""ש"	Wiener Neustadt	name_exact	A_autolink	8778	8778	Wiener Neustadt (Austria)	2.0	exact_geoverified	KEEP	47.8027899999999	16.23318	15thCAshkenaz		2524	-1995515	Y	8778
AT-00032	גראץ	Graz	name_exact	A_autolink	7900	7900	Graz (Austria)	0.1	exact_geoverified	KEEP	47.070714	15.439504	Kagan	1801	2501	-1978544		7900
AT-00032	גרעץ	Graz	name_exact	A_autolink	7900	7900	Graz (Austria)	0.1	exact_geoverified	KEEP	47.070714	15.439504	15thCAshkenaz	1801	2501	-1978544		7900
AT-00033	מאדלינג	Mödling	name_exact	A_autolink	9467	9467	Mödling (Austria)	0.4	exact_geoverified	KEEP	48.08255	16.2869	SS	4981	3810	-1985403		9467
AT-00033	מיידלינג	Mödling	name_exact	A_autolink	9467	9467	Mödling (Austria)	0.4	exact_geoverified	KEEP	48.08255	16.2869	15thCAshkenaz	4981	3810	-1985403		9467
AT-00033	מעדלינג	Mödling	name_exact	A_autolink	9467	9467	Mödling (Austria)	0.4	exact_geoverified	KEEP	48.08255	16.2869	Kagan	4981	3810	-1985403		9467
AT-00033	מרחץ מיידלינג	Mödling	name_exact	A_autolink	9467	9467	Mödling (Austria)	0.4	exact_geoverified	KEEP	48.08255	16.2869	KS	4981	3810	-1985403		9467
AT-00034	זלצבורג	Salzburg	name_exact	B_review	8921	8921	Salzburg (Austria)	1.3	exact_geoverified	KEEP	47.80949	13.05501	15thCAshkenaz		2509	-1989985		8189|8921|12705
AT-00034	זלצפורק	Salzburg	name_exact	B_review	8921	8921	Salzburg (Austria)	1.3	exact_geoverified	KEEP	47.80949	13.05501	15thCAshkenaz		2509	-1989985		8189|8921|12705
AT-00035	שטיירמרק	Styria	name_exact	A_autolink	6993	6993	Styria (Austria)	53.9	exact_geoverified	KEEP	47.3593442	14.4699827	15thCAshkenaz					6993
AT-00036	אויברשיטץ	Oberschützen	no_match	C_review					none	NO_CANDIDATE	47.34988	16.20697	Prenum - Zemirot Yisrael 1791					
AT-00038	בורגנלאנד	Burgenland (Region)	fuzzy	C_review		7463	Burgenland (Austria)	0.0	coord_rearbitrated	KEEP	47.5	16.4166666666667	JGen		975	-1975383		7463
AT-00039		Linz	name_exact	A_autolink	20246	20246	Linz am Rhein (Germany)	566.3	exact_geoverified	REJECT	48.3	14.3	JGen		2502	-1984321		20246
AT-00041		Innsbruck	name_exact	A_autolink	7771	7771	Innsbruck (Austria)	0.5	exact_geoverified	KEEP	47.2666666666667	11.4	JGen		2507	-1981445		7771
AT-00042		Sankt Pölten	name_exact	A_autolink	8321	8321	Sankt Pölten (Austria)	1.2	exact_geoverified	KEEP	48.2	15.6333333333333	JGen		2514	-1990381		8321
AT-00043		Steyr	name_exact	A_autolink	8268	8268	Steyr (Austria)	0.0	exact_geoverified	KEEP	48.05	14.4166666666666	JGen		2516	-1992480		8268
AT-00044		Rust	fuzzy	C_review		81403	Rust (Burgenland, Austria)	0.7	coord_rearbitrated	KEEP	47.8	16.6666666666667	JGen		2517	-1989867		81403|76289|70270|9719|7263
AT-00045		Klosterneuburg	name_exact	A_autolink	8839	8839	Klosterneuburg (Austria)	0.5	exact_geoverified	KEEP	48.3	16.3166666666667	JGen		2518	-1982773		8839
