person_id	heading	subject	seq	place	place_kind	org	role	verb	date_start	date_end	certainty	t_start	t_end	t_inferred	res_status	qid	label_en	lat	lon	events	evidence
P-1-facs_17_tr_1713546856	אַבּדול	entry	1	סטאַמבול	settlement	ליבהאָבער	performer	born			none	1900	1900	True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""performance"", ""play"": """", ""venue"": ""קאַבאַרעטן"", ""date"": """", ""description"": ""played Yiddish theater and sang Turkish and Yiddish songs""}]"	"געב. אין סטאַמבול (?), זאָל דאָרט האָבן געשפּילט יידיש טעאַטער מיט ""ליבהאָבער“"
P-1-facs_17_tr_1713546856	אַבּדול	entry	2	קאַווקאַז	region			stay	1900		explicit	1900	1900	False	region	קאווקאז	Caucasus	43.0	44.0	[]	אין 1900 געקומען אין קאַווקאַז
P-1-facs_17_tr_1713546856	אַבּדול	entry	3	רוסלאַנד	country	קאַמפּאַנעיעץן	קאָמיקער	tour			none	1900	1900	True	region	רוסלאנד	Russia	55.75	37.62	"[{""event_type"": ""business"", ""play"": """", ""venue"": """", ""date"": """", ""description"": ""worked as a professional artistic carpenter from time to time""}]"	איז ער אַרומגעפאָרן מיט קאַמפּאַנעיעץן און שפּעטער מיט אַנדערע טרופּעס. געשפּילט קאָמיקער-ראָלן
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	1	יאָסי, רומעניע	settlement			born	1855-03-15		explicit	1855	1855	False	settlement	Q46852	Iași	47.162222	27.588889	[]	געב. 15 מערץ 1855 אין יאָסי, רומעניע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	2	יאָסי, רומעניע	settlement	דייטשער אָפּערעטע	כאָריסט	stay	1869		explicit	1869	1869	False	settlement	Q46852	Iași	47.162222	27.588889	"[{""event_type"": ""debut"", ""play"": """", ""venue"": """", ""date"": ""1869"", ""description"": ""Entered as a chorister in a German operetta""}]"	טרעט אין 1869 אַריין אַלס כאָריסט אין אַ דייטשער אָפּערעטע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	3	רומעניע	country	דייטשע, רומענישע און גריכישע טרופּעס	performer	stay	1869	1873	explicit	1869	1873	False	region	רומעניע	Romania	45.94	24.97	[]	אין פֿאַרלויף פֿון די יאָרן 18691873 איז ער באַטייליקט אין דייטשע, רומענישע און גריכישע טרופּעס
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	4	וויין-קעלערס	venue_only		performer	stay	1873		explicit	1873	1873	False	unresolved					[]	אין 1873 הויבט ער אָן שפּילן און זינגען יידיש אין די וויין-קעלערס
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	5	קאָנסטאַנטינאָפּאָל	settlement		director	stay	1875		explicit	1875	1875	False	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""performance"", ""play"": ""יוסף מיט די ברידער"", ""venue"": """", ""date"": """", ""description"": ""Staged a biblical operetta for four weeks""}]"	"אין 1875 געפֿינט ער זיך אין קאָנסטאַנטינאָפּאָל און — ווי ער גיט איבער— פֿירט ער אויף דאָרט אויף יידיש אַ ביבלישע אָפּערעטע ""יוסף מיט די ברידער“"
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	6	טערקיי און רומעניע	region		performer	tour			none	1875	1888	True	region_first_of_list	טערקיי	Turkey	39.9	32.85	[]	פֿאָרט ג. אַרום מיטן דאָזיקן שפּיל איבער טערקיי און רומעניע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	7	יאָסי	settlement		performer	stay			none	1875	1888	True	settlement	Q46852	Iași	47.162222	27.588889	[]	ביז ער קומט אין יאָסי
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	8	פּראָווינץ	region	ערשטע יידישע וואָנדערטרופּע	director	tour			none	1875	1888	True	unresolved					"[{""event_type"": ""founding"", ""play"": ""די באָבע מיטן אייניקעל"", ""venue"": """", ""date"": """", ""description"": ""Founded the first Yiddish wandering troupe""}]"	לאָזט זיך ג. אַרויס מיט דער דאָזיקער פּיעסע איבער דער פּראָווינץ, גרינדנדיק אַזוי אַרום די ערשטע יידישע וואָנדערטרופּע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	9	רומעניע און גאַליציע	region		performer	tour			none	1875	1888	True	region_first_of_list	רומעניע	Romania	45.94	24.97	[]	זייט דאָמאָלט וואַנדערט ער ווידער איבער רומעניע און גאַליציע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	10	רומעניע	country	טרופּע פֿון הורוויץ	performer	stay			none	1875	1888	True	region	רומעניע	Romania	45.94	24.97	[]	טרעט אַריין אין דער טרופּע פֿון הורוויץ... די טרופּע שפּילט אין רומעניע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	11	גאַליציע	region	גראָדנערס טרופּע	performer	stay			none	1875	1888	True	region	גאליציע	Galicia	49.55	24.0	[]	גייט ג. איבער אין גראָדנערס טרופּע אין גאַליציע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	12	רומעניע, עסטרייך, גאַליציע, אונגאָרן, דייטשלאַנד און פֿראַנקרייך	region	פֿאַרשיידענע יידישע וואַנדער-טרופּעס	performer	tour			none	1875	1888	True	region	רומעניע	Romania	45.94	24.97	[]	וואַנדערט ג. צוזאַמען מיט זיין פרוי שאַרלאָטאָ מיט פֿאַרשיידענע יידישע וואַנדער-טרופּעס איבער רומעניע, עסטרייך, גאַליציע, אונגאָרן, דייטשלאַנד און פֿראַנקרייך
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	13	לאָנדאָן	settlement		director	stay			none	1875	1888	True	settlement	Q84	London	51.507222	-0.1275	"[{""event_type"": ""performance"", ""play"": ""זרובבל"", ""venue"": """", ""date"": """", ""description"": ""Dramatized and staged Lilienblum's Zerubbabel""}, {""event_type"": ""performance"", ""play"": ""דער ליגנער"", ""venue"": """", ""date"": """", ""description"": ""Staged his own play""}, {""event_type"": ""performance"", ""play"": ""שיבת ציון"", ""venue"": """", ""date"": """", ""description"": ""Staged his own play""}]"	"אין לאָנדאָן דראָמאַטיזירט ער לילענבלוםס „זרובבל“... דאָ פֿירט ער אויך אויף זיינע פּיעסן „דער ליגנער“ און „שיבת ציון"""
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	14	אָמעריקע	country	זיין שווערס טרופּע	רעזשיסער און אַקטיאָר	emigration	1888		explicit	1888	1888	False	settlement	Q30	United States	39.828175	-98.5795	"[{""event_type"": ""founding"", ""play"": """", ""venue"": """", ""date"": ""1895"", ""description"": ""Founded the United Hebrew Actors Fund""}]"	אין 1888 איז ג. געקומען אין אָמעריקע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	15	דרום-אָפריקע	country		director	stay	1896		explicit	1896	1896	False	settlement	Q258	South Africa	-29.0	24.0	"[{""event_type"": ""performance"", ""play"": ""די נאַאיווע זינדערין"", ""venue"": ""יאָהאָניסבורג"", ""date"": """", ""description"": ""Staged his translation of Sudermann's Honor""}]"	"אין 1896 פֿאָרט ג. אָפּ קיין דרום-אָפריקע און פֿירט אויף אין יאָהאָניסבורג זיין איבערזעצונג פֿון זודערמאַנס ""ערע“"
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	16	אַמעריקע	country	ביבלישע הייסטאָרישע אָפּערן-געזעלשאָפט	director	return			none	1896	1906	True	settlement	Q30	United States	39.828175	-98.5795	"[{""event_type"": ""performance"", ""play"": ""שלמה המלך"", ""venue"": ""סט. לואיסער אויסשטעלונג"", ""date"": ""1904"", ""description"": ""Staged a biblical opera at the St. Louis Exhibition""}]"	צוריקגעקומען אין אַמעריקע האָט ג. אויף דער סט. לואיסער אויסשטעלונג אין 1904 אויפֿגעפֿירט אַ ביבלישע אָפּערע
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	17	ניו יאָרק	settlement	יידישע טעאַטער-שול	founder	stay	1906	1908	approximate	1906	1908	False	settlement	Q60	New York City	40.712778	-74.006111	"[{""event_type"": ""founding"", ""play"": """", ""venue"": """", ""date"": ""1906"", ""description"": ""Founded a Yiddish theater school""}]"	אין 1906 גרינדעט ג. אין ניו יאָרק אַ יידישע טעאַטער-שול, וועלכע עקסיסטירט 2 יאָר
P-1-facs_283_tr_1741260236	גרינבערג, צעזאַר [בצלאַל]	entry	18	ניו יאָרק	settlement		performer	stay	1923-12		explicit	1923	1923	False	settlement	Q60	New York City	40.712778	-74.006111	"[{""event_type"": ""performance"", ""play"": ""לאָמיר מאָכן אַ פּשרה"", ""venue"": ""גרענד-טעאַטער"", ""date"": ""1923-12"", ""description"": ""Last stage appearance""}]"	דאָס לעצטע מאָל אויף דער בינע איז ג. אויפֿגעטראָטן אין דעצעמבער 1923... אין גרענד-טעאַטער אין ניו יאָרק
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	1	זבאַראָזש	settlement			born	1826		approximate	1826	1826	False	settlement	Q156095	Zbarazh	49.663	25.775	[]	געבוירן [לויט זיין מצבה 1826 ... אין זבאַראָזש
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	2	זבאַראַזש	settlement		מלמד	stay			none	1826	1840	True	settlement	Q156095	Zbarazh	49.663	25.775	"[{""event_type"": ""marriage"", ""play"": """", ""venue"": """", ""date"": """", ""description"": ""Married a local girl early in his youth""}]"	וועלוול איז געווען אין זבאַראַזש אַ מלמד ... וועלוול האָט חתונה געהאָט פרי
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	3	טשערנאָוויץ	settlement			settled			none	1826	1840	True	settlement	Q157725	Chernivtsi	48.290833	25.934444	[]	אַוועק קיין טשערנאָוויץ
