source_value	record_id	qid	action
אָפּט (אָפּאַטאָוו)	*	Q275694	link
ניעסוויזש	*	Q2091651	link
סלאָוויטע	*	Q856018	link
קאָרנין	*	Q2980432	link
נעסוויזש	*	Q2091651	link
דער קאָלאָניע סאַנטאַ קאַטאָלינאַ	*	Q972442	link
ראַוואַ-ביאַלאַ	*	Q997343	link
נייעסוויעזש	*	Q2091651	link
בערטשיין	*	Q1007355	link
פּערט	*	Q3183	link
יענדזשעוו	*	Q6322121	link
וויז	*	Q1741	link
דאָרף דאַרמאַנעשטי	*	Q10753859	link
קאָוואָלאָווקאַ	*	31154800248256192615	link
יוזעפּאָוו	*	Q1025336	link
אַ דאָרף נעבן לעכעוויץ	*	Q956607	link
קיטייגאָראָד	*	Q4222383	link
שיקאָנאָ	*	Q1297	link
זלאטאָפּאָליע	*	Q997478	link
טוקוּם	*	Q636935	link
איוואָניצע, נעבן פּרילוקי	*	Q4195751	link
סוכארי	*	Q13030075	link
אַלעסקאָ	*	Q2019437	link
פאָנאַר	*	Q2005090	link
פּאָנאַר	*	Q2005090	link
אַנדידזשאַן	*	Q487656	link
באָהיסלאָוו	*	Q1936339	link
ביטשקיף	*	Q1093414	link
יאגעלניצא	*	Q4536122	link
אַלמיץ	*	Q81137	link
פּאָוועליטש	*	25161573537504522070	link
טשעכאַנאָוויצע	*	Q995159	link
נאָוואָוויטעבסק	*	Q4323336	link
בית עולם פֿון די יידישע טעאַטריקל עלייענס אויפֿן הר חברון	*	Q2341172	link
וואַשינגטאָן סעמעטערי	*	Q7971720	link
וואַשינגטאָנער בית עולם	*	Q7971720	link
וואַשינגטאָן בית עולם	*	Q7971720	link
בית עולם פון די „אַדלערס יאָנג מענס“	*	Q2341172	link
בית עולם פֿון די יידישע טעאַטריקל עלייענס	*	Q2341172	link
וואַשינגטאָן בית-עולם	*	Q7971720	link
בית עולם פון די יידישע טעאַטריקל עלייענס	*	Q2341172	link
הר-חברון בית עולם	*	Q2341172	link
בית עולם פֿון דער מאָגעלניצער סאָסייעט אין ריטשמאַנד	*	Q2341172	link
בית עולם פון „אַרבייטער רינג‟	*	Q4285547	link
בית עולם פֿון די יידישע טעאַטריקל עלייענס	*	Q2341172	link
הר-הכרמל	*	Q4285547	link
בית עולם פון די יידישע טעאַטריקל-עליינס	*	Q2341172	link
וואַשינגטאָן סעמעטער	*	Q7971720	link
"הר הכרמל פון ""אַרבעטער רינג"""	*	Q4285547	link
בית עולם פֿון די יידישע טעאַטריקל עליינס	*	Q2341172	link
בית עולם פֿון דער יידישער טעאָטריקעל-עלייענס	*	Q2341172	link
בית עולם פֿון די אידישע טעאַטריקל עליינס	*	Q2341172	link
הר-הכרמל בית-עולם	*	Q4285547	link
וואַשיינגטאָן בית-עולם	*	Q7971720	link
