yiddish	question	current_link	corpus	source_record_id	source_field	context
וויליאַמסבורג	Williamsburg Brooklyn vs Virginia (D: corpus-influenced)	Q771572/Williamsburg (Brooklyn)	org	ORG-C00338_Q03	settlements	
וויליאַמסבורג	Williamsburg Brooklyn vs Virginia (D: corpus-influenced)	Q771572/Williamsburg (Brooklyn)	org	ORG-C00590_Q01	settlements	
טראָי	Troy (which?) — kamatz-aleph; not Tarai	(unlinked)	org	ORG-C06195	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C00155_Q03	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C00997	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C01387_Q39	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C01438_Q01	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C02062	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C03822	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C04501	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C05130	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C05884	settlements	
נואַרק	Newark vs New York (B: occasional NY variant?)	Q25395/Newark	org	ORG-C06452	settlements	
נואָרק	Newark vs New York	Q25395/Newark	org	ORG-C00770_Q01	settlements	
נואָרק	Newark vs New York	Q25395/Newark	org	ORG-C05249	settlements	
נואָרק	Newark vs New York	Q25395/Newark	org	ORG-C06834	settlements	
ניואַרק	Newark vs New York	Q25395/Newark	org	ORG-C00742_Q02	settlements	
ניואַרק	Newark vs New York	Q25395/Newark	person	2-facs_365_tr_1744366833	place	birth
קובא	Cuba vs Quba	Q241/Cuba	org	ORG-C01342	countries	
קובאַ	Cuba vs Quba(Azerbaijan)	Q241/Cuba	org	ORG-C00812_Q01	venues	
קובאַ	Cuba vs Quba(Azerbaijan)	Q241/Cuba	org	ORG-C00812_Q01	countries	
קובאַ	Cuba vs Quba(Azerbaijan)	Q241/Cuba	org	ORG-C01268_Q02	countries	
קובאַ	Cuba vs Quba(Azerbaijan)	Q241/Cuba	org	ORG-C01387_Q33	countries	
